"Date","Close"
"2013-12-31","23.58"
"2013-12-30","23.47"
"2013-12-27","23.05"
"2013-12-26","22.95"
"2013-12-24","22.92"
"2013-12-23","22.89"
"2013-12-20","22.51"
"2013-12-19","22.99"
"2013-12-18","23.20"
"2013-12-17","23.00"
"2013-12-16","22.55"
"2013-12-13","22.11"
"2013-12-12","22.31"
"2013-12-11","22.22"
"2013-12-10","22.44"
"2013-12-09","22.58"
"2013-12-06","22.78"
"2013-12-05","22.48"
"2013-12-04","22.46"
"2013-12-03","22.54"
"2013-12-02","22.48"
"2013-11-29","22.49"
"2013-11-27","22.68"
"2013-11-26","22.72"
"2013-11-25","23.10"
"2013-11-22","23.34"
"2013-11-21","23.55"
"2013-11-20","23.38"
"2013-11-19","23.56"
"2013-11-18","23.65"
"2013-11-15","23.58"
"2013-11-14","23.49"
"2013-11-13","23.17"
"2013-11-12","23.05"
"2013-11-11","23.21"
"2013-11-08","23.16"
"2013-11-07","22.83"
"2013-11-06","23.13"
"2013-11-05","22.68"
"2013-11-04","22.91"
"2013-11-01","22.77"
"2013-10-31","22.76"
"2013-10-30","22.67"
"2013-10-29","22.13"
"2013-10-28","22.04"
"2013-10-25","22.03"
"2013-10-24","21.49"
"2013-10-23","24.62"
"2013-10-22","25.21"
"2013-10-21","25.41"
"2013-10-18","25.39"
"2013-10-17","25.09"
"2013-10-16","25.13"
"2013-10-15","24.96"
"2013-10-14","25.18"
"2013-10-11","25.08"
"2013-10-10","24.74"
"2013-10-09","24.67"
"2013-10-08","24.74"
"2013-10-07","24.82"
"2013-10-04","24.84"
"2013-10-03","24.27"
"2013-10-02","24.52"
"2013-10-01","24.65"
"2013-09-30","24.75"
"2013-09-27","24.73"
"2013-09-26","25.06"
"2013-09-25","24.85"
"2013-09-24","24.69"
"2013-09-23","24.74"
"2013-09-20","25.14"
"2013-09-19","25.21"
"2013-09-18","25.36"
"2013-09-17","25.30"
"2013-09-16","25.38"
"2013-09-13","25.07"
"2013-09-12","24.97"
"2013-09-11","25.26"
"2013-09-10","25.23"
"2013-09-09","25.39"
"2013-09-06","25.35"
"2013-09-05","25.45"
"2013-09-04","25.32"
"2013-09-03","26.08"
"2013-08-30","25.61"
"2013-08-29","26.05"
"2013-08-28","25.69"
"2013-08-27","25.46"
"2013-08-26","26.03"
"2013-08-23","26.33"
"2013-08-22","26.34"
"2013-08-21","26.04"
"2013-08-20","26.26"
"2013-08-19","26.19"
"2013-08-16","26.24"
"2013-08-15","26.44"
"2013-08-14","26.78"
"2013-08-13","26.96"
"2013-08-12","26.93"
"2013-08-09","26.82"
"2013-08-08","26.82"
"2013-08-07","26.74"
"2013-08-06","26.66"
"2013-08-05","26.66"
"2013-08-02","26.52"
"2013-08-01","26.70"
"2013-07-31","26.68"
"2013-07-30","24.35"
"2013-07-29","24.07"
"2013-07-26","24.27"
"2013-07-25","24.25"
"2013-07-24","24.12"
"2013-07-23","23.92"
"2013-07-22","24.02"
"2013-07-19","24.00"
"2013-07-18","24.29"
"2013-07-17","24.23"
"2013-07-16","23.97"
"2013-07-15","23.92"
"2013-07-12","23.83"
"2013-07-11","23.65"
"2013-07-10","23.10"
"2013-07-09","22.85"
"2013-07-08","22.79"
"2013-07-05","23.02"
"2013-07-03","22.36"
"2013-07-02","22.44"
"2013-07-01","22.48"
"2013-06-28","22.48"
"2013-06-27","22.50"
"2013-06-26","22.52"
"2013-06-25","22.10"
"2013-06-24","22.01"
"2013-06-21","22.23"
"2013-06-20","22.39"
"2013-06-19","22.70"
"2013-06-18","22.73"
"2013-06-17","22.33"
"2013-06-14","22.36"
"2013-06-13","22.49"
"2013-06-12","22.18"
"2013-06-11","22.01"
"2013-06-10","22.25"
"2013-06-07","22.19"
"2013-06-06","21.85"
"2013-06-05","21.62"
"2013-06-04","21.90"
"2013-06-03","22.40"
"2013-05-31","22.39"
"2013-05-30","22.95"
"2013-05-29","22.88"
"2013-05-28","22.90"
"2013-05-24","22.85"
"2013-05-23","23.06"
"2013-05-22","23.62"
"2013-05-21","24.03"
"2013-05-20","24.15"
"2013-05-17","24.30"
"2013-05-16","24.30"
"2013-05-15","24.66"
"2013-05-14","24.52"
"2013-05-13","24.22"
"2013-05-10","24.35"
"2013-05-09","24.37"
"2013-05-08","24.49"
"2013-05-07","25.10"
"2013-05-06","24.95"
"2013-05-03","24.84"
"2013-05-02","24.56"
"2013-05-01","24.35"
"2013-04-30","24.30"
"2013-04-29","24.59"
"2013-04-26","24.42"
"2013-04-25","24.45"
"2013-04-24","24.37"
"2013-04-23","24.16"
"2013-04-22","23.67"
"2013-04-19","23.55"
"2013-04-18","23.56"
"2013-04-17","23.78"
"2013-04-16","24.15"
"2013-04-15","23.95"
"2013-04-12","24.25"
"2013-04-11","24.30"
"2013-04-10","24.45"
"2013-04-09","24.21"
"2013-04-08","24.25"
"2013-04-05","24.29"
"2013-04-04","24.50"
"2013-04-03","24.45"
"2013-04-02","24.66"
"2013-04-01","24.46"
"2013-03-28","24.68"
"2013-03-27","24.53"
"2013-03-26","24.57"
"2013-03-25","24.56"
"2013-03-22","24.63"
"2013-03-21","24.40"
"2013-03-20","24.52"
"2013-03-19","24.22"
"2013-03-18","24.51"
"2013-03-15","24.55"
"2013-03-14","24.73"
"2013-03-13","24.54"
"2013-03-12","24.45"
"2013-03-11","24.48"
"2013-03-08","24.57"
"2013-03-07","24.67"
"2013-03-06","24.52"
"2013-03-05","24.20"
"2013-03-04","23.96"
"2013-03-01","23.68"
"2013-02-28","23.44"
"2013-02-27","23.23"
"2013-02-26","22.46"
"2013-02-25","22.43"
"2013-02-22","22.93"
"2013-02-21","22.31"
"2013-02-20","22.56"
