"Date","Close"
"2013-12-31","36.10"
"2013-12-30","36.66"
"2013-12-27","36.82"
"2013-12-26","36.53"
"2013-12-24","36.47"
"2013-12-23","36.49"
"2013-12-20","36.45"
"2013-12-19","36.26"
"2013-12-18","36.27"
"2013-12-17","36.03"
"2013-12-16","36.20"
"2013-12-13","36.28"
"2013-12-12","36.23"
"2013-12-11","36.96"
"2013-12-10","36.96"
"2013-12-09","37.62"
"2013-12-06","34.31"
"2013-12-05","33.57"
"2013-12-04","33.63"
"2013-12-03","33.69"
"2013-12-02","33.64"
"2013-11-29","33.63"
"2013-11-27","33.81"
"2013-11-26","34.16"
"2013-11-25","33.78"
"2013-11-22","33.93"
"2013-11-21","33.51"
"2013-11-20","33.33"
"2013-11-19","33.60"
"2013-11-18","33.63"
"2013-11-15","33.70"
"2013-11-14","33.57"
"2013-11-13","33.40"
"2013-11-12","33.15"
"2013-11-11","33.09"
"2013-11-08","33.13"
"2013-11-07","33.14"
"2013-11-06","33.66"
"2013-11-05","33.31"
"2013-11-04","33.96"
"2013-11-01","32.56"
"2013-10-31","32.34"
"2013-10-30","32.49"
"2013-10-29","32.84"
"2013-10-28","33.23"
"2013-10-25","32.99"
"2013-10-24","32.83"
"2013-10-23","32.55"
"2013-10-22","32.63"
"2013-10-21","32.19"
"2013-10-18","32.07"
"2013-10-17","32.10"
"2013-10-16","32.09"
"2013-10-15","31.86"
"2013-10-14","32.11"
"2013-10-11","32.22"
"2013-10-10","32.29"
"2013-10-09","31.65"
"2013-10-08","31.16"
"2013-10-07","31.63"
"2013-10-04","31.72"
"2013-10-03","31.56"
"2013-10-02","31.67"
"2013-10-01","31.89"
"2013-09-30","31.83"
"2013-09-27","32.03"
"2013-09-26","32.12"
"2013-09-25","32.01"
"2013-09-24","32.40"
"2013-09-23","32.31"
"2013-09-20","32.57"
"2013-09-19","32.83"
"2013-09-18","33.39"
"2013-09-17","33.17"
"2013-09-16","33.01"
"2013-09-13","32.88"
"2013-09-12","32.64"
"2013-09-11","32.51"
"2013-09-10","32.23"
"2013-09-09","32.22"
"2013-09-06","32.04"
"2013-09-05","32.10"
"2013-09-04","32.14"
"2013-09-03","32.18"
"2013-08-30","32.02"
"2013-08-29","31.95"
"2013-08-28","31.47"
"2013-08-27","31.74"
"2013-08-26","31.89"
"2013-08-23","32.25"
"2013-08-22","32.28"
"2013-08-21","31.98"
"2013-08-20","32.43"
"2013-08-19","32.50"
"2013-08-16","32.45"
"2013-08-15","32.48"
"2013-08-14","33.03"
"2013-08-13","33.11"
"2013-08-12","32.99"
"2013-08-09","35.01"
"2013-08-08","34.86"
"2013-08-07","34.85"
"2013-08-06","35.06"
"2013-08-05","35.01"
"2013-08-02","34.98"
"2013-08-01","34.79"
"2013-07-31","34.51"
"2013-07-30","34.70"
"2013-07-29","34.98"
"2013-07-26","34.77"
"2013-07-25","34.54"
"2013-07-24","34.43"
"2013-07-23","35.51"
"2013-07-22","35.74"
"2013-07-19","36.03"
"2013-07-18","35.86"
"2013-07-17","35.45"
"2013-07-16","35.57"
"2013-07-15","35.68"
"2013-07-12","35.60"
"2013-07-11","35.45"
"2013-07-10","34.95"
"2013-07-09","35.02"
"2013-07-08","34.68"
"2013-07-05","33.94"
"2013-07-03","33.75"
"2013-07-02","34.03"
"2013-07-01","34.32"
"2013-06-28","34.16"
"2013-06-27","34.29"
"2013-06-26","34.10"
"2013-06-25","33.88"
"2013-06-24","33.66"
"2013-06-21","33.68"
"2013-06-20","33.40"
"2013-06-19","34.15"
"2013-06-18","34.74"
"2013-06-17","34.69"
"2013-06-14","34.47"
"2013-06-13","34.55"
"2013-06-12","34.16"
"2013-06-11","34.13"
"2013-06-10","34.08"
"2013-06-07","33.76"
"2013-06-06","33.39"
"2013-06-05","33.35"
"2013-06-04","34.18"
"2013-06-03","33.89"
"2013-05-31","33.80"
"2013-05-30","34.10"
"2013-05-29","34.10"
"2013-05-28","34.98"
"2013-05-24","34.82"
"2013-05-23","34.56"
