"Date","Close"
"2013-12-31","35.16"
"2013-12-30","35.20"
"2013-12-27","35.18"
"2013-12-26","35.16"
"2013-12-24","34.95"
"2013-12-23","34.69"
"2013-12-20","34.30"
"2013-12-19","34.45"
"2013-12-18","34.38"
"2013-12-17","33.85"
"2013-12-16","34.15"
"2013-12-13","33.85"
"2013-12-12","33.89"
"2013-12-11","33.95"
"2013-12-10","34.40"
"2013-12-09","34.69"
"2013-12-06","34.53"
"2013-12-05","34.25"
"2013-12-04","34.60"
"2013-12-03","34.74"
"2013-12-02","34.80"
"2013-11-29","35.21"
"2013-11-27","35.41"
"2013-11-26","35.28"
"2013-11-25","35.37"
"2013-11-22","35.42"
"2013-11-21","35.30"
"2013-11-20","35.40"
"2013-11-19","35.72"
"2013-11-18","35.60"
"2013-11-15","35.43"
"2013-11-14","35.16"
"2013-11-13","35.07"
"2013-11-12","35.17"
"2013-11-11","35.03"
"2013-11-08","35.17"
"2013-11-07","35.11"
"2013-11-06","35.82"
"2013-11-05","35.53"
"2013-11-04","36.45"
"2013-11-01","36.24"
"2013-10-31","36.20"
"2013-10-30","36.26"
"2013-10-29","36.27"
"2013-10-28","35.57"
"2013-10-25","35.19"
"2013-10-24","34.63"
"2013-10-23","35.28"
"2013-10-22","35.23"
"2013-10-21","35.22"
"2013-10-18","34.61"
"2013-10-17","34.44"
"2013-10-16","34.20"
"2013-10-15","33.71"
"2013-10-14","33.92"
"2013-10-11","34.20"
"2013-10-10","34.15"
"2013-10-09","33.75"
"2013-10-08","33.11"
"2013-10-07","34.00"
"2013-10-04","33.75"
"2013-10-03","33.64"
"2013-10-02","33.94"
"2013-10-01","34.06"
"2013-09-30","33.82"
"2013-09-27","33.98"
"2013-09-26","34.23"
"2013-09-25","34.05"
"2013-09-24","34.09"
"2013-09-23","34.22"
"2013-09-20","34.31"
"2013-09-19","34.81"
"2013-09-18","34.95"
"2013-09-17","34.75"
"2013-09-16","34.57"
"2013-09-13","34.32"
"2013-09-12","34.38"
"2013-09-11","33.97"
"2013-09-10","33.97"
"2013-09-09","33.63"
"2013-09-06","33.41"
"2013-09-05","33.34"
"2013-09-04","33.74"
"2013-09-03","33.32"
"2013-08-30","33.83"
"2013-08-29","33.65"
"2013-08-28","33.58"
"2013-08-27","33.69"
"2013-08-26","33.82"
"2013-08-23","34.29"
"2013-08-22","33.82"
"2013-08-21","33.48"
"2013-08-20","33.87"
"2013-08-19","33.79"
"2013-08-16","34.18"
"2013-08-15","34.35"
"2013-08-14","34.77"
"2013-08-13","34.72"
"2013-08-12","34.92"
"2013-08-09","34.80"
"2013-08-08","35.29"
"2013-08-07","35.59"
"2013-08-06","35.48"
"2013-08-05","35.67"
"2013-08-02","35.77"
"2013-08-01","35.72"
"2013-07-31","35.27"
"2013-07-30","35.42"
"2013-07-29","35.88"
"2013-07-26","35.60"
"2013-07-25","35.46"
"2013-07-24","35.40"
"2013-07-23","35.81"
"2013-07-22","35.58"
"2013-07-19","35.81"
"2013-07-18","35.74"
"2013-07-17","35.96"
"2013-07-16","35.88"
"2013-07-15","35.55"
"2013-07-12","35.81"
"2013-07-11","35.87"
"2013-07-10","35.39"
"2013-07-09","35.60"
"2013-07-08","35.58"
"2013-07-05","35.83"
"2013-07-03","35.62"
"2013-07-02","35.53"
"2013-07-01","35.30"
"2013-06-28","35.40"
"2013-06-27","35.63"
"2013-06-26","35.33"
"2013-06-25","35.03"
"2013-06-24","34.46"
"2013-06-21","34.47"
"2013-06-20","34.35"
"2013-06-19","35.25"
"2013-06-18","36.17"
"2013-06-17","35.76"
"2013-06-14","35.91"
"2013-06-13","36.30"
"2013-06-12","35.62"
"2013-06-11","35.76"
"2013-06-10","35.99"
"2013-06-07","35.45"
"2013-06-06","35.81"
"2013-06-05","35.26"
"2013-06-04","35.67"
"2013-06-03","35.07"
"2013-05-31","34.99"
"2013-05-30","35.50"
"2013-05-29","35.91"
"2013-05-28","36.18"
"2013-05-24","36.75"
"2013-05-23","36.74"
"2013-05-22","36.62"
"2013-05-21","36.94"
"2013-05-20","37.22"
"2013-05-17","37.44"
"2013-05-16","37.38"
"2013-05-15","37.53"
"2013-05-14","37.23"
"2013-05-13","37.00"
"2013-05-10","37.36"
"2013-05-09","37.33"
"2013-05-08","37.83"
"2013-05-07","37.52"
"2013-05-06","37.09"
"2013-05-03","37.34"
"2013-05-02","37.56"
"2013-05-01","37.56"
"2013-04-30","37.46"
"2013-04-29","37.30"
"2013-04-26","37.04"
"2013-04-25","37.28"
"2013-04-24","37.04"
"2013-04-23","39.00"
"2013-04-22","38.73"
"2013-04-19","38.28"
"2013-04-18","37.74"
"2013-04-17","37.78"
"2013-04-16","37.94"
"2013-04-15","37.95"
"2013-04-12","38.59"
"2013-04-11","38.54"
"2013-04-10","38.18"
"2013-04-09","37.76"
"2013-04-08","37.62"
"2013-04-05","38.02"
"2013-04-04","37.91"
"2013-04-03","37.28"
"2013-04-02","37.57"
"2013-04-01","37.25"
"2013-03-28","36.69"
"2013-03-27","36.62"
"2013-03-26","36.74"
"2013-03-25","36.39"
"2013-03-22","36.43"
"2013-03-21","36.15"
"2013-03-20","36.19"
"2013-03-19","36.14"
"2013-03-18","36.15"
"2013-03-15","36.43"
"2013-03-14","36.86"
"2013-03-13","36.60"
"2013-03-12","36.72"
"2013-03-11","36.60"
"2013-03-08","36.68"
"2013-03-07","36.39"
"2013-03-06","36.29"
"2013-03-05","36.60"
"2013-03-04","36.23"
"2013-03-01","36.01"
"2013-02-28","35.91"
"2013-02-27","35.85"
"2013-02-26","35.49"
"2013-02-25","35.19"
"2013-02-22","35.68"
"2013-02-21","35.43"
"2013-02-20","35.47"
"2013-02-19","35.67"
"2013-02-15","35.36"
"2013-02-14","35.29"
"2013-02-13","35.42"
"2013-02-12","35.60"
"2013-02-11","35.23"
"2013-02-08","35.27"
"2013-02-07","35.27"
"2013-02-06","35.43"
"2013-02-05","35.35"
"2013-02-04","35.23"
"2013-02-01","35.51"
"2013-01-31","34.79"
"2013-01-30","34.48"
"2013-01-29","34.68"
"2013-01-28","34.13"
"2013-01-25","34.02"
"2013-01-24","33.75"
"2013-01-23","33.78"
"2013-01-22","33.61"
"2013-01-18","33.44"
"2013-01-17","33.20"
"2013-01-16","33.26"
"2013-01-15","33.76"
"2013-01-14","34.02"
"2013-01-11","34.27"
"2013-01-10","34.37"
"2013-01-09","34.24"
"2013-01-08","34.35"
"2013-01-07","35.39"
"2013-01-04","35.23"
"2013-01-03","35.02"
"2013-01-02","35.00"
"2012-12-31","33.71"
"2012-12-28","33.32"
"2012-12-27","33.66"
"2012-12-26","33.78"
"2012-12-24","33.74"
"2012-12-21","33.67"
"2012-12-20","34.17"
"2012-12-19","33.91"
"2012-12-18","34.34"
"2012-12-17","34.23"
"2012-12-14","34.01"
"2012-12-13","34.32"
"2012-12-12","34.49"
"2012-12-11","34.15"
"2012-12-10","33.73"
"2012-12-07","33.74"
"2012-12-06","33.65"
"2012-12-05","33.91"
"2012-12-04","33.92"
"2012-12-03","34.14"
"2012-11-30","34.13"
"2012-11-29","33.93"
"2012-11-28","33.62"
"2012-11-27","33.62"
"2012-11-26","33.97"
"2012-11-23","34.36"
"2012-11-21","33.85"
"2012-11-20","33.68"
"2012-11-19","33.82"
"2012-11-16","33.14"
"2012-11-15","33.42"
"2012-11-14","33.78"
"2012-11-13","33.95"
"2012-11-12","33.87"
"2012-11-09","33.54"
"2012-11-08","33.20"
"2012-11-07","33.64"
"2012-11-06","34.80"
"2012-11-05","34.83"
"2012-11-02","34.93"
"2012-11-01","35.09"
"2012-10-31","34.59"
"2012-10-26","34.63"
"2012-10-25","34.50"
"2012-10-24","34.71"
"2012-10-23","35.00"
"2012-10-22","35.26"
"2012-10-19","35.32"
"2012-10-18","36.02"
"2012-10-17","35.72"
"2012-10-16","35.40"
"2012-10-15","35.21"
"2012-10-12","35.63"
"2012-10-11","36.26"
"2012-10-10","36.92"
"2012-10-09","37.14"
"2012-10-08","37.66"
"2012-10-05","37.86"
"2012-10-04","38.34"
"2012-10-03","38.17"
"2012-10-02","37.81"
"2012-10-01","37.75"
"2012-09-28","37.70"
"2012-09-27","37.99"
"2012-09-26","38.08"
"2012-09-25","38.06"
"2012-09-24","38.25"
"2012-09-21","38.08"
"2012-09-20","37.94"
"2012-09-19","37.76"
"2012-09-18","37.66"
"2012-09-17","37.60"
"2012-09-14","37.26"
"2012-09-13","38.15"
"2012-09-12","37.72"
"2012-09-11","37.62"
"2012-09-10","37.42"
"2012-09-07","37.30"
"2012-09-06","37.44"
"2012-09-05","36.93"
"2012-09-04","36.81"
"2012-08-31","36.64"
"2012-08-30","36.69"
"2012-08-29","36.82"
"2012-08-28","36.64"
"2012-08-27","36.87"
"2012-08-24","36.95"
"2012-08-23","36.56"
"2012-08-22","36.56"
"2012-08-21","36.59"
"2012-08-20","36.89"
"2012-08-17","37.17"
"2012-08-16","37.24"
"2012-08-15","37.10"
"2012-08-14","37.25"
"2012-08-13","37.39"
"2012-08-10","37.49"
"2012-08-09","37.23"
"2012-08-08","37.43"
"2012-08-07","37.44"
"2012-08-06","37.61"
"2012-08-03","37.58"
"2012-08-02","37.54"
"2012-08-01","37.64"
"2012-07-31","37.92"
"2012-07-30","37.43"
"2012-07-27","37.14"
"2012-07-26","36.30"
"2012-07-25","35.33"
"2012-07-24","34.63"
"2012-07-23","35.38"
"2012-07-20","35.29"
"2012-07-19","35.48"
"2012-07-18","36.19"
"2012-07-17","35.82"
"2012-07-16","35.42"
"2012-07-13","35.35"
"2012-07-12","34.87"
"2012-07-11","35.26"
"2012-07-10","35.44"
"2012-07-09","35.54"
"2012-07-06","35.44"
"2012-07-05","35.77"
"2012-07-03","36.00"
"2012-07-02","36.20"
"2012-06-29","35.66"
"2012-06-28","35.39"
"2012-06-27","35.19"
"2012-06-26","34.98"
"2012-06-25","34.95"
"2012-06-22","35.17"
"2012-06-21","35.03"
"2012-06-20","35.41"
"2012-06-19","35.47"
"2012-06-18","35.63"
"2012-06-15","35.71"
"2012-06-14","35.69"
"2012-06-13","34.98"
"2012-06-12","34.98"
"2012-06-11","34.59"
"2012-06-08","34.55"
"2012-06-07","34.16"
"2012-06-06","34.56"
"2012-06-05","34.06"
"2012-06-04","34.15"
"2012-06-01","33.90"
"2012-05-31","34.17"
"2012-05-30","33.84"
"2012-05-29","33.94"
"2012-05-25","33.69"
"2012-05-24","33.64"
"2012-05-23","33.36"
"2012-05-22","33.54"
"2012-05-21","33.63"
"2012-05-18","33.66"
"2012-05-17","33.29"
"2012-05-16","33.19"
"2012-05-15","33.35"
"2012-05-14","33.53"
"2012-05-11","33.59"
"2012-05-10","33.13"
"2012-05-09","32.81"
"2012-05-08","33.04"
"2012-05-07","33.00"
"2012-05-04","32.86"
"2012-05-03","33.11"
"2012-05-02","33.04"
"2012-05-01","33.06"
"2012-04-30","32.91"
"2012-04-27","32.67"
"2012-04-26","32.44"
"2012-04-25","31.74"
"2012-04-24","31.72"
"2012-04-23","30.61"
"2012-04-20","30.86"
"2012-04-19","30.74"
"2012-04-18","30.75"
"2012-04-17","30.89"
"2012-04-16","30.61"
"2012-04-13","30.54"
"2012-04-12","30.84"
"2012-04-11","30.45"
"2012-04-10","30.13"
"2012-04-09","30.64"
"2012-04-05","30.94"
"2012-04-04","31.57"
"2012-04-03","31.43"
"2012-04-02","31.45"
"2012-03-30","31.23"
"2012-03-29","31.21"
"2012-03-28","31.36"
"2012-03-27","31.64"
"2012-03-26","31.79"
"2012-03-23","31.52"
"2012-03-22","31.71"
"2012-03-21","31.84"
"2012-03-20","31.79"
"2012-03-19","31.65"
"2012-03-16","31.59"
"2012-03-15","31.64"
"2012-03-14","31.45"
"2012-03-13","31.63"
"2012-03-12","31.44"
"2012-03-09","31.18"
