"Date","Close"
"2013-12-31","45.49"
"2013-12-30","44.70"
"2013-12-27","44.76"
"2013-12-26","44.69"
"2013-12-24","44.35"
"2013-12-23","44.30"
"2013-12-20","44.78"
"2013-12-19","42.18"
"2013-12-18","41.89"
"2013-12-17","41.73"
"2013-12-16","41.62"
"2013-12-13","40.99"
"2013-12-12","39.52"
"2013-12-11","40.06"
"2013-12-10","41.15"
"2013-12-09","41.97"
"2013-12-06","41.88"
"2013-12-05","41.60"
"2013-12-04","42.53"
"2013-12-03","45.35"
"2013-12-02","45.81"
"2013-11-29","45.64"
"2013-11-27","45.68"
"2013-11-26","45.38"
"2013-11-25","45.22"
"2013-11-22","45.29"
"2013-11-21","45.70"
"2013-11-20","45.40"
"2013-11-19","45.22"
"2013-11-18","45.45"
"2013-11-15","45.59"
"2013-11-14","44.80"
"2013-11-13","44.95"
"2013-11-12","43.93"
"2013-11-11","43.79"
"2013-11-08","43.50"
"2013-11-07","43.41"
"2013-11-06","42.98"
"2013-11-05","42.63"
"2013-11-04","43.01"
"2013-11-01","44.00"
"2013-10-31","44.07"
"2013-10-30","45.47"
"2013-10-29","46.25"
"2013-10-28","45.89"
"2013-10-25","44.47"
"2013-10-24","45.45"
"2013-10-23","43.42"
"2013-10-22","43.96"
"2013-10-21","43.44"
"2013-10-18","42.64"
"2013-10-17","42.52"
"2013-10-16","41.48"
"2013-10-15","42.91"
"2013-10-14","52.58"
"2013-10-11","52.95"
"2013-10-10","52.69"
"2013-10-09","52.75"
"2013-10-08","52.58"
"2013-10-07","53.46"
"2013-10-04","54.12"
"2013-10-03","54.39"
"2013-10-02","55.37"
"2013-10-01","55.25"
"2013-09-30","55.44"
"2013-09-27","56.51"
"2013-09-26","56.90"
"2013-09-25","58.05"
"2013-09-24","58.44"
"2013-09-23","59.88"
"2013-09-20","60.73"
"2013-09-19","59.08"
"2013-09-18","60.48"
"2013-09-17","59.49"
"2013-09-16","59.71"
"2013-09-13","59.31"
"2013-09-12","59.57"
"2013-09-11","58.84"
"2013-09-10","58.03"
"2013-09-09","57.03"
"2013-09-06","56.92"
"2013-09-05","57.51"
"2013-09-04","58.80"
"2013-09-03","58.70"
"2013-08-30","58.56"
"2013-08-29","59.87"
"2013-08-28","58.92"
"2013-08-27","58.70"
"2013-08-26","60.52"
"2013-08-23","60.94"
"2013-08-22","60.15"
"2013-08-21","59.50"
"2013-08-20","61.00"
"2013-08-19","60.60"
"2013-08-16","61.69"
"2013-08-15","61.86"
"2013-08-14","64.17"
"2013-08-13","64.77"
"2013-08-12","64.13"
"2013-08-09","63.76"
"2013-08-08","63.84"
"2013-08-07","63.16"
"2013-08-06","63.26"
"2013-08-05","64.70"
"2013-08-02","63.37"
"2013-08-01","63.17"
"2013-07-31","59.12"
"2013-07-30","58.73"
"2013-07-29","58.56"
"2013-07-26","58.25"
"2013-07-25","59.59"
"2013-07-24","57.71"
"2013-07-23","57.36"
"2013-07-22","58.07"
"2013-07-19","58.08"
"2013-07-18","59.25"
"2013-07-17","57.49"
"2013-07-16","57.32"
"2013-07-15","57.00"
"2013-07-12","55.91"
"2013-07-11","56.17"
"2013-07-10","52.80"
"2013-07-09","51.76"
"2013-07-08","51.35"
"2013-07-05","51.69"
"2013-07-03","51.39"
"2013-07-02","50.02"
"2013-07-01","50.64"
"2013-06-28","50.23"
"2013-06-27","51.11"
"2013-06-26","50.40"
"2013-06-25","48.50"
"2013-06-24","48.34"
"2013-06-21","50.70"
"2013-06-20","52.92"
"2013-06-19","55.30"
"2013-06-18","55.34"
"2013-06-17","55.46"
"2013-06-14","56.08"
"2013-06-13","56.93"
"2013-06-12","55.86"
"2013-06-11","56.53"
"2013-06-10","57.33"
"2013-06-07","56.90"
"2013-06-06","55.21"
"2013-06-05","54.79"
"2013-06-04","55.18"
"2013-06-03","55.60"
"2013-05-31","55.75"
"2013-05-30","57.10"
"2013-05-29","54.86"
"2013-05-28","54.46"
"2013-05-24","54.40"
"2013-05-23","54.90"
"2013-05-22","56.17"
"2013-05-21","58.24"
"2013-05-20","56.61"
"2013-05-17","57.34"
"2013-05-16","56.57"
"2013-05-15","54.27"
"2013-05-14","53.47"
"2013-05-13","53.85"
"2013-05-10","55.25"
"2013-05-09","55.10"
"2013-05-08","54.08"
"2013-05-07","52.05"
"2013-05-06","51.96"
"2013-05-03","50.65"
"2013-05-02","53.06"
"2013-05-01","51.34"
"2013-04-30","51.07"
"2013-04-29","51.57"
"2013-04-26","52.09"
"2013-04-25","50.43"
"2013-04-24","49.86"
"2013-04-23","49.41"
"2013-04-22","49.85"
"2013-04-19","50.35"
"2013-04-18","51.54"
"2013-04-17","52.71"
"2013-04-16","54.93"
"2013-04-15","53.88"
"2013-04-12","55.20"
"2013-04-11","55.41"
"2013-04-10","56.26"
"2013-04-09","54.02"
"2013-04-08","53.30"
"2013-04-05","53.35"
"2013-04-04","51.89"
"2013-04-03","56.07"
"2013-04-02","57.16"
"2013-04-01","57.02"
"2013-03-28","58.51"
"2013-03-27","57.25"
"2013-03-26","56.94"
"2013-03-25","56.80"
"2013-03-22","57.13"
"2013-03-21","57.23"
"2013-03-20","57.60"
"2013-03-19","56.28"
"2013-03-18","56.93"
"2013-03-15","57.73"
