"Date","Close"
"2013-12-31","17.24"
"2013-12-30","17.15"
"2013-12-27","17.14"
"2013-12-26","17.06"
"2013-12-24","17.17"
"2013-12-23","17.04"
"2013-12-20","17.04"
"2013-12-19","16.90"
"2013-12-18","17.09"
"2013-12-17","16.84"
"2013-12-16","16.95"
"2013-12-13","16.81"
"2013-12-12","16.83"
"2013-12-11","16.82"
"2013-12-10","17.03"
"2013-12-09","17.24"
"2013-12-06","17.34"
"2013-12-05","17.16"
"2013-12-04","17.40"
"2013-12-03","17.17"
"2013-12-02","17.03"
"2013-11-29","17.04"
"2013-11-27","17.06"
"2013-11-26","16.97"
"2013-11-25","17.07"
"2013-11-22","17.16"
"2013-11-21","17.12"
"2013-11-20","17.13"
"2013-11-19","17.34"
"2013-11-18","17.41"
"2013-11-15","17.42"
"2013-11-14","17.37"
"2013-11-13","17.29"
"2013-11-12","17.12"
"2013-11-11","17.27"
"2013-11-08","17.07"
"2013-11-07","17.44"
"2013-11-06","17.54"
"2013-11-05","17.48"
"2013-11-04","17.48"
"2013-11-01","17.34"
"2013-10-31","17.17"
"2013-10-30","17.37"
"2013-10-29","17.56"
"2013-10-28","17.55"
"2013-10-25","17.61"
"2013-10-24","17.25"
"2013-10-23","17.23"
"2013-10-22","17.34"
"2013-10-21","17.10"
"2013-10-18","17.17"
"2013-10-17","17.16"
"2013-10-16","16.82"
"2013-10-15","16.68"
"2013-10-14","16.90"
"2013-10-11","16.99"
"2013-10-10","16.88"
"2013-10-09","16.60"
"2013-10-08","16.50"
"2013-10-07","16.48"
"2013-10-04","16.50"
"2013-10-03","16.49"
"2013-10-02","16.71"
"2013-10-01","16.73"
"2013-09-30","16.54"
"2013-09-27","16.51"
"2013-09-26","16.71"
"2013-09-25","16.87"
"2013-09-24","17.03"
"2013-09-23","17.00"
"2013-09-20","16.71"
"2013-09-19","16.87"
"2013-09-18","16.88"
"2013-09-17","16.39"
"2013-09-16","16.32"
"2013-09-13","16.35"
"2013-09-12","16.31"
"2013-09-11","16.49"
"2013-09-10","16.70"
"2013-09-09","16.58"
"2013-09-06","16.59"
"2013-09-05","16.55"
"2013-09-04","16.33"
"2013-09-03","16.29"
"2013-08-30","16.53"
"2013-08-29","16.50"
"2013-08-28","16.60"
"2013-08-27","16.66"
"2013-08-26","16.62"
"2013-08-23","16.80"
"2013-08-22","16.66"
"2013-08-21","16.55"
"2013-08-20","16.62"
"2013-08-19","16.53"
"2013-08-16","16.71"
"2013-08-15","17.02"
"2013-08-14","17.26"
"2013-08-13","17.44"
"2013-08-12","17.54"
"2013-08-09","17.91"
"2013-08-08","17.89"
"2013-08-07","17.69"
"2013-08-06","17.59"
"2013-08-05","17.65"
"2013-08-02","17.78"
"2013-08-01","17.75"
"2013-07-31","17.67"
"2013-07-30","17.69"
"2013-07-29","17.65"
"2013-07-26","17.66"
"2013-07-25","17.54"
"2013-07-24","17.46"
"2013-07-23","17.73"
"2013-07-22","17.69"
"2013-07-19","17.83"
"2013-07-18","17.89"
"2013-07-17","17.64"
"2013-07-16","17.58"
"2013-07-15","17.80"
"2013-07-12","17.56"
"2013-07-11","17.42"
"2013-07-10","17.16"
"2013-07-09","17.00"
"2013-07-08","16.82"
"2013-07-05","16.71"
"2013-07-03","16.71"
"2013-07-02","16.85"
"2013-07-01","16.80"
"2013-06-28","17.19"
"2013-06-27","16.99"
"2013-06-26","16.99"
"2013-06-25","16.94"
"2013-06-24","16.74"
"2013-06-21","16.76"
"2013-06-20","16.52"
"2013-06-19","17.02"
"2013-06-18","17.47"
"2013-06-17","17.32"
"2013-06-14","17.33"
"2013-06-13","17.35"
"2013-06-12","17.18"
"2013-06-11","17.30"
"2013-06-10","17.45"
"2013-06-07","17.50"
"2013-06-06","17.47"
"2013-06-05","17.30"
"2013-06-04","17.40"
"2013-06-03","17.50"
"2013-05-31","17.61"
"2013-05-30","17.56"
"2013-05-29","17.40"
"2013-05-28","17.75"
"2013-05-24","18.29"
"2013-05-23","18.44"
"2013-05-22","18.66"
"2013-05-21","19.12"
"2013-05-20","18.93"
"2013-05-17","18.98"
"2013-05-16","18.75"
"2013-05-15","18.84"
"2013-05-14","18.58"
"2013-05-13","18.49"
"2013-05-10","18.63"
"2013-05-09","18.45"
"2013-05-08","19.00"
"2013-05-07","19.06"
"2013-05-06","18.80"
"2013-05-03","18.94"
"2013-05-02","18.96"
"2013-05-01","18.97"
"2013-04-30","19.13"
"2013-04-29","19.01"
"2013-04-26","18.83"
"2013-04-25","18.76"
"2013-04-24","18.64"
"2013-04-23","18.53"
"2013-04-22","18.52"
"2013-04-19","18.47"
"2013-04-18","18.26"
"2013-04-17","18.12"
"2013-04-16","18.37"
"2013-04-15","18.16"
"2013-04-12","18.45"
"2013-04-11","18.46"
"2013-04-10","18.45"
"2013-04-09","18.23"
"2013-04-08","18.25"
"2013-04-05","18.16"
"2013-04-04","18.05"
"2013-04-03","17.73"
"2013-04-02","17.77"
"2013-04-01","17.77"
"2013-03-28","17.82"
