"Date","Close"
"2013-12-31","55.11"
"2013-12-30","54.50"
"2013-12-27","54.53"
"2013-12-26","54.58"
"2013-12-24","54.47"
"2013-12-23","54.26"
"2013-12-20","53.74"
"2013-12-19","53.01"
"2013-12-18","53.15"
"2013-12-17","52.10"
"2013-12-16","52.09"
"2013-12-13","51.98"
"2013-12-12","52.17"
"2013-12-11","53.07"
"2013-12-10","53.75"
"2013-12-09","53.45"
"2013-12-06","53.62"
"2013-12-05","53.05"
"2013-12-04","53.03"
"2013-12-03","52.86"
"2013-12-02","52.88"
"2013-11-29","52.72"
"2013-11-27","52.53"
"2013-11-26","52.57"
"2013-11-25","52.96"
"2013-11-22","52.99"
"2013-11-21","53.17"
"2013-11-20","51.37"
"2013-11-19","50.94"
"2013-11-18","52.50"
"2013-11-15","52.39"
"2013-11-14","51.61"
"2013-11-13","52.20"
"2013-11-12","51.91"
"2013-11-11","51.81"
"2013-11-08","52.22"
"2013-11-07","51.73"
"2013-11-06","52.32"
"2013-11-05","51.76"
"2013-11-04","51.90"
"2013-11-01","51.21"
"2013-10-31","51.49"
"2013-10-30","51.04"
"2013-10-29","52.99"
"2013-10-28","53.18"
"2013-10-25","53.60"
"2013-10-24","53.74"
"2013-10-23","53.47"
"2013-10-22","53.88"
"2013-10-21","53.67"
"2013-10-18","53.57"
"2013-10-17","52.48"
"2013-10-16","51.71"
"2013-10-15","51.21"
"2013-10-14","52.20"
"2013-10-11","51.98"
"2013-10-10","51.33"
"2013-10-09","49.91"
"2013-10-08","50.75"
"2013-10-07","51.47"
"2013-10-04","52.12"
"2013-10-03","51.57"
"2013-10-02","52.05"
"2013-10-01","52.07"
"2013-09-30","51.78"
"2013-09-27","51.96"
"2013-09-26","52.16"
"2013-09-25","52.43"
"2013-09-24","52.32"
"2013-09-23","52.40"
"2013-09-20","53.10"
"2013-09-19","53.39"
"2013-09-18","53.54"
"2013-09-17","53.51"
"2013-09-16","53.49"
"2013-09-13","53.44"
"2013-09-12","52.84"
"2013-09-11","52.97"
"2013-09-10","52.99"
"2013-09-09","50.95"
"2013-09-06","50.22"
"2013-09-05","50.29"
"2013-09-04","50.18"
"2013-09-03","49.34"
"2013-08-30","49.00"
"2013-08-29","49.59"
"2013-08-28","48.82"
"2013-08-27","48.69"
"2013-08-26","49.93"
"2013-08-23","50.08"
"2013-08-22","50.02"
"2013-08-21","49.77"
"2013-08-20","49.67"
"2013-08-19","49.18"
"2013-08-16","49.40"
"2013-08-15","49.54"
"2013-08-14","50.49"
"2013-08-13","50.75"
"2013-08-12","50.70"
"2013-08-09","50.64"
"2013-08-08","50.63"
"2013-08-07","50.71"
"2013-08-06","51.35"
"2013-08-05","51.50"
"2013-08-02","51.51"
"2013-08-01","51.52"
"2013-07-31","51.04"
"2013-07-30","50.43"
"2013-07-29","50.35"
"2013-07-26","50.52"
"2013-07-25","50.70"
"2013-07-24","50.76"
"2013-07-23","47.95"
"2013-07-22","48.10"
"2013-07-19","47.77"
"2013-07-18","47.80"
"2013-07-17","47.81"
"2013-07-16","47.19"
"2013-07-15","47.28"
"2013-07-12","47.46"
"2013-07-11","47.09"
"2013-07-10","46.70"
"2013-07-09","46.57"
"2013-07-08","46.56"
"2013-07-05","46.70"
"2013-07-03","46.27"
"2013-07-02","46.20"
"2013-07-01","46.41"
"2013-06-28","45.54"
"2013-06-27","45.74"
"2013-06-26","45.42"
"2013-06-25","45.23"
"2013-06-24","44.09"
"2013-06-21","45.61"
"2013-06-20","44.77"
"2013-06-19","45.97"
"2013-06-18","46.87"
"2013-06-17","46.17"
"2013-06-14","45.42"
"2013-06-13","45.62"
"2013-06-12","44.70"
"2013-06-11","44.89"
"2013-06-10","45.20"
"2013-06-07","45.53"
"2013-06-06","44.45"
"2013-06-05","44.45"
"2013-06-04","44.83"
"2013-06-03","44.99"
"2013-05-31","44.39"
"2013-05-30","45.15"
"2013-05-29","44.61"
"2013-05-28","45.37"
"2013-05-24","45.28"
"2013-05-23","45.56"
"2013-05-22","45.50"
"2013-05-21","45.96"
"2013-05-20","46.09"
"2013-05-17","45.99"
"2013-05-16","45.32"
"2013-05-15","45.27"
"2013-05-14","44.93"
"2013-05-13","44.35"
"2013-05-10","44.49"
"2013-05-09","44.50"
"2013-05-08","44.90"
"2013-05-07","44.73"
"2013-05-06","44.88"
"2013-05-03","44.44"
"2013-05-02","43.49"
"2013-05-01","42.72"
"2013-04-30","43.55"
"2013-04-29","42.91"
"2013-04-26","42.43"
"2013-04-25","42.91"
