"Date","Close"
"2013-12-31","78.15"
"2013-12-30","78.28"
"2013-12-27","78.24"
"2013-12-26","78.53"
"2013-12-24","78.27"
"2013-12-23","78.05"
"2013-12-20","77.85"
"2013-12-19","77.00"
"2013-12-18","76.88"
"2013-12-17","76.08"
"2013-12-16","76.14"
"2013-12-13","75.84"
"2013-12-12","76.11"
"2013-12-11","76.16"
"2013-12-10","76.53"
"2013-12-09","76.94"
"2013-12-06","76.78"
"2013-12-05","75.56"
"2013-12-04","75.77"
"2013-12-03","75.24"
"2013-12-02","76.17"
"2013-11-29","76.00"
"2013-11-27","76.37"
"2013-11-26","76.03"
"2013-11-25","75.52"
"2013-11-22","75.41"
"2013-11-21","75.16"
"2013-11-20","74.43"
"2013-11-19","74.62"
"2013-11-18","75.16"
"2013-11-15","75.42"
"2013-11-14","75.42"
"2013-11-13","74.82"
"2013-11-12","73.64"
"2013-11-11","74.05"
"2013-11-08","73.90"
"2013-11-07","73.05"
"2013-11-06","73.55"
"2013-11-05","72.85"
"2013-11-04","72.87"
"2013-11-01","72.77"
"2013-10-31","72.86"
"2013-10-30","73.30"
"2013-10-29","73.54"
"2013-10-28","73.33"
"2013-10-25","73.36"
"2013-10-24","73.66"
"2013-10-23","74.46"
"2013-10-22","75.12"
"2013-10-21","75.14"
"2013-10-18","75.02"
"2013-10-17","75.08"
"2013-10-16","74.06"
"2013-10-15","72.73"
"2013-10-14","73.29"
"2013-10-11","73.16"
"2013-10-10","72.88"
"2013-10-09","70.67"
"2013-10-08","70.82"
"2013-10-07","71.79"
"2013-10-04","72.56"
"2013-10-03","71.31"
"2013-10-02","71.71"
"2013-10-01","72.12"
"2013-09-30","72.35"
"2013-09-27","72.84"
"2013-09-26","72.98"
"2013-09-25","72.65"
"2013-09-24","72.13"
"2013-09-23","71.99"
"2013-09-20","71.94"
"2013-09-19","71.82"
"2013-09-18","72.25"
"2013-09-17","72.80"
"2013-09-16","72.90"
"2013-09-13","72.17"
"2013-09-12","72.15"
"2013-09-11","72.58"
"2013-09-10","72.14"
"2013-09-09","71.43"
"2013-09-06","70.55"
"2013-09-05","70.87"
"2013-09-04","70.15"
"2013-09-03","69.17"
"2013-08-30","68.89"
"2013-08-29","69.63"
"2013-08-28","69.36"
"2013-08-27","69.10"
"2013-08-26","71.07"
"2013-08-23","71.32"
"2013-08-22","71.31"
"2013-08-21","69.96"
"2013-08-20","70.44"
"2013-08-19","70.00"
"2013-08-16","70.93"
"2013-08-15","70.41"
"2013-08-14","71.15"
"2013-08-13","71.52"
"2013-08-12","71.14"
"2013-08-09","71.16"
"2013-08-08","71.16"
"2013-08-07","70.83"
"2013-08-06","71.09"
"2013-08-05","71.63"
"2013-08-02","72.40"
"2013-08-01","72.94"
"2013-07-31","71.08"
"2013-07-30","70.72"
"2013-07-29","70.35"
"2013-07-26","70.34"
"2013-07-25","70.62"
"2013-07-24","69.76"
"2013-07-23","70.34"
"2013-07-22","70.58"
"2013-07-19","69.55"
"2013-07-18","69.53"
"2013-07-17","68.70"
"2013-07-16","68.79"
"2013-07-15","69.27"
"2013-07-12","69.24"
"2013-07-11","68.88"
"2013-07-10","68.58"
"2013-07-09","68.06"
"2013-07-08","67.64"
"2013-07-05","67.08"
"2013-07-03","65.83"
"2013-07-02","65.94"
"2013-07-01","65.83"
"2013-06-28","65.14"
"2013-06-27","65.72"
"2013-06-26","65.04"
"2013-06-25","64.60"
"2013-06-24","63.84"
"2013-06-21","64.55"
"2013-06-20","64.63"
"2013-06-19","64.80"
"2013-06-18","65.27"
"2013-06-17","65.39"
"2013-06-14","64.66"
"2013-06-13","65.29"
"2013-06-12","64.50"
"2013-06-11","64.37"
"2013-06-10","65.11"
"2013-06-07","64.96"
"2013-06-06","63.96"
"2013-06-05","62.75"
"2013-06-04","63.27"
"2013-06-03","64.24"
"2013-05-31","64.51"
"2013-05-30","65.39"
"2013-05-29","64.59"
"2013-05-28","64.68"
"2013-05-24","64.26"
"2013-05-23","64.34"
"2013-05-22","64.44"
"2013-05-21","65.17"
"2013-05-20","65.17"
"2013-05-17","64.86"
"2013-05-16","64.56"
"2013-05-15","65.37"
"2013-05-14","64.89"
"2013-05-13","64.18"
"2013-05-10","64.20"
"2013-05-09","64.07"
"2013-05-08","64.20"
"2013-05-07","63.53"
"2013-05-06","63.00"
"2013-05-03","62.63"
"2013-05-02","62.23"
"2013-05-01","61.31"
"2013-04-30","62.07"
"2013-04-29","61.90"
"2013-04-26","61.31"
"2013-04-25","61.42"
"2013-04-24","60.67"
"2013-04-23","60.11"
"2013-04-22","59.25"
"2013-04-19","59.30"
"2013-04-18","58.67"
"2013-04-17","58.54"
"2013-04-16","59.45"
"2013-04-15","58.24"
"2013-04-12","59.62"
"2013-04-11","59.83"
"2013-04-10","59.98"
"2013-04-09","58.36"
"2013-04-08","58.37"
"2013-04-05","58.14"
"2013-04-04","58.97"
"2013-04-03","58.33"
"2013-04-02","59.62"
"2013-04-01","59.46"
"2013-03-28","59.80"
"2013-03-27","59.34"
"2013-03-26","59.32"
"2013-03-25","59.18"
"2013-03-22","59.29"
"2013-03-21","58.92"
"2013-03-20","59.17"
"2013-03-19","58.73"
"2013-03-18","58.66"
"2013-03-15","59.36"
"2013-03-14","59.63"
"2013-03-13","59.39"
"2013-03-12","58.77"
"2013-03-11","58.78"
"2013-03-08","58.35"
"2013-03-07","57.95"
"2013-03-06","57.83"
"2013-03-05","57.41"
"2013-03-04","56.73"
"2013-03-01","56.30"
"2013-02-28","56.19"
"2013-02-27","56.10"
"2013-02-26","55.32"
"2013-02-25","55.00"
"2013-02-22","56.13"
"2013-02-21","55.70"
"2013-02-20","55.92"
"2013-02-19","56.73"
"2013-02-15","56.21"
