"Date","Close"
"2013-12-31","83.77"
"2013-12-30","83.36"
"2013-12-27","83.43"
"2013-12-26","83.59"
"2013-12-24","83.37"
"2013-12-23","83.38"
"2013-12-20","82.88"
"2013-12-19","82.13"
"2013-12-18","82.86"
"2013-12-17","79.81"
"2013-12-16","80.16"
"2013-12-13","78.37"
"2013-12-12","78.02"
"2013-12-11","78.61"
"2013-12-10","79.52"
"2013-12-09","80.06"
"2013-12-06","79.82"
"2013-12-05","78.54"
"2013-12-04","79.55"
"2013-12-03","79.67"
"2013-12-02","80.69"
"2013-11-29","80.46"
"2013-11-27","80.81"
"2013-11-26","80.42"
"2013-11-25","80.75"
"2013-11-22","81.13"
"2013-11-21","80.45"
"2013-11-20","79.99"
"2013-11-19","80.00"
"2013-11-18","80.00"
"2013-11-15","79.99"
"2013-11-14","78.96"
"2013-11-13","78.83"
"2013-11-12","78.42"
"2013-11-11","78.79"
"2013-11-08","78.80"
"2013-11-07","76.62"
"2013-11-06","77.61"
"2013-11-05","76.96"
"2013-11-04","77.48"
"2013-11-01","77.63"
"2013-10-31","77.41"
"2013-10-30","78.15"
"2013-10-29","78.06"
"2013-10-28","77.78"
"2013-10-25","75.75"
"2013-10-24","75.46"
"2013-10-23","77.84"
"2013-10-22","77.28"
"2013-10-21","76.84"
"2013-10-18","76.83"
"2013-10-17","76.34"
"2013-10-16","75.49"
"2013-10-15","74.21"
"2013-10-14","74.48"
"2013-10-11","74.66"
"2013-10-10","73.91"
"2013-10-09","71.65"
"2013-10-08","70.98"
"2013-10-07","71.79"
"2013-10-04","72.71"
"2013-10-03","71.98"
"2013-10-02","71.98"
"2013-10-01","72.11"
"2013-09-30","71.93"
"2013-09-27","72.45"
"2013-09-26","72.57"
"2013-09-25","72.80"
"2013-09-24","72.89"
"2013-09-23","73.17"
"2013-09-20","73.96"
"2013-09-19","74.65"
"2013-09-18","72.80"
"2013-09-17","72.79"
"2013-09-16","72.61"
"2013-09-13","71.56"
"2013-09-12","71.61"
"2013-09-11","71.58"
"2013-09-10","72.04"
"2013-09-09","71.15"
"2013-09-06","70.72"
"2013-09-05","70.94"
"2013-09-04","70.83"
"2013-09-03","70.70"
"2013-08-30","70.14"
"2013-08-29","70.76"
"2013-08-28","70.50"
"2013-08-27","70.30"
"2013-08-26","71.79"
"2013-08-23","72.58"
"2013-08-22","72.62"
"2013-08-21","71.75"
"2013-08-20","72.57"
"2013-08-19","71.74"
"2013-08-16","72.75"
"2013-08-15","72.72"
"2013-08-14","73.87"
"2013-08-13","74.58"
"2013-08-12","73.99"
"2013-08-09","74.68"
"2013-08-08","75.24"
"2013-08-07","74.49"
"2013-08-06","75.43"
"2013-08-05","75.87"
"2013-08-02","76.35"
"2013-08-01","76.75"
"2013-07-31","75.24"
"2013-07-30","74.57"
"2013-07-29","74.63"
"2013-07-26","76.25"
"2013-07-25","75.73"
"2013-07-24","75.61"
"2013-07-23","79.59"
"2013-07-22","80.01"
"2013-07-19","79.18"
"2013-07-18","78.35"
"2013-07-17","78.17"
"2013-07-16","77.58"
"2013-07-15","77.95"
"2013-07-12","77.45"
"2013-07-11","77.44"
"2013-07-10","75.56"
"2013-07-09","76.56"
"2013-07-08","75.89"
"2013-07-05","75.37"
"2013-07-03","74.06"
"2013-07-02","73.99"
"2013-07-01","73.67"
"2013-06-28","73.20"
"2013-06-27","73.66"
"2013-06-26","73.19"
"2013-06-25","72.34"
"2013-06-24","70.56"
"2013-06-21","72.07"
"2013-06-20","72.68"
"2013-06-19","74.71"
"2013-06-18","75.62"
"2013-06-17","74.50"
"2013-06-14","73.40"
"2013-06-13","74.35"
"2013-06-12","72.46"
"2013-06-11","73.95"
"2013-06-10","75.46"
"2013-06-07","75.68"
"2013-06-06","73.99"
"2013-06-05","73.26"
"2013-06-04","75.23"
"2013-06-03","75.98"
