"Date","Close"
"2013-12-31","90.54"
"2013-12-30","90.28"
"2013-12-27","89.85"
"2013-12-26","90.01"
"2013-12-24","89.49"
"2013-12-23","89.16"
"2013-12-20","89.18"
"2013-12-19","88.79"
"2013-12-18","88.14"
"2013-12-17","86.57"
"2013-12-16","87.05"
"2013-12-13","86.49"
"2013-12-12","86.63"
"2013-12-11","87.10"
"2013-12-10","88.44"
"2013-12-09","88.45"
"2013-12-06","89.01"
"2013-12-05","87.92"
"2013-12-04","88.61"
"2013-12-03","89.03"
"2013-12-02","89.00"
"2013-11-29","90.74"
"2013-11-27","90.99"
"2013-11-26","90.79"
"2013-11-25","90.79"
"2013-11-22","90.52"
"2013-11-21","89.22"
"2013-11-20","87.93"
"2013-11-19","88.09"
"2013-11-18","88.18"
"2013-11-15","88.67"
"2013-11-14","88.25"
"2013-11-13","87.22"
"2013-11-12","86.44"
"2013-11-11","87.97"
"2013-11-08","87.80"
"2013-11-07","87.22"
"2013-11-06","87.49"
"2013-11-05","86.46"
"2013-11-04","86.60"
"2013-11-01","86.40"
"2013-10-31","86.30"
"2013-10-30","86.90"
"2013-10-29","87.28"
"2013-10-28","87.11"
"2013-10-25","86.63"
"2013-10-24","87.03"
"2013-10-23","86.28"
"2013-10-22","86.71"
"2013-10-21","86.76"
"2013-10-18","86.58"
"2013-10-17","86.02"
"2013-10-16","86.08"
"2013-10-15","84.48"
"2013-10-14","85.20"
"2013-10-11","84.66"
"2013-10-10","84.17"
"2013-10-09","82.35"
"2013-10-08","82.99"
"2013-10-07","84.09"
"2013-10-04","84.68"
"2013-10-03","84.06"
"2013-10-02","84.48"
"2013-10-01","84.66"
"2013-09-30","84.77"
"2013-09-27","85.41"
"2013-09-26","85.83"
"2013-09-25","85.98"
"2013-09-24","85.87"
"2013-09-23","86.38"
"2013-09-20","86.06"
"2013-09-19","86.90"
"2013-09-18","85.91"
"2013-09-17","84.87"
"2013-09-16","84.57"
"2013-09-13","83.56"
"2013-09-12","83.12"
"2013-09-11","83.73"
"2013-09-10","82.54"
"2013-09-09","82.19"
"2013-09-06","80.49"
"2013-09-05","80.66"
"2013-09-04","81.07"
"2013-09-03","80.57"
"2013-08-30","79.90"
"2013-08-29","80.25"
"2013-08-28","79.89"
"2013-08-27","79.74"
"2013-08-26","80.12"
"2013-08-23","80.19"
"2013-08-22","80.55"
"2013-08-21","79.42"
"2013-08-20","80.27"
"2013-08-19","80.23"
"2013-08-16","81.10"
"2013-08-15","81.07"
"2013-08-14","82.18"
"2013-08-13","81.94"
"2013-08-12","82.32"
"2013-08-09","82.10"
"2013-08-08","82.03"
"2013-08-07","81.86"
"2013-08-06","82.36"
"2013-08-05","83.15"
"2013-08-02","84.00"
"2013-08-01","84.36"
"2013-07-31","83.55"
"2013-07-30","83.39"
"2013-07-29","83.41"
"2013-07-26","83.60"
