"Date","Close"
"2013-12-31","77.58"
"2013-12-30","76.23"
"2013-12-27","75.54"
"2013-12-26","76.12"
"2013-12-24","76.08"
"2013-12-23","75.95"
"2013-12-20","74.92"
"2013-12-19","74.07"
"2013-12-18","74.72"
"2013-12-17","73.37"
"2013-12-16","73.59"
"2013-12-13","72.03"
"2013-12-12","71.36"
"2013-12-11","71.45"
"2013-12-10","71.74"
"2013-12-09","72.50"
"2013-12-06","72.76"
"2013-12-05","72.65"
"2013-12-04","72.72"
"2013-12-03","73.39"
"2013-12-02","73.69"
"2013-11-29","73.21"
"2013-11-27","74.04"
"2013-11-26","74.35"
"2013-11-25","73.50"
"2013-11-22","73.19"
"2013-11-21","72.64"
"2013-11-20","71.31"
"2013-11-19","71.52"
"2013-11-18","72.97"
"2013-11-15","74.09"
"2013-11-14","73.35"
"2013-11-13","73.50"
"2013-11-12","72.34"
"2013-11-11","71.78"
"2013-11-08","71.37"
"2013-11-07","70.04"
"2013-11-06","71.39"
"2013-11-05","70.76"
"2013-11-04","70.99"
"2013-11-01","71.12"
"2013-10-31","71.35"
"2013-10-30","71.54"
"2013-10-29","72.25"
"2013-10-28","71.85"
"2013-10-25","73.22"
"2013-10-24","73.94"
"2013-10-23","68.39"
"2013-10-22","68.54"
"2013-10-21","68.85"
"2013-10-18","67.19"
"2013-10-17","66.44"
"2013-10-16","66.69"
"2013-10-15","64.98"
"2013-10-14","65.71"
"2013-10-11","65.85"
"2013-10-10","65.83"
"2013-10-09","64.68"
"2013-10-08","65.49"
"2013-10-07","66.79"
"2013-10-04","68.53"
"2013-10-03","68.20"
"2013-10-02","68.73"
"2013-10-01","68.27"
"2013-09-30","67.17"
"2013-09-27","66.40"
"2013-09-26","132.33"
"2013-09-25","130.06"
"2013-09-24","130.00"
"2013-09-23","129.85"
"2013-09-20","130.48"
"2013-09-19","131.60"
"2013-09-18","131.15"
"2013-09-17","130.75"
"2013-09-16","130.52"
"2013-09-13","130.50"
"2013-09-12","130.68"
"2013-09-11","130.88"
"2013-09-10","129.30"
"2013-09-09","126.84"
"2013-09-06","123.66"
"2013-09-05","124.71"
"2013-09-04","123.72"
"2013-09-03","121.47"
"2013-08-30","122.37"
"2013-08-29","123.78"
"2013-08-28","119.80"
"2013-08-27","120.35"
"2013-08-26","121.55"
"2013-08-23","121.00"
"2013-08-22","121.29"
"2013-08-21","118.19"
"2013-08-20","120.36"
"2013-08-19","117.73"
"2013-08-16","116.76"
"2013-08-15","116.80"
"2013-08-14","120.33"
"2013-08-13","121.93"
"2013-08-12","120.23"
"2013-08-09","122.37"
"2013-08-08","121.51"
"2013-08-07","119.81"
"2013-08-06","122.12"
"2013-08-05","122.64"
"2013-08-02","123.31"
"2013-08-01","122.97"
"2013-07-31","121.15"
"2013-07-30","120.14"
"2013-07-29","119.37"
"2013-07-26","119.18"
"2013-07-25","118.33"
"2013-07-24","121.27"
"2013-07-23","122.08"
"2013-07-22","122.07"
"2013-07-19","122.49"
"2013-07-18","120.75"
"2013-07-17","119.10"
"2013-07-16","120.68"
"2013-07-15","122.57"
"2013-07-12","123.01"
"2013-07-11","122.90"
"2013-07-10","122.17"
"2013-07-09","120.16"
"2013-07-08","119.14"
"2013-07-05","118.81"
"2013-07-03","116.29"
"2013-07-02","115.90"
"2013-07-01","116.38"
"2013-06-28","117.55"
"2013-06-27","116.49"
"2013-06-26","112.88"
"2013-06-25","111.97"
"2013-06-24","111.19"
"2013-06-21","110.21"
"2013-06-20","112.54"
"2013-06-19","116.01"
"2013-06-18","117.61"
"2013-06-17","115.53"
"2013-06-14","114.68"
"2013-06-13","114.50"
"2013-06-12","112.69"
"2013-06-11","114.36"
"2013-06-10","113.76"
"2013-06-07","113.52"
"2013-06-06","112.13"
"2013-06-05","109.99"
"2013-06-04","108.62"
"2013-06-03","110.20"
"2013-05-31","111.98"
"2013-05-30","113.23"
"2013-05-29","111.63"
"2013-05-28","111.95"
"2013-05-24","111.20"
"2013-05-23","111.20"
"2013-05-22","111.23"
"2013-05-21","114.36"
"2013-05-20","112.23"
"2013-05-17","112.60"
"2013-05-16","112.93"
"2013-05-15","114.94"
"2013-05-14","114.65"
"2013-05-13","114.02"
"2013-05-10","113.76"
"2013-05-09","111.51"
"2013-05-08","111.29"
"2013-05-07","113.17"
"2013-05-06","111.88"
"2013-05-03","110.74"
"2013-05-02","108.41"
"2013-05-01","105.33"
"2013-04-30","107.17"
"2013-04-29","107.64"
"2013-04-26","108.50"
"2013-04-25","110.84"
"2013-04-24","112.05"
"2013-04-23","111.28"
"2013-04-22","109.59"
"2013-04-19","108.06"
"2013-04-18","106.21"
"2013-04-17","105.62"
"2013-04-16","105.73"
"2013-04-15","104.81"
"2013-04-12","107.36"
"2013-04-11","108.72"
"2013-04-10","108.66"
"2013-04-09","108.43"
"2013-04-08","108.65"
"2013-04-05","106.03"
"2013-04-04","103.58"
"2013-04-03","101.68"
"2013-04-02","102.61"
"2013-04-01","102.78"
"2013-03-28","104.13"
"2013-03-27","103.15"
"2013-03-26","101.91"
"2013-03-25","101.47"
"2013-03-22","102.11"
"2013-03-21","101.88"
"2013-03-20","102.34"
"2013-03-19","100.59"
"2013-03-18","101.24"
"2013-03-15","101.01"
"2013-03-14","102.49"
"2013-03-13","102.79"
"2013-03-12","102.92"
"2013-03-11","104.05"
"2013-03-08","104.70"
"2013-03-07","103.82"
"2013-03-06","104.23"
"2013-03-05","104.29"
"2013-03-04","103.68"
"2013-03-01","103.09"
"2013-02-28","103.99"
"2013-02-27","103.26"
"2013-02-26","102.52"
"2013-02-25","101.29"
"2013-02-22","101.25"
"2013-02-21","100.89"
"2013-02-20","101.56"
"2013-02-19","103.44"
"2013-02-15","103.77"
"2013-02-14","103.75"
"2013-02-13","103.10"
"2013-02-12","102.96"
"2013-02-11","103.20"
"2013-02-08","104.04"
"2013-02-07","103.05"
"2013-02-06","102.99"
