"Date","Close"
"2013-12-31","33.46"
"2013-12-30","33.58"
"2013-12-27","33.47"
"2013-12-26","33.30"
"2013-12-24","33.44"
"2013-12-23","33.34"
"2013-12-20","33.21"
"2013-12-19","33.84"
"2013-12-18","33.90"
"2013-12-17","33.16"
"2013-12-16","33.59"
"2013-12-13","33.11"
"2013-12-12","33.59"
"2013-12-11","33.93"
"2013-12-10","33.97"
"2013-12-09","33.79"
"2013-12-06","33.82"
"2013-12-05","32.91"
"2013-12-04","33.36"
"2013-12-03","32.84"
"2013-12-02","31.96"
"2013-11-29","31.69"
"2013-11-27","31.65"
"2013-11-26","31.69"
"2013-11-25","31.58"
"2013-11-22","31.82"
"2013-11-21","31.40"
"2013-11-20","30.91"
"2013-11-19","30.78"
"2013-11-18","29.42"
"2013-11-15","28.77"
"2013-11-14","28.63"
"2013-11-13","28.53"
"2013-11-12","28.06"
"2013-11-11","27.92"
"2013-11-08","28.00"
"2013-11-07","27.56"
"2013-11-06","27.99"
"2013-11-05","27.85"
"2013-11-04","27.57"
"2013-11-01","27.71"
"2013-10-31","27.67"
"2013-10-30","27.76"
"2013-10-29","28.54"
"2013-10-28","28.43"
"2013-10-25","28.14"
"2013-10-24","28.33"
"2013-10-23","28.64"
"2013-10-22","28.89"
"2013-10-21","28.19"
"2013-10-18","28.45"
"2013-10-17","29.77"
"2013-10-16","29.56"
"2013-10-15","29.25"
"2013-10-14","29.35"
"2013-10-11","29.76"
"2013-10-10","29.30"
"2013-10-09","28.70"
"2013-10-08","28.30"
"2013-10-07","28.73"
"2013-10-04","28.84"
"2013-10-03","28.23"
"2013-10-02","28.36"
"2013-10-01","28.50"
"2013-09-30","28.28"
"2013-09-27","28.60"
"2013-09-26","28.54"
"2013-09-25","28.67"
"2013-09-24","29.37"
"2013-09-23","29.87"
"2013-09-20","30.32"
"2013-09-19","30.42"
"2013-09-18","30.43"
"2013-09-17","30.27"
"2013-09-16","30.30"
"2013-09-13","30.25"
"2013-09-12","30.20"
"2013-09-11","30.08"
"2013-09-10","29.85"
"2013-09-09","29.85"
"2013-09-06","29.50"
"2013-09-05","29.76"
"2013-09-04","29.52"
"2013-09-03","28.84"
"2013-08-30","28.95"
"2013-08-29","28.91"
"2013-08-28","28.45"
"2013-08-27","29.12"
"2013-08-26","29.17"
"2013-08-23","31.48"
"2013-08-22","31.40"
"2013-08-21","31.53"
"2013-08-20","31.83"
"2013-08-19","31.66"
"2013-08-16","31.44"
"2013-08-15","31.47"
"2013-08-14","31.80"
"2013-08-13","31.83"
"2013-08-12","31.26"
"2013-08-09","31.36"
"2013-08-08","30.77"
"2013-08-07","30.60"
"2013-08-06","30.71"
"2013-08-05","29.69"
"2013-08-02","28.51"
"2013-08-01","28.46"
"2013-07-31","27.62"
"2013-07-30","27.31"
"2013-07-29","27.03"
"2013-07-26","27.15"
"2013-07-25","27.10"
"2013-07-24","27.07"
"2013-07-23","27.15"
"2013-07-22","27.05"
"2013-07-19","27.07"
"2013-07-18","26.95"
"2013-07-17","27.02"
"2013-07-16","27.20"
"2013-07-15","27.47"
"2013-07-12","27.19"
"2013-07-11","27.01"
"2013-07-10","26.77"
"2013-07-09","26.32"
"2013-07-08","26.57"
"2013-07-05","26.32"
"2013-07-03","26.03"
"2013-07-02","26.33"
"2013-07-01","26.05"
"2013-06-28","25.68"
"2013-06-27","25.23"
"2013-06-26","25.14"
"2013-06-25","25.04"
"2013-06-24","24.97"
"2013-06-21","25.19"
"2013-06-20","25.22"
"2013-06-19","25.53"
"2013-06-18","25.88"
"2013-06-17","25.65"
"2013-06-14","25.56"
"2013-06-13","25.71"
"2013-06-12","25.42"
"2013-06-11","25.50"
"2013-06-10","25.45"
"2013-06-07","25.05"
"2013-06-06","24.81"
"2013-06-05","24.74"
"2013-06-04","25.20"
"2013-06-03","24.84"
"2013-05-31","25.00"
"2013-05-30","25.49"
"2013-05-29","25.36"
"2013-05-28","24.86"
"2013-05-24","24.87"
"2013-05-23","24.92"
"2013-05-22","25.31"
"2013-05-21","25.26"
"2013-05-20","24.76"
"2013-05-17","24.95"
"2013-05-16","24.88"
"2013-05-15","25.03"
"2013-05-14","24.93"
"2013-05-13","24.60"
"2013-05-10","24.75"
"2013-05-09","24.88"
"2013-05-08","25.01"
"2013-05-07","24.60"
"2013-05-06","24.10"
"2013-05-03","24.93"
"2013-05-02","24.61"
"2013-05-01","24.37"
"2013-04-30","24.63"
"2013-04-29","24.50"
"2013-04-26","24.72"
"2013-04-25","24.88"
"2013-04-24","24.82"
"2013-04-23","24.63"
"2013-04-22","24.25"
"2013-04-19","24.08"
"2013-04-18","23.61"
"2013-04-17","23.54"
"2013-04-16","23.67"
"2013-04-15","23.26"
"2013-04-12","23.88"
"2013-04-11","23.75"
"2013-04-10","23.59"
"2013-04-09","23.68"
"2013-04-08","23.77"
"2013-04-05","24.03"
"2013-04-04","24.70"
"2013-04-03","24.46"
"2013-04-02","24.75"
"2013-04-01","24.65"
"2013-03-28","24.82"
"2013-03-27","24.18"
"2013-03-26","24.21"
"2013-03-25","24.04"
"2013-03-22","24.13"
"2013-03-21","23.95"
"2013-03-20","24.08"
"2013-03-19","24.17"
"2013-03-18","24.28"
"2013-03-15","24.41"
"2013-03-14","24.36"
"2013-03-13","24.21"
"2013-03-12","23.86"
"2013-03-11","23.79"
"2013-03-08","24.00"
