"Date","Close"
"2013-12-31","33.28"
"2013-12-30","33.24"
"2013-12-27","33.20"
"2013-12-26","33.30"
"2013-12-24","33.08"
"2013-12-23","33.02"
"2013-12-20","33.06"
"2013-12-19","32.74"
"2013-12-18","32.46"
"2013-12-17","31.54"
"2013-12-16","31.49"
"2013-12-13","31.29"
"2013-12-12","31.20"
"2013-12-11","31.03"
"2013-12-10","31.18"
"2013-12-09","30.92"
"2013-12-06","30.76"
"2013-12-05","30.34"
"2013-12-04","30.63"
"2013-12-03","31.32"
"2013-12-02","30.79"
"2013-11-29","31.05"
"2013-11-27","31.03"
"2013-11-26","31.10"
"2013-11-25","31.37"
"2013-11-22","31.30"
"2013-11-21","31.14"
"2013-11-20","30.54"
"2013-11-19","30.81"
"2013-11-18","30.80"
"2013-11-15","30.95"
"2013-11-14","31.03"
"2013-11-13","30.74"
"2013-11-12","30.55"
"2013-11-11","30.26"
"2013-11-08","30.18"
"2013-11-07","29.77"
"2013-11-06","29.92"
"2013-11-05","29.66"
"2013-11-04","29.75"
"2013-11-01","29.73"
"2013-10-31","29.83"
"2013-10-30","30.19"
"2013-10-29","30.08"
"2013-10-28","30.02"
"2013-10-25","30.04"
"2013-10-24","30.25"
"2013-10-23","30.01"
"2013-10-22","30.65"
"2013-10-21","30.49"
"2013-10-18","30.32"
"2013-10-17","30.09"
"2013-10-16","30.15"
"2013-10-15","29.75"
"2013-10-14","30.15"
"2013-10-11","29.59"
"2013-10-10","29.18"
"2013-10-09","28.50"
"2013-10-08","28.49"
"2013-10-07","28.94"
"2013-10-04","29.40"
"2013-10-03","29.10"
"2013-10-02","29.69"
"2013-10-01","29.49"
"2013-09-30","29.42"
"2013-09-27","29.31"
"2013-09-26","29.45"
"2013-09-25","29.15"
"2013-09-24","29.18"
"2013-09-23","29.33"
"2013-09-20","29.51"
"2013-09-19","29.86"
"2013-09-18","29.93"
"2013-09-17","29.40"
"2013-09-16","29.25"
"2013-09-13","29.11"
"2013-09-12","29.11"
"2013-09-11","29.10"
"2013-09-10","28.86"
"2013-09-09","28.48"
"2013-09-06","28.20"
"2013-09-05","28.26"
"2013-09-04","27.95"
"2013-09-03","27.72"
"2013-08-30","27.67"
"2013-08-29","27.91"
"2013-08-28","27.83"
"2013-08-27","27.66"
"2013-08-26","28.07"
"2013-08-23","28.35"
"2013-08-22","28.29"
"2013-08-21","28.01"
"2013-08-20","28.20"
"2013-08-19","28.00"
"2013-08-16","28.07"
"2013-08-15","28.11"
"2013-08-14","28.55"
"2013-08-13","28.49"
