"Date","Close"
"2013-12-31","41.04"
"2013-12-30","41.18"
"2013-12-27","41.21"
"2013-12-26","40.62"
"2013-12-24","40.25"
"2013-12-23","40.17"
"2013-12-20","39.60"
"2013-12-19","38.91"
"2013-12-18","39.07"
"2013-12-17","37.95"
"2013-12-16","37.93"
"2013-12-13","37.35"
"2013-12-12","37.79"
"2013-12-11","37.18"
"2013-12-10","37.53"
"2013-12-09","37.74"
"2013-12-06","37.75"
"2013-12-05","37.25"
"2013-12-04","37.51"
"2013-12-03","37.86"
"2013-12-02","37.70"
"2013-11-29","38.14"
"2013-11-27","38.00"
"2013-11-26","38.07"
"2013-11-25","38.43"
"2013-11-22","38.43"
"2013-11-21","37.68"
"2013-11-20","37.15"
"2013-11-19","37.56"
"2013-11-18","37.60"
"2013-11-15","37.12"
"2013-11-14","37.60"
"2013-11-13","36.73"
"2013-11-12","36.34"
"2013-11-11","36.81"
"2013-11-08","36.40"
"2013-11-07","35.87"
"2013-11-06","36.48"
"2013-11-05","36.78"
"2013-11-04","36.63"
"2013-11-01","36.55"
"2013-10-31","36.55"
"2013-10-30","36.45"
"2013-10-29","36.45"
"2013-10-28","36.14"
"2013-10-25","36.49"
"2013-10-24","36.21"
"2013-10-23","36.22"
"2013-10-22","36.23"
"2013-10-21","35.85"
"2013-10-18","35.96"
"2013-10-17","35.73"
"2013-10-16","34.89"
"2013-10-15","35.09"
"2013-10-14","35.64"
"2013-10-11","35.61"
"2013-10-10","35.34"
"2013-10-09","34.36"
"2013-10-08","34.20"
"2013-10-07","34.61"
"2013-10-04","34.86"
"2013-10-03","34.79"
"2013-10-02","34.91"
"2013-10-01","35.10"
"2013-09-30","34.98"
"2013-09-27","34.95"
"2013-09-26","35.22"
"2013-09-25","34.91"
"2013-09-24","34.44"
"2013-09-23","34.50"
"2013-09-20","34.89"
"2013-09-19","35.57"
"2013-09-18","35.44"
"2013-09-17","35.27"
"2013-09-16","34.58"
"2013-09-13","33.89"
"2013-09-12","33.75"
"2013-09-11","34.21"
"2013-09-10","34.23"
"2013-09-09","34.04"
"2013-09-06","33.61"
"2013-09-05","33.75"
"2013-09-04","33.38"
"2013-09-03","32.93"
"2013-08-30","33.04"
"2013-08-29","33.27"
"2013-08-28","33.37"
"2013-08-27","33.41"
"2013-08-26","33.90"
"2013-08-23","33.83"
"2013-08-22","34.52"
"2013-08-21","33.91"
"2013-08-20","33.93"
"2013-08-19","33.78"
"2013-08-16","34.26"
"2013-08-15","34.22"
"2013-08-14","34.48"
"2013-08-13","35.05"
"2013-08-12","34.63"
"2013-08-09","35.16"
"2013-08-08","35.25"
"2013-08-07","35.68"
"2013-08-06","35.88"
"2013-08-05","35.91"
"2013-08-02","35.69"
"2013-08-01","35.55"
"2013-07-31","34.81"
"2013-07-30","34.69"
"2013-07-29","34.21"
"2013-07-26","34.59"
"2013-07-25","35.15"
"2013-07-24","34.94"
"2013-07-23","35.02"
"2013-07-22","35.06"
"2013-07-19","35.52"
"2013-07-18","35.16"
"2013-07-17","35.16"
"2013-07-16","35.11"
"2013-07-15","35.44"
"2013-07-12","35.08"
"2013-07-11","35.09"
"2013-07-10","35.13"
"2013-07-09","35.32"
"2013-07-08","34.78"
"2013-07-05","34.57"
"2013-07-03","34.16"
"2013-07-02","34.41"
"2013-07-01","34.40"
"2013-06-28","32.95"
"2013-06-27","32.88"
"2013-06-26","32.01"
"2013-06-25","31.98"
"2013-06-24","31.72"
"2013-06-21","32.41"
"2013-06-20","32.26"
"2013-06-19","33.39"
"2013-06-18","33.75"
"2013-06-17","33.39"
"2013-06-14","33.31"
"2013-06-13","33.45"
"2013-06-12","33.31"
"2013-06-11","33.71"
"2013-06-10","34.43"
"2013-06-07","34.28"
"2013-06-06","33.56"
"2013-06-05","33.28"
"2013-06-04","33.70"
"2013-06-03","33.83"
"2013-05-31","33.81"
"2013-05-30","34.20"
"2013-05-29","34.22"
"2013-05-28","34.50"
"2013-05-24","34.27"
"2013-05-23","34.06"
"2013-05-22","34.08"
"2013-05-21","34.26"
"2013-05-20","34.24"
"2013-05-17","34.26"
"2013-05-16","33.91"
"2013-05-15","34.15"
"2013-05-14","34.11"
"2013-05-13","33.86"
"2013-05-10","33.87"
"2013-05-09","33.96"
"2013-05-08","33.77"
"2013-05-07","33.15"
"2013-05-06","32.85"
"2013-05-03","32.03"
"2013-05-02","31.75"
"2013-05-01","31.50"
"2013-04-30","32.12"
"2013-04-29","32.16"
"2013-04-26","31.42"
"2013-04-25","31.08"
"2013-04-24","30.70"
"2013-04-23","31.05"
"2013-04-22","30.79"
"2013-04-19","31.32"
"2013-04-18","30.88"
"2013-04-17","31.17"
"2013-04-16","31.58"
"2013-04-15","31.36"
"2013-04-12","32.25"
"2013-04-11","32.71"
"2013-04-10","32.44"
"2013-04-09","31.68"
"2013-04-08","31.17"
"2013-04-05","31.11"
"2013-04-04","31.59"
"2013-04-03","31.53"
"2013-04-02","31.64"
"2013-04-01","31.75"
"2013-03-28","32.00"
"2013-03-27","31.18"
"2013-03-26","31.26"
"2013-03-25","30.99"
"2013-03-22","31.24"
"2013-03-21","30.88"
"2013-03-20","31.46"
"2013-03-19","31.23"
"2013-03-18","31.34"
"2013-03-15","31.62"
"2013-03-14","31.88"
"2013-03-13","31.73"
"2013-03-12","31.64"
"2013-03-11","32.24"
"2013-03-08","32.08"
"2013-03-07","31.84"
"2013-03-06","32.23"
"2013-03-05","32.27"
"2013-03-04","31.89"
"2013-03-01","31.67"
"2013-02-28","32.01"
"2013-02-27","31.92"
"2013-02-26","31.27"
"2013-02-25","31.30"
"2013-02-22","31.85"
"2013-02-21","31.76"
"2013-02-20","32.30"
"2013-02-19","32.34"
"2013-02-15","32.05"
"2013-02-14","31.87"
"2013-02-13","31.50"
"2013-02-12","31.01"
"2013-02-11","30.73"
"2013-02-08","30.76"
"2013-02-07","30.44"
"2013-02-06","30.44"
"2013-02-05","30.60"
"2013-02-04","30.01"
"2013-02-01","30.25"
"2013-01-31","30.23"
"2013-01-30","30.16"
"2013-01-29","30.51"
"2013-01-28","30.70"
"2013-01-25","31.23"
"2013-01-24","30.94"
"2013-01-23","31.10"
"2013-01-22","31.25"
"2013-01-18","31.37"
"2013-01-17","31.34"
"2013-01-16","30.54"
"2013-01-15","30.53"
"2013-01-14","30.30"
"2013-01-11","30.25"
"2013-01-10","30.39"
"2013-01-09","30.55"
"2013-01-08","29.77"
"2013-01-07","29.82"
