"Date","Close"
"2013-12-31","35.08"
"2013-12-30","34.95"
"2013-12-27","35.08"
"2013-12-26","35.16"
"2013-12-24","34.86"
"2013-12-23","34.76"
"2013-12-20","34.38"
"2013-12-19","34.29"
"2013-12-18","34.62"
"2013-12-17","34.04"
"2013-12-16","34.13"
"2013-12-13","33.91"
"2013-12-12","33.78"
"2013-12-11","34.10"
"2013-12-10","34.30"
"2013-12-09","34.30"
"2013-12-06","34.31"
"2013-12-05","33.36"
"2013-12-04","33.91"
"2013-12-03","33.35"
"2013-12-02","33.52"
"2013-11-29","33.57"
"2013-11-27","33.70"
"2013-11-26","33.76"
"2013-11-25","33.89"
"2013-11-22","33.93"
"2013-11-21","33.64"
"2013-11-20","33.16"
"2013-11-19","33.21"
"2013-11-18","33.31"
"2013-11-15","33.31"
"2013-11-14","33.22"
"2013-11-13","32.80"
"2013-11-12","32.75"
"2013-11-11","32.95"
"2013-11-08","33.16"
"2013-11-07","31.95"
"2013-11-06","32.35"
"2013-11-05","32.58"
"2013-11-04","31.76"
"2013-11-01","31.51"
"2013-10-31","31.74"
"2013-10-30","31.76"
"2013-10-29","31.85"
"2013-10-28","31.39"
"2013-10-25","31.35"
"2013-10-24","31.30"
"2013-10-23","31.16"
"2013-10-22","31.69"
"2013-10-21","31.85"
"2013-10-18","31.92"
"2013-10-17","31.91"
"2013-10-16","31.86"
"2013-10-15","31.11"
"2013-10-14","31.28"
"2013-10-11","30.84"
"2013-10-10","30.30"
"2013-10-09","29.52"
"2013-10-08","29.79"
"2013-10-07","30.28"
"2013-10-04","30.73"
"2013-10-03","30.15"
"2013-10-02","30.44"
"2013-10-01","30.83"
"2013-09-30","30.44"
"2013-09-27","30.62"
"2013-09-26","30.95"
"2013-09-25","30.80"
"2013-09-24","30.48"
"2013-09-23","30.33"
"2013-09-20","30.26"
"2013-09-19","30.42"
"2013-09-18","31.29"
"2013-09-17","31.41"
"2013-09-16","31.28"
"2013-09-13","30.99"
"2013-09-12","31.02"
"2013-09-11","31.46"
"2013-09-10","31.03"
"2013-09-09","30.65"
"2013-09-06","30.26"
"2013-09-05","30.49"
"2013-09-04","30.40"
"2013-09-03","29.74"
"2013-08-30","29.53"
"2013-08-29","29.75"
"2013-08-28","29.50"
"2013-08-27","29.23"
"2013-08-26","30.07"
"2013-08-23","30.14"
"2013-08-22","30.30"
"2013-08-21","29.50"
"2013-08-20","29.55"
"2013-08-19","29.42"
"2013-08-16","29.61"
"2013-08-15","29.39"
"2013-08-14","29.83"
"2013-08-13","29.99"
"2013-08-12","29.63"
"2013-08-09","30.32"
"2013-08-08","30.56"
"2013-08-07","30.44"
"2013-08-06","30.92"
"2013-08-05","32.35"
"2013-08-02","32.54"
"2013-08-01","32.90"
"2013-07-31","31.64"
"2013-07-30","31.38"
"2013-07-29","31.43"
"2013-07-26","31.58"
"2013-07-25","31.56"
"2013-07-24","31.58"
"2013-07-23","31.77"
"2013-07-22","31.75"
"2013-07-19","31.46"
"2013-07-18","31.72"
"2013-07-17","31.15"
"2013-07-16","31.25"
"2013-07-15","31.42"
"2013-07-12","31.57"
"2013-07-11","31.39"
"2013-07-10","31.47"
"2013-07-09","31.42"
"2013-07-08","30.73"
"2013-07-05","30.48"
"2013-07-03","29.67"
"2013-07-02","29.84"
"2013-07-01","29.74"
"2013-06-28","29.37"
"2013-06-27","29.80"
"2013-06-26","29.25"
"2013-06-25","28.75"
"2013-06-24","28.51"
"2013-06-21","29.22"
"2013-06-20","28.90"
"2013-06-19","28.34"
"2013-06-18","28.70"
"2013-06-17","28.36"
"2013-06-14","27.76"
"2013-06-13","28.39"
"2013-06-12","28.01"
"2013-06-11","28.21"
"2013-06-10","28.62"
"2013-06-07","28.75"
"2013-06-06","28.07"
"2013-06-05","27.49"
"2013-06-04","28.18"
"2013-06-03","28.51"
"2013-05-31","28.48"
"2013-05-30","28.87"
"2013-05-29","28.26"
"2013-05-28","27.77"
"2013-05-24","27.19"
"2013-05-23","27.56"
"2013-05-22","27.59"
"2013-05-21","27.96"
"2013-05-20","28.16"
"2013-05-17","28.45"
"2013-05-16","28.19"
"2013-05-15","28.95"
