"Date","Close"
"2013-12-31","40.40"
"2013-12-30","40.27"
"2013-12-27","40.37"
"2013-12-26","40.52"
"2013-12-24","40.60"
"2013-12-23","40.49"
"2013-12-20","40.05"
"2013-12-19","40.04"
"2013-12-18","40.12"
"2013-12-17","39.12"
"2013-12-16","39.38"
"2013-12-13","39.06"
"2013-12-12","39.20"
"2013-12-11","39.04"
"2013-12-10","39.42"
"2013-12-09","39.74"
"2013-12-06","39.66"
"2013-12-05","38.61"
"2013-12-04","39.00"
"2013-12-03","38.52"
"2013-12-02","39.21"
"2013-11-29","39.22"
"2013-11-27","39.35"
"2013-11-26","39.27"
"2013-11-25","39.21"
"2013-11-22","38.95"
"2013-11-21","38.86"
"2013-11-20","38.74"
"2013-11-19","38.66"
"2013-11-18","38.33"
"2013-11-15","38.31"
"2013-11-14","38.28"
"2013-11-13","38.02"
"2013-11-12","37.75"
"2013-11-11","37.94"
"2013-11-08","38.08"
"2013-11-07","37.47"
"2013-11-06","37.92"
"2013-11-05","37.67"
"2013-11-04","37.54"
"2013-11-01","37.37"
"2013-10-31","37.36"
"2013-10-30","37.76"
"2013-10-29","37.83"
"2013-10-28","37.76"
"2013-10-25","37.83"
"2013-10-24","37.80"
"2013-10-23","37.98"
"2013-10-22","38.07"
"2013-10-21","38.06"
"2013-10-18","37.92"
"2013-10-17","37.68"
"2013-10-16","37.24"
"2013-10-15","36.88"
"2013-10-14","37.18"
"2013-10-11","37.05"
"2013-10-10","36.94"
"2013-10-09","35.96"
"2013-10-08","35.70"
"2013-10-07","36.13"
"2013-10-04","36.62"
"2013-10-03","36.35"
"2013-10-02","36.39"
"2013-10-01","36.71"
"2013-09-30","36.58"
"2013-09-27","36.50"
"2013-09-26","36.54"
"2013-09-25","36.76"
"2013-09-24","36.90"
"2013-09-23","37.36"
"2013-09-20","37.85"
"2013-09-19","37.71"
"2013-09-18","37.84"
"2013-09-17","37.52"
"2013-09-16","37.51"
"2013-09-13","37.14"
"2013-09-12","36.87"
"2013-09-11","36.68"
"2013-09-10","36.71"
"2013-09-09","36.32"
"2013-09-06","36.47"
"2013-09-05","36.70"
"2013-09-04","36.13"
"2013-09-03","36.06"
"2013-08-30","36.13"
"2013-08-29","36.11"
"2013-08-28","36.11"
"2013-08-27","36.11"
"2013-08-26","36.92"
"2013-08-23","37.32"
"2013-08-22","37.40"
"2013-08-21","36.79"
"2013-08-20","36.86"
"2013-08-19","36.66"
"2013-08-16","36.92"
"2013-08-15","36.77"
"2013-08-14","36.97"
"2013-08-13","37.11"
"2013-08-12","37.16"
"2013-08-09","37.17"
"2013-08-08","37.35"
"2013-08-07","37.21"
"2013-08-06","37.61"
"2013-08-05","37.74"
"2013-08-02","37.77"
"2013-08-01","37.66"
"2013-07-31","37.32"
"2013-07-30","37.70"
"2013-07-29","37.49"
"2013-07-26","37.54"
"2013-07-25","37.46"
"2013-07-24","37.54"
"2013-07-23","37.54"
"2013-07-22","37.35"
"2013-07-19","37.26"
"2013-07-18","37.07"
"2013-07-17","36.74"
"2013-07-16","37.27"
"2013-07-15","37.50"
"2013-07-12","37.66"
"2013-07-11","37.15"
"2013-07-10","37.07"
"2013-07-09","37.29"
"2013-07-08","37.05"
"2013-07-05","36.76"
"2013-07-03","36.35"
"2013-07-02","36.30"
"2013-07-01","36.31"
"2013-06-28","36.15"
"2013-06-27","36.14"
"2013-06-26","35.93"
"2013-06-25","35.94"
"2013-06-24","35.39"
"2013-06-21","35.57"
"2013-06-20","35.06"
"2013-06-19","35.19"
"2013-06-18","35.35"
"2013-06-17","35.23"
"2013-06-14","35.01"
"2013-06-13","35.46"
"2013-06-12","35.40"
"2013-06-11","35.41"
"2013-06-10","35.59"
"2013-06-07","35.87"
"2013-06-06","35.38"
"2013-06-05","35.01"
"2013-06-04","35.26"
"2013-06-03","35.27"
"2013-05-31","35.06"
"2013-05-30","35.53"
"2013-05-29","35.33"
"2013-05-28","35.54"
"2013-05-24","35.41"
"2013-05-23","35.22"
"2013-05-22","35.37"
"2013-05-21","35.29"
"2013-05-20","35.13"
"2013-05-17","34.67"
"2013-05-16","34.31"
"2013-05-15","34.34"
"2013-05-14","33.89"
"2013-05-13","33.50"
"2013-05-10","33.49"
"2013-05-09","33.31"
"2013-05-08","33.33"
"2013-05-07","33.15"
"2013-05-06","32.89"
"2013-05-03","32.77"
"2013-05-02","32.58"
"2013-05-01","32.81"
"2013-04-30","33.28"
"2013-04-29","33.29"
"2013-04-26","33.13"
"2013-04-25","33.31"
"2013-04-24","33.15"
"2013-04-23","32.82"
"2013-04-22","32.47"
"2013-04-19","32.51"
"2013-04-18","32.27"
"2013-04-17","32.38"
"2013-04-16","32.72"
"2013-04-15","33.31"
"2013-04-12","34.08"
"2013-04-11","34.20"
"2013-04-10","34.19"
"2013-04-09","33.69"
"2013-04-08","33.69"
"2013-04-05","33.36"
"2013-04-04","33.82"
"2013-04-03","33.67"
"2013-04-02","34.10"
"2013-04-01","33.99"
"2013-03-28","33.93"
"2013-03-27","33.76"
"2013-03-26","33.68"
"2013-03-25","33.67"
"2013-03-22","33.57"
"2013-03-21","33.55"
"2013-03-20","33.93"
"2013-03-19","33.95"
"2013-03-18","34.13"
"2013-03-15","34.22"
"2013-03-14","34.06"
"2013-03-13","34.22"
"2013-03-12","34.34"
"2013-03-11","34.41"
"2013-03-08","34.23"
"2013-03-07","34.15"
"2013-03-06","33.74"
"2013-03-05","33.81"
"2013-03-04","34.28"
"2013-03-01","34.01"
"2013-02-28","33.98"
"2013-02-27","34.03"
"2013-02-26","33.79"
"2013-02-25","33.34"
"2013-02-22","33.88"
"2013-02-21","33.77"
"2013-02-20","33.85"
"2013-02-19","34.08"
"2013-02-15","33.91"
"2013-02-14","33.99"
"2013-02-13","33.93"
"2013-02-12","34.31"
"2013-02-11","34.09"
"2013-02-08","33.65"
"2013-02-07","33.54"
"2013-02-06","33.61"
