"Date","Close"
"2013-12-31","113.80"
"2013-12-30","112.73"
"2013-12-27","112.80"
"2013-12-26","112.69"
"2013-12-24","111.47"
"2013-12-23","110.82"
"2013-12-20","110.66"
"2013-12-19","109.50"
"2013-12-18","109.81"
"2013-12-17","107.62"
"2013-12-16","108.53"
"2013-12-13","107.35"
"2013-12-12","108.09"
"2013-12-11","108.66"
"2013-12-10","110.98"
"2013-12-09","111.18"
"2013-12-06","111.12"
"2013-12-05","109.05"
"2013-12-04","108.94"
"2013-12-03","109.69"
"2013-12-02","110.31"
"2013-11-29","110.86"
"2013-11-27","111.51"
"2013-11-26","110.94"
"2013-11-25","110.31"
"2013-11-22","110.20"
"2013-11-21","109.77"
"2013-11-20","108.83"
"2013-11-19","109.10"
"2013-11-18","109.13"
"2013-11-15","108.59"
"2013-11-14","108.69"
"2013-11-13","107.46"
"2013-11-12","107.45"
"2013-11-11","108.08"
"2013-11-08","108.55"
"2013-11-07","107.27"
"2013-11-06","108.67"
"2013-11-05","107.68"
"2013-11-04","107.98"
"2013-11-01","107.51"
"2013-10-31","106.25"
"2013-10-30","105.95"
"2013-10-29","106.42"
"2013-10-28","105.99"
"2013-10-25","107.52"
"2013-10-24","107.06"
"2013-10-23","106.39"
"2013-10-22","106.13"
"2013-10-21","107.62"
"2013-10-18","107.74"
"2013-10-17","108.02"
"2013-10-16","106.43"
"2013-10-15","105.80"
"2013-10-14","106.90"
"2013-10-11","107.01"
"2013-10-10","105.92"
"2013-10-09","102.84"
"2013-10-08","102.76"
"2013-10-07","104.03"
"2013-10-04","104.27"
"2013-10-03","103.69"
"2013-10-02","104.98"
"2013-10-01","107.38"
"2013-09-30","107.82"
"2013-09-27","109.36"
"2013-09-26","109.66"
"2013-09-25","109.26"
"2013-09-24","110.00"
"2013-09-23","109.42"
"2013-09-20","109.58"
"2013-09-19","112.00"
"2013-09-18","111.01"
"2013-09-17","110.39"
"2013-09-16","109.70"
"2013-09-13","108.39"
"2013-09-12","107.83"
"2013-09-11","107.83"
"2013-09-10","106.26"
"2013-09-09","104.48"
"2013-09-06","103.23"
"2013-09-05","103.68"
"2013-09-04","103.36"
"2013-09-03","102.66"
"2013-08-30","100.10"
"2013-08-29","100.46"
"2013-08-28","99.98"
"2013-08-27","99.94"
"2013-08-26","102.30"
"2013-08-23","102.80"
"2013-08-22","102.96"
"2013-08-21","101.70"
"2013-08-20","102.40"
"2013-08-19","102.63"
"2013-08-16","103.08"
"2013-08-15","102.99"
"2013-08-14","105.06"
"2013-08-13","106.80"
"2013-08-12","105.54"
"2013-08-09","105.62"
"2013-08-08","106.26"
"2013-08-07","106.03"
"2013-08-06","105.20"
"2013-08-05","106.64"
"2013-08-02","107.77"
"2013-08-01","107.18"
"2013-07-31","105.57"
"2013-07-30","105.57"
"2013-07-29","105.07"
"2013-07-26","104.97"
"2013-07-25","104.79"
"2013-07-24","104.99"
"2013-07-23","105.12"
"2013-07-22","102.11"
"2013-07-19","102.48"
"2013-07-18","101.34"
"2013-07-17","100.86"
"2013-07-16","99.99"
"2013-07-15","100.24"
"2013-07-12","99.83"
"2013-07-11","99.69"
"2013-07-10","97.79"
"2013-07-09","98.02"
"2013-07-08","96.98"
"2013-07-05","96.53"
"2013-07-03","94.73"
"2013-07-02","93.80"
"2013-07-01","94.74"
"2013-06-28","92.94"
"2013-06-27","93.51"
"2013-06-26","92.98"
"2013-06-25","91.78"
"2013-06-24","91.49"
"2013-06-21","92.18"
"2013-06-20","92.35"
"2013-06-19","94.18"
"2013-06-18","96.17"
"2013-06-17","94.98"
"2013-06-14","94.02"
"2013-06-13","94.29"
"2013-06-12","92.68"
"2013-06-11","93.68"
"2013-06-10","94.14"
"2013-06-07","94.50"
"2013-06-06","92.75"
"2013-06-05","93.01"
"2013-06-04","94.28"
"2013-06-03","95.23"
"2013-05-31","94.90"
"2013-05-30","95.96"
"2013-05-29","95.12"
"2013-05-28","95.97"
"2013-05-24","95.04"
"2013-05-23","95.49"
"2013-05-22","96.25"
"2013-05-21","97.55"
"2013-05-20","97.23"
"2013-05-17","97.35"
"2013-05-16","95.17"
"2013-05-15","95.81"
"2013-05-14","95.93"
"2013-05-13","94.95"
"2013-05-10","95.25"
"2013-05-09","94.76"
"2013-05-08","94.38"
"2013-05-07","93.87"
"2013-05-06","93.49"
"2013-05-03","93.11"
"2013-05-02","91.75"
"2013-05-01","91.05"
"2013-04-30","91.29"
"2013-04-29","91.62"
"2013-04-26","91.15"
"2013-04-25","92.11"
"2013-04-24","92.00"
"2013-04-23","92.89"
"2013-04-22","93.63"
"2013-04-19","93.22"
"2013-04-18","91.55"
"2013-04-17","92.85"
"2013-04-16","94.51"
"2013-04-15","93.52"
"2013-04-12","95.69"
"2013-04-11","95.82"
"2013-04-10","95.18"
"2013-04-09","94.45"
"2013-04-08","93.71"
"2013-04-05","92.64"
"2013-04-04","93.16"
"2013-04-03","93.20"
"2013-04-02","92.99"
"2013-04-01","92.92"
"2013-03-28","93.43"
"2013-03-27","92.61"
"2013-03-26","92.65"
"2013-03-25","92.80"
"2013-03-22","93.59"
"2013-03-21","92.43"
"2013-03-20","93.45"
"2013-03-19","93.11"
"2013-03-18","92.77"
"2013-03-15","93.28"
"2013-03-14","93.45"
"2013-03-13","93.08"
"2013-03-12","93.14"
"2013-03-11","92.91"
"2013-03-08","92.07"
"2013-03-07","91.71"
"2013-03-06","91.07"
"2013-03-05","91.02"
"2013-03-04","89.13"
"2013-03-01","90.13"
"2013-02-28","90.55"
"2013-02-27","90.57"
"2013-02-26","89.20"
"2013-02-25","88.37"
"2013-02-22","90.49"
"2013-02-21","89.41"
"2013-02-20","90.16"
"2013-02-19","91.02"
"2013-02-15","90.78"
"2013-02-14","89.69"
"2013-02-13","89.50"
"2013-02-12","89.98"
"2013-02-11","89.61"
"2013-02-08","90.09"
"2013-02-07","89.95"
"2013-02-06","89.37"
"2013-02-05","89.26"
"2013-02-04","89.54"
"2013-02-01","89.84"
"2013-01-31","87.57"
"2013-01-30","89.10"
"2013-01-29","89.76"
"2013-01-28","89.80"
"2013-01-25","89.79"
"2013-01-24","88.92"
"2013-01-23","88.07"
"2013-01-22","87.47"
"2013-01-18","86.95"
"2013-01-17","86.40"
"2013-01-16","85.57"
"2013-01-15","85.96"
"2013-01-14","85.80"
"2013-01-11","85.18"
"2013-01-10","84.97"
"2013-01-09","84.55"
"2013-01-08","83.55"
"2013-01-07","84.57"
"2013-01-04","84.98"
"2013-01-03","84.31"
"2013-01-02","84.00"
"2012-12-31","82.01"
"2012-12-28","80.81"
"2012-12-27","82.07"
"2012-12-26","82.11"
"2012-12-24","82.24"
"2012-12-21","82.54"
"2012-12-20","83.17"
"2012-12-19","83.03"
"2012-12-18","82.23"
"2012-12-17","79.99"
"2012-12-14","79.98"
"2012-12-13","80.37"
"2012-12-12","81.00"
"2012-12-11","81.19"
"2012-12-10","81.01"
"2012-12-07","80.99"
"2012-12-06","80.87"
"2012-12-05","80.23"
"2012-12-04","80.14"
"2012-12-03","79.80"
"2012-11-30","80.11"
"2012-11-29","79.76"
"2012-11-28","79.80"
"2012-11-27","78.83"
"2012-11-26","78.68"
"2012-11-23","78.61"
"2012-11-21","77.33"
"2012-11-20","76.69"
"2012-11-19","76.58"
"2012-11-16","75.25"
"2012-11-15","74.84"
"2012-11-14","74.65"
"2012-11-13","77.00"
"2012-11-12","76.95"
"2012-11-09","75.84"
"2012-11-08","76.16"
"2012-11-07","77.68"
"2012-11-06","79.97"
"2012-11-05","77.90"
"2012-11-02","78.07"
"2012-11-01","79.06"
"2012-10-31","78.16"
"2012-10-26","78.20"
"2012-10-25","77.29"
"2012-10-24","77.90"
"2012-10-23","77.07"
"2012-10-22","77.83"
"2012-10-19","77.99"
"2012-10-18","79.23"
"2012-10-17","78.54"
"2012-10-16","77.60"
"2012-10-15","76.15"
"2012-10-12","75.96"
"2012-10-11","76.05"
"2012-10-10","76.02"
"2012-10-09","77.33"
"2012-10-08","78.37"
"2012-10-05","78.51"
"2012-10-04","78.53"
"2012-10-03","78.56"
"2012-10-02","78.39"
"2012-10-01","78.35"
"2012-09-28","78.29"
"2012-09-27","78.35"
"2012-09-26","78.53"
"2012-09-25","78.77"
"2012-09-24","80.03"
"2012-09-21","80.75"
"2012-09-20","80.92"
"2012-09-19","81.72"
"2012-09-18","81.48"
"2012-09-17","82.15"
"2012-09-14","82.45"
"2012-09-13","80.53"
"2012-09-12","78.83"
"2012-09-11","78.76"
"2012-09-10","78.61"
"2012-09-07","79.41"
"2012-09-06","79.40"
"2012-09-05","78.03"
"2012-09-04","78.35"
"2012-08-31","79.85"
"2012-08-30","79.06"
"2012-08-29","80.17"
"2012-08-28","80.64"
"2012-08-27","80.56"
"2012-08-24","80.08"
"2012-08-23","79.20"
"2012-08-22","79.66"
"2012-08-21","79.27"
"2012-08-20","80.08"
"2012-08-17","80.37"
"2012-08-16","78.77"
"2012-08-15","77.99"
"2012-08-14","77.78"
"2012-08-13","77.47"
"2012-08-10","77.89"
"2012-08-09","77.03"
"2012-08-08","77.48"
"2012-08-07","78.12"
"2012-08-06","76.65"
"2012-08-03","76.81"
"2012-08-02","74.44"
"2012-08-01","74.79"
"2012-07-31","74.44"
"2012-07-30","74.97"
"2012-07-27","74.28"
"2012-07-26","72.93"
"2012-07-25","72.61"
"2012-07-24","71.94"
"2012-07-23","73.28"
"2012-07-20","74.23"
"2012-07-19","75.82"
"2012-07-18","74.85"
"2012-07-17","73.60"
"2012-07-16","73.21"
"2012-07-13","73.59"
"2012-07-12","71.84"
"2012-07-11","72.51"
"2012-07-10","74.15"
"2012-07-09","74.33"
"2012-07-06","74.09"
"2012-07-05","75.39"
"2012-07-03","75.75"
"2012-07-02","75.04"
"2012-06-29","75.53"
"2012-06-28","72.60"
"2012-06-27","74.16"
"2012-06-26","73.63"
"2012-06-25","73.75"
"2012-06-22","75.20"
"2012-06-21","74.82"
"2012-06-20","75.91"
"2012-06-19","76.40"
"2012-06-18","75.00"
"2012-06-15","74.49"
"2012-06-14","74.14"
"2012-06-13","73.54"
"2012-06-12","74.35"
"2012-06-11","74.62"
"2012-06-08","75.50"
"2012-06-07","75.40"
"2012-06-06","73.64"
"2012-06-05","70.88"
"2012-06-04","71.45"
"2012-06-01","72.02"
"2012-05-31","74.11"
"2012-05-30","73.74"
"2012-05-29","75.09"
"2012-05-25","73.02"
"2012-05-24","73.50"
"2012-05-23","74.06"
"2012-05-22","73.94"
"2012-05-21","73.70"
"2012-05-18","72.38"
"2012-05-17","73.33"
"2012-05-16","74.70"
"2012-05-15","76.17"
"2012-05-14","75.95"
"2012-05-11","77.18"
"2012-05-10","77.29"
"2012-05-09","77.01"
"2012-05-08","78.82"
"2012-05-07","78.91"
"2012-05-04","79.48"
"2012-05-03","80.91"
"2012-05-02","81.55"
"2012-05-01","81.43"
"2012-04-30","81.64"
"2012-04-27","82.00"
"2012-04-26","81.25"
"2012-04-25","79.81"
"2012-04-24","79.85"
"2012-04-23","79.75"
"2012-04-20","81.00"
"2012-04-19","80.40"
"2012-04-18","81.20"
"2012-04-17","81.24"
"2012-04-16","79.88"
"2012-04-13","79.80"
"2012-04-12","81.17"
"2012-04-11","79.63"
"2012-04-10","78.48"
"2012-04-09","80.23"
"2012-04-05","81.60"
"2012-04-04","81.92"
"2012-04-03","82.20"
"2012-04-02","82.73"
"2012-03-30","82.94"
"2012-03-29","82.32"
"2012-03-28","81.52"
"2012-03-27","83.11"
"2012-03-26","83.50"
"2012-03-23","81.80"
"2012-03-22","82.07"
"2012-03-21","82.72"
"2012-03-20","83.26"
"2012-03-19","84.62"
"2012-03-16","85.48"
"2012-03-15","86.89"
"2012-03-14","86.81"
"2012-03-13","86.57"
"2012-03-12","83.99"
"2012-03-09","83.55"
"2012-03-08","83.53"
"2012-03-07","82.57"
"2012-03-06","81.39"
"2012-03-05","83.29"
"2012-03-02","84.54"
"2012-03-01","84.16"
"2012-02-29","83.87"
"2012-02-28","83.47"
"2012-02-27","83.63"
"2012-02-24","83.97"
"2012-02-23","83.49"
"2012-02-22","83.95"
"2012-02-21","83.96"
"2012-02-17","83.78"
"2012-02-16","83.22"
"2012-02-15","82.60"
"2012-02-14","84.64"
"2012-02-13","84.88"
"2012-02-10","83.50"
"2012-02-09","83.78"
"2012-02-08","81.74"
"2012-02-07","80.28"
"2012-02-06","80.57"
"2012-02-03","81.05"
"2012-02-02","80.02"
"2012-02-01","80.22"
"2012-01-31","78.35"
"2012-01-30","77.61"
"2012-01-27","77.62"
"2012-01-26","77.41"
"2012-01-25","77.65"
"2012-01-24","77.78"
"2012-01-23","76.86"
"2012-01-20","76.69"
"2012-01-19","77.19"
"2012-01-18","77.60"
"2012-01-17","77.04"
"2012-01-13","76.08"
"2012-01-12","77.24"
"2012-01-11","76.70"
"2012-01-10","76.03"
"2012-01-09","74.10"
"2012-01-06","73.90"
"2012-01-05","74.33"
"2012-01-04","75.05"
"2012-01-03","74.66"
"2011-12-30","73.09"
"2011-12-29","73.82"
"2011-12-28","73.13"
"2011-12-27","74.03"
"2011-12-23","74.18"
"2011-12-22","73.51"
"2011-12-21","73.62"
"2011-12-20","74.40"
"2011-12-19","71.75"
"2011-12-16","72.39"
"2011-12-15","73.53"
"2011-12-14","73.17"
"2011-12-13","74.20"
"2011-12-12","74.48"
"2011-12-09","76.31"
"2011-12-08","74.37"
"2011-12-07","76.25"
"2011-12-06","76.31"
"2011-12-05","76.64"
"2011-12-02","76.54"
"2011-12-01","76.58"
"2011-11-30","76.60"
"2011-11-29","72.98"
"2011-11-28","73.14"
"2011-11-25","71.04"
"2011-11-23","70.97"
"2011-11-22","73.05"
"2011-11-21","74.07"
"2011-11-18","76.11"
"2011-11-17","75.69"
"2011-11-16","77.45"
"2011-11-15","79.33"
"2011-11-14","79.05"
"2011-11-11","79.83"
"2011-11-10","77.47"
"2011-11-09","76.44"
"2011-11-08","78.87"
"2011-11-07","78.34"
"2011-11-04","77.80"
"2011-11-03","78.44"
"2011-11-02","76.91"
"2011-11-01","75.19"
"2011-10-31","77.98"
"2011-10-28","79.51"
"2011-10-27","79.30"
"2011-10-26","76.06"
"2011-10-25","75.28"
"2011-10-24","76.65"
"2011-10-21","75.56"
"2011-10-20","74.25"
"2011-10-19","73.26"
"2011-10-18","74.12"
"2011-10-17","72.12"
"2011-10-14","74.64"
"2011-10-13","73.54"
"2011-10-12","74.24"
"2011-10-11","73.74"
"2011-10-10","73.75"
