"Date","Close"
"2013-12-31","77.69"
"2013-12-30","77.43"
"2013-12-27","76.91"
"2013-12-26","76.73"
"2013-12-24","76.73"
"2013-12-23","76.31"
"2013-12-20","76.07"
"2013-12-19","76.77"
"2013-12-18","78.02"
"2013-12-17","76.25"
"2013-12-16","76.82"
"2013-12-13","76.46"
"2013-12-12","75.89"
"2013-12-11","77.01"
"2013-12-10","78.76"
"2013-12-09","79.25"
"2013-12-06","79.32"
"2013-12-05","78.85"
"2013-12-04","79.84"
"2013-12-03","79.37"
"2013-12-02","79.24"
"2013-11-29","78.05"
"2013-11-27","76.69"
"2013-11-26","76.23"
"2013-11-25","75.64"
"2013-11-22","74.80"
"2013-11-21","75.20"
"2013-11-20","74.28"
"2013-11-19","74.60"
"2013-11-18","74.46"
"2013-11-15","74.59"
"2013-11-14","74.94"
"2013-11-13","74.08"
"2013-11-12","73.30"
"2013-11-11","73.40"
"2013-11-08","73.39"
"2013-11-07","72.83"
"2013-11-06","73.37"
"2013-11-05","72.99"
"2013-11-04","73.13"
"2013-11-01","72.50"
"2013-10-31","72.58"
"2013-10-30","72.59"
"2013-10-29","73.49"
"2013-10-28","73.22"
"2013-10-25","73.20"
"2013-10-24","73.30"
"2013-10-23","78.52"
"2013-10-22","77.30"
"2013-10-21","78.23"
"2013-10-18","78.64"
"2013-10-17","78.55"
"2013-10-16","78.87"
"2013-10-15","77.04"
"2013-10-14","77.94"
"2013-10-11","77.69"
"2013-10-10","77.37"
"2013-10-09","75.44"
"2013-10-08","75.42"
"2013-10-07","74.56"
"2013-10-04","74.94"
"2013-10-03","74.36"
"2013-10-02","74.97"
"2013-10-01","75.34"
"2013-09-30","74.73"
"2013-09-27","74.18"
"2013-09-26","74.08"
"2013-09-25","74.31"
"2013-09-24","75.27"
"2013-09-23","76.27"
"2013-09-20","76.10"
"2013-09-19","75.59"
"2013-09-18","75.86"
"2013-09-17","74.98"
"2013-09-16","75.16"
"2013-09-13","74.55"
"2013-09-12","74.34"
"2013-09-11","74.95"
"2013-09-10","73.62"
"2013-09-09","72.45"
"2013-09-06","71.87"
"2013-09-05","71.89"
"2013-09-04","71.79"
"2013-09-03","71.04"
"2013-08-30","70.45"
"2013-08-29","71.40"
"2013-08-28","71.10"
"2013-08-27","71.39"
"2013-08-26","72.68"
"2013-08-23","72.65"
"2013-08-22","72.77"
"2013-08-21","71.98"
"2013-08-20","72.42"
"2013-08-19","71.98"
"2013-08-16","71.72"
"2013-08-15","72.26"
"2013-08-14","73.60"
"2013-08-13","73.85"
"2013-08-12","73.85"
"2013-08-09","74.21"
"2013-08-08","73.76"
"2013-08-07","72.75"
"2013-08-06","72.02"
"2013-08-05","72.61"
"2013-08-02","73.01"
"2013-08-01","73.20"
"2013-07-31","72.50"
"2013-07-30","72.29"
"2013-07-29","72.40"
"2013-07-26","73.84"
"2013-07-25","74.10"
"2013-07-24","72.11"
"2013-07-23","72.51"
"2013-07-22","72.43"
"2013-07-19","72.26"
"2013-07-18","71.57"
"2013-07-17","70.74"
"2013-07-16","69.85"
"2013-07-15","69.37"
"2013-07-12","69.37"
"2013-07-11","68.27"
"2013-07-10","66.93"
"2013-07-09","66.30"
"2013-07-08","68.20"
"2013-07-05","67.23"
"2013-07-03","66.37"
"2013-07-02","66.65"
"2013-07-01","68.14"
"2013-06-28","67.45"
"2013-06-27","66.63"
"2013-06-26","65.86"
"2013-06-25","66.60"
"2013-06-24","66.17"
"2013-06-21","67.61"
"2013-06-20","66.98"
"2013-06-19","68.78"
"2013-06-18","70.86"
"2013-06-17","69.71"
"2013-06-14","68.88"
"2013-06-13","69.58"
"2013-06-12","68.14"
"2013-06-11","68.61"
"2013-06-10","69.20"
"2013-06-07","69.55"
"2013-06-06","68.18"
"2013-06-05","67.85"
"2013-06-04","66.84"
"2013-06-03","67.37"
"2013-05-31","67.01"
"2013-05-30","68.49"
"2013-05-29","68.01"
"2013-05-28","68.08"
"2013-05-24","67.36"
"2013-05-23","67.89"
"2013-05-22","68.43"
"2013-05-21","69.88"
"2013-05-20","69.45"
"2013-05-17","69.30"
"2013-05-16","68.98"
"2013-05-15","69.94"
"2013-05-14","70.23"
"2013-05-13","69.37"
"2013-05-10","68.75"
"2013-05-09","68.21"
"2013-05-08","67.59"
"2013-05-07","66.03"
"2013-05-06","65.53"
"2013-05-03","65.69"
"2013-05-02","64.46"
"2013-05-01","64.20"
"2013-04-30","65.14"
"2013-04-29","64.79"
"2013-04-26","64.12"
"2013-04-25","64.02"
"2013-04-24","68.35"
"2013-04-23","68.51"
"2013-04-22","67.03"
"2013-04-19","67.29"
"2013-04-18","66.57"
"2013-04-17","67.55"
"2013-04-16","69.30"
"2013-04-15","68.97"
"2013-04-12","72.78"
"2013-04-11","72.30"
"2013-04-10","71.66"
"2013-04-09","71.00"
"2013-04-08","70.70"
"2013-04-05","70.66"
"2013-04-04","71.35"
"2013-04-03","71.36"
"2013-04-02","71.91"
"2013-04-01","71.89"
"2013-03-28","72.00"
"2013-03-27","71.70"
"2013-03-26","71.79"
"2013-03-25","71.68"
"2013-03-22","72.25"
"2013-03-21","72.17"
"2013-03-20","72.36"
"2013-03-19","72.31"
"2013-03-18","72.48"
"2013-03-15","73.23"
"2013-03-14","74.06"
"2013-03-13","74.44"
"2013-03-12","73.70"
"2013-03-11","73.46"
"2013-03-08","73.82"
"2013-03-07","72.13"
"2013-03-06","72.01"
"2013-03-05","72.70"
"2013-03-04","71.55"
"2013-03-01","70.85"
"2013-02-28","70.63"
"2013-02-27","69.35"
"2013-02-26","68.66"
"2013-02-25","69.21"
"2013-02-22","70.12"
"2013-02-21","69.48"
"2013-02-20","69.90"
"2013-02-19","70.69"
"2013-02-15","70.05"
"2013-02-14","70.96"
"2013-02-13","71.50"
"2013-02-12","71.36"
"2013-02-11","71.11"
"2013-02-08","71.10"
"2013-02-07","71.86"
"2013-02-06","71.38"
"2013-02-05","71.30"
"2013-02-04","70.49"
"2013-02-01","71.22"
"2013-01-31","70.65"
"2013-01-30","71.45"
"2013-01-29","71.69"
"2013-01-28","72.23"
"2013-01-25","73.41"
"2013-01-24","72.88"
"2013-01-23","74.91"
"2013-01-22","75.12"
"2013-01-18","75.09"
"2013-01-17","74.59"
"2013-01-16","74.14"
"2013-01-15","74.00"
"2013-01-14","73.85"
"2013-01-11","74.58"
"2013-01-10","74.88"
"2013-01-09","75.25"
"2013-01-08","74.84"
"2013-01-07","75.19"
"2013-01-04","72.72"
"2013-01-03","73.68"
"2013-01-02","72.47"
"2012-12-31","70.24"
"2012-12-28","69.62"
"2012-12-27","70.22"
"2012-12-26","69.84"
"2012-12-24","70.86"
"2012-12-21","70.80"
"2012-12-20","71.78"
"2012-12-19","70.94"
"2012-12-18","72.32"
"2012-12-17","71.50"
"2012-12-14","71.00"
"2012-12-13","71.60"
"2012-12-12","72.08"
"2012-12-11","72.35"
"2012-12-10","71.41"
"2012-12-07","70.70"
"2012-12-06","69.61"
"2012-12-05","69.81"
"2012-12-04","70.13"
"2012-12-03","69.38"
"2012-11-30","69.16"
"2012-11-29","69.12"
"2012-11-28","69.11"
"2012-11-27","68.88"
"2012-11-26","69.46"
"2012-11-23","69.42"
"2012-11-21","68.86"
"2012-11-20","69.07"
"2012-11-19","69.11"
"2012-11-16","67.89"
"2012-11-15","67.74"
"2012-11-14","67.75"
"2012-11-13","68.28"
"2012-11-12","68.33"
"2012-11-09","68.84"
"2012-11-08","68.59"
"2012-11-07","69.67"
"2012-11-06","70.59"
"2012-11-05","70.40"
