"Date","Close"
"2013-12-31","87.34"
"2013-12-30","87.15"
"2013-12-27","86.05"
"2013-12-26","85.84"
"2013-12-24","85.60"
"2013-12-23","85.47"
"2013-12-20","84.16"
"2013-12-19","84.12"
"2013-12-18","83.55"
"2013-12-17","82.24"
"2013-12-16","82.04"
"2013-12-13","81.20"
"2013-12-12","80.72"
"2013-12-11","81.03"
"2013-12-10","82.61"
"2013-12-09","82.17"
"2013-12-06","82.20"
"2013-12-05","81.62"
"2013-12-04","81.53"
"2013-12-03","81.20"
"2013-12-02","80.82"
"2013-11-29","80.17"
"2013-11-27","79.85"
"2013-11-26","79.25"
"2013-11-25","79.59"
"2013-11-22","79.63"
"2013-11-21","80.16"
"2013-11-20","80.12"
"2013-11-19","79.63"
"2013-11-18","79.54"
"2013-11-15","80.51"
"2013-11-14","80.80"
"2013-11-13","83.13"
"2013-11-12","82.12"
"2013-11-11","82.36"
"2013-11-08","82.29"
"2013-11-07","80.91"
"2013-11-06","83.79"
"2013-11-05","84.15"
"2013-11-04","83.07"
"2013-11-01","83.55"
"2013-10-31","83.29"
"2013-10-30","83.49"
"2013-10-29","84.71"
"2013-10-28","84.53"
"2013-10-25","84.94"
"2013-10-24","84.39"
"2013-10-23","84.37"
"2013-10-22","84.65"
"2013-10-21","83.86"
"2013-10-18","83.64"
"2013-10-17","83.12"
"2013-10-16","82.47"
"2013-10-15","82.55"
"2013-10-14","82.84"
"2013-10-11","82.00"
"2013-10-10","81.05"
"2013-10-09","80.17"
"2013-10-08","80.59"
"2013-10-07","82.34"
"2013-10-04","83.20"
"2013-10-03","82.15"
"2013-10-02","82.83"
"2013-10-01","84.33"
"2013-09-30","83.58"
"2013-09-27","84.42"
"2013-09-26","83.81"
"2013-09-25","82.91"
"2013-09-24","82.94"
"2013-09-23","83.38"
"2013-09-20","83.14"
"2013-09-19","83.20"
"2013-09-18","83.20"
"2013-09-17","83.14"
"2013-09-16","82.75"
"2013-09-13","82.27"
"2013-09-12","82.55"
"2013-09-11","82.05"
"2013-09-10","80.75"
"2013-09-09","80.39"
"2013-09-06","80.29"
"2013-09-05","79.91"
"2013-09-04","80.10"
"2013-09-03","79.91"
"2013-08-30","79.56"
"2013-08-29","79.41"
"2013-08-28","79.41"
"2013-08-27","78.32"
"2013-08-26","79.51"
"2013-08-23","79.43"
"2013-08-22","79.59"
"2013-08-21","77.93"
"2013-08-20","78.24"
"2013-08-19","77.68"
"2013-08-16","78.51"
"2013-08-15","78.17"
"2013-08-14","79.56"
"2013-08-13","79.74"
"2013-08-12","79.59"
"2013-08-09","80.15"
"2013-08-08","80.10"
"2013-08-07","79.43"
"2013-08-06","78.85"
"2013-08-05","78.75"
"2013-08-02","79.17"
"2013-08-01","74.36"
"2013-07-31","72.77"
"2013-07-30","72.14"
"2013-07-29","72.28"
"2013-07-26","73.04"
"2013-07-25","72.87"
"2013-07-24","72.61"
"2013-07-23","73.72"
