"Date","Close"
"2013-12-31","50.40"
"2013-12-30","48.64"
"2013-12-27","48.67"
"2013-12-26","48.76"
"2013-12-24","48.63"
"2013-12-23","48.36"
"2013-12-20","47.49"
"2013-12-19","46.66"
"2013-12-18","48.10"
"2013-12-17","46.99"
"2013-12-16","46.75"
"2013-12-13","46.13"
"2013-12-12","45.88"
"2013-12-11","46.04"
"2013-12-10","46.48"
"2013-12-09","46.14"
"2013-12-06","46.58"
"2013-12-05","45.35"
"2013-12-04","45.02"
"2013-12-03","46.77"
"2013-12-02","46.83"
"2013-11-29","45.72"
"2013-11-27","45.97"
"2013-11-26","44.35"
"2013-11-25","44.58"
"2013-11-22","44.11"
"2013-11-21","42.54"
"2013-11-20","42.11"
"2013-11-19","42.34"
"2013-11-18","42.92"
"2013-11-15","43.00"
"2013-11-14","42.84"
"2013-11-13","41.24"
"2013-11-12","41.02"
"2013-11-11","40.31"
"2013-11-08","40.32"
"2013-11-07","39.28"
"2013-11-06","40.24"
"2013-11-05","41.44"
"2013-11-04","41.55"
"2013-11-01","41.00"
"2013-10-31","41.17"
"2013-10-30","41.41"
"2013-10-29","40.21"
"2013-10-28","39.45"
"2013-10-25","39.44"
"2013-10-24","39.42"
"2013-10-23","40.13"
"2013-10-22","40.45"
"2013-10-21","39.75"
"2013-10-18","39.10"
"2013-10-17","38.39"
"2013-10-16","37.25"
"2013-10-15","36.49"
"2013-10-14","36.57"
"2013-10-11","36.54"
"2013-10-10","35.57"
"2013-10-09","33.97"
"2013-10-08","33.73"
"2013-10-07","34.05"
"2013-10-04","34.44"
"2013-10-03","34.10"
"2013-10-02","34.38"
"2013-10-01","33.84"
"2013-09-30","34.15"
"2013-09-27","34.30"
"2013-09-26","34.31"
"2013-09-25","34.88"
"2013-09-24","34.31"
"2013-09-23","34.11"
"2013-09-20","34.44"
"2013-09-19","34.73"
"2013-09-18","35.10"
"2013-09-17","34.60"
"2013-09-16","34.56"
"2013-09-13","35.05"
"2013-09-12","34.70"
"2013-09-11","36.07"
"2013-09-10","36.15"
"2013-09-09","36.59"
"2013-09-06","36.76"
"2013-09-05","36.75"
"2013-09-04","36.88"
"2013-09-03","36.30"
"2013-08-30","35.53"
"2013-08-29","35.80"
"2013-08-28","35.77"
"2013-08-27","35.26"
"2013-08-26","36.02"
"2013-08-23","36.40"
"2013-08-22","35.98"
"2013-08-21","35.40"
"2013-08-20","35.24"
"2013-08-19","34.47"
"2013-08-16","35.41"
"2013-08-15","35.93"
"2013-08-14","36.74"
"2013-08-13","36.86"
"2013-08-12","36.85"
"2013-08-09","37.13"
"2013-08-08","37.03"
"2013-08-07","36.55"
"2013-08-06","36.53"
"2013-08-05","35.13"
"2013-08-02","35.09"
"2013-08-01","36.06"
"2013-07-31","35.77"
"2013-07-30","35.53"
"2013-07-29","35.79"
"2013-07-26","36.04"
"2013-07-25","35.67"
"2013-07-24","34.60"
"2013-07-23","35.33"
"2013-07-22","35.27"
"2013-07-19","34.71"
"2013-07-18","34.22"
"2013-07-17","35.10"
"2013-07-16","34.78"
"2013-07-15","35.38"
"2013-07-12","35.86"
"2013-07-11","34.54"
"2013-07-10","33.55"
"2013-07-09","34.28"
"2013-07-08","34.53"
"2013-07-05","33.85"
"2013-07-03","33.69"
"2013-07-02","33.54"
"2013-07-01","34.25"
"2013-06-28","34.77"
"2013-06-27","34.99"
"2013-06-26","35.40"
"2013-06-25","34.98"
"2013-06-24","33.76"
"2013-06-21","35.39"
"2013-06-20","35.73"
"2013-06-19","37.58"
"2013-06-18","38.07"
"2013-06-17","37.95"
"2013-06-14","38.01"
"2013-06-13","38.66"
"2013-06-12","37.96"
"2013-06-11","38.48"
"2013-06-10","38.97"
"2013-06-07","39.57"
"2013-06-06","39.27"
"2013-06-05","38.62"
"2013-06-04","38.96"
"2013-06-03","40.25"
"2013-05-31","40.63"
"2013-05-30","40.66"
"2013-05-29","40.48"
"2013-05-28","40.73"
"2013-05-24","40.06"
"2013-05-23","40.24"
"2013-05-22","40.53"
"2013-05-21","41.21"
"2013-05-20","42.09"
"2013-05-17","41.20"
"2013-05-16","39.61"
"2013-05-15","39.81"
"2013-05-14","39.01"
"2013-05-13","38.12"
"2013-05-10","38.80"
"2013-05-09","38.23"
"2013-05-08","38.26"
"2013-05-07","39.11"
"2013-05-06","38.38"
"2013-05-03","37.59"
"2013-05-02","36.98"
"2013-05-01","38.78"
"2013-04-30","40.32"
"2013-04-29","41.20"
"2013-04-26","40.72"
"2013-04-25","41.24"
"2013-04-24","41.97"
"2013-04-23","40.65"
"2013-04-22","39.79"
"2013-04-19","39.24"
"2013-04-18","38.69"
"2013-04-17","38.24"
"2013-04-16","39.64"
"2013-04-15","38.80"
"2013-04-12","40.91"
"2013-04-11","41.26"
"2013-04-10","42.97"
"2013-04-09","42.66"
"2013-04-08","42.12"
"2013-04-05","41.98"
"2013-04-04","41.44"
"2013-04-03","40.60"
"2013-04-02","42.41"
"2013-04-01","44.97"
"2013-03-28","45.49"
"2013-03-27","44.95"
"2013-03-26","44.95"
"2013-03-25","44.28"
"2013-03-22","44.24"
"2013-03-21","44.02"
"2013-03-20","44.67"
"2013-03-19","44.22"
"2013-03-18","44.39"
"2013-03-15","44.18"
"2013-03-14","43.84"
"2013-03-13","43.42"
"2013-03-12","45.55"
"2013-03-11","43.72"
"2013-03-08","45.50"
"2013-03-07","46.51"
"2013-03-06","47.62"
"2013-03-05","48.24"
"2013-03-04","48.51"
"2013-03-01","46.63"
"2013-02-28","45.59"
"2013-02-27","45.99"
"2013-02-26","44.93"
"2013-02-25","44.25"
"2013-02-22","46.07"
"2013-02-21","45.53"
"2013-02-20","44.93"
"2013-02-19","47.73"
"2013-02-15","47.29"
"2013-02-14","47.23"
"2013-02-13","46.24"
"2013-02-12","45.65"
"2013-02-11","46.14"
"2013-02-08","46.13"
"2013-02-07","45.32"
"2013-02-06","45.44"
"2013-02-05","45.70"
"2013-02-04","44.90"
"2013-02-01","44.85"
"2013-01-31","43.73"
"2013-01-30","43.75"
"2013-01-29","43.77"
"2013-01-28","38.81"
"2013-01-25","38.10"
"2013-01-24","37.96"
"2013-01-23","37.97"
"2013-01-22","37.16"
"2013-01-18","36.76"
"2013-01-17","36.82"
"2013-01-16","36.79"
"2013-01-15","35.80"
"2013-01-14","35.33"
"2013-01-11","34.70"
"2013-01-10","34.90"
"2013-01-09","34.37"
"2013-01-08","34.67"
"2013-01-07","34.35"
"2013-01-04","35.31"
"2013-01-03","34.72"
"2013-01-02","35.48"
"2012-12-31","34.12"
"2012-12-28","33.10"
"2012-12-27","33.83"
"2012-12-26","33.68"
"2012-12-24","33.74"
"2012-12-21","34.14"
"2012-12-20","34.38"
"2012-12-19","34.03"
"2012-12-18","34.24"
"2012-12-17","34.04"
"2012-12-14","33.37"
"2012-12-13","32.60"
"2012-12-12","32.79"
"2012-12-11","32.66"
"2012-12-10","32.66"
"2012-12-07","31.86"
"2012-12-06","31.80"
"2012-12-05","31.34"
"2012-12-04","32.21"
"2012-12-03","31.89"
"2012-11-30","32.26"
"2012-11-29","32.24"
"2012-11-28","31.65"
"2012-11-27","31.15"
"2012-11-26","31.59"
"2012-11-23","31.92"
"2012-11-21","31.00"
"2012-11-20","30.55"
"2012-11-19","30.11"
"2012-11-16","29.36"
"2012-11-15","29.58"
"2012-11-14","28.86"
"2012-11-13","29.22"
"2012-11-12","29.46"
"2012-11-09","29.59"
"2012-11-08","29.37"
"2012-11-07","29.39"
"2012-11-06","30.06"
"2012-11-05","28.88"
"2012-11-02","28.20"
"2012-11-01","28.76"
"2012-10-31","29.10"
"2012-10-26","29.03"
"2012-10-25","28.49"
"2012-10-24","28.41"
"2012-10-23","28.36"
"2012-10-22","29.47"
"2012-10-19","29.53"
"2012-10-18","29.64"
"2012-10-17","30.03"
"2012-10-16","29.52"
"2012-10-15","28.81"
"2012-10-12","29.01"
"2012-10-11","29.14"
"2012-10-10","29.47"
"2012-10-09","31.40"
"2012-10-08","31.71"
"2012-10-05","31.89"
"2012-10-04","32.61"
"2012-10-03","31.59"
"2012-10-02","32.14"
"2012-10-01","32.13"
"2012-09-28","31.68"
"2012-09-27","31.44"
"2012-09-26","30.90"
"2012-09-25","31.47"
"2012-09-24","31.75"
"2012-09-21","31.97"
"2012-09-20","32.14"
"2012-09-19","32.22"
"2012-09-18","31.60"
"2012-09-17","32.04"
"2012-09-14","33.75"
"2012-09-13","32.79"
"2012-09-12","32.78"
"2012-09-11","32.77"
"2012-09-10","32.02"
"2012-09-07","32.18"
"2012-09-06","31.42"
"2012-09-05","31.22"
"2012-09-04","31.02"
"2012-08-31","31.26"
"2012-08-30","30.73"
"2012-08-29","30.77"
"2012-08-28","31.12"
"2012-08-27","30.77"
"2012-08-24","29.24"
"2012-08-23","29.21"
"2012-08-22","29.55"
"2012-08-21","29.80"
"2012-08-20","29.75"
"2012-08-17","28.80"
"2012-08-16","29.02"
"2012-08-15","28.60"
"2012-08-14","28.71"
"2012-08-13","28.53"
"2012-08-10","29.10"
"2012-08-09","28.86"
"2012-08-08","28.76"
"2012-08-07","28.56"
"2012-08-06","28.14"
"2012-08-03","27.84"
"2012-08-02","27.30"
"2012-08-01","27.15"
"2012-07-31","27.50"
"2012-07-30","26.08"
"2012-07-27","26.10"
"2012-07-26","25.51"
"2012-07-25","24.93"
"2012-07-24","25.20"
"2012-07-23","25.65"
"2012-07-20","25.54"
"2012-07-19","25.42"
"2012-07-18","25.82"
"2012-07-17","25.45"
"2012-07-16","25.24"
"2012-07-13","24.86"
"2012-07-12","24.30"
"2012-07-11","24.02"
"2012-07-10","23.64"
"2012-07-09","23.81"
"2012-07-06","24.56"
"2012-07-05","24.41"
"2012-07-03","25.01"
"2012-07-02","24.19"
"2012-06-29","24.15"
"2012-06-28","23.93"
"2012-06-27","23.62"
"2012-06-26","23.35"
"2012-06-25","22.97"
"2012-06-22","23.50"
"2012-06-21","22.99"
"2012-06-20","23.54"
"2012-06-19","23.03"
"2012-06-18","21.79"
"2012-06-15","22.24"
"2012-06-14","21.89"
"2012-06-13","21.74"
"2012-06-12","22.28"
"2012-06-11","21.85"
"2012-06-08","21.27"
"2012-06-07","21.45"
"2012-06-06","21.72"
"2012-06-05","21.00"
"2012-06-04","20.37"
"2012-06-01","20.68"
"2012-05-31","21.10"
"2012-05-30","21.81"
"2012-05-29","22.37"
"2012-05-25","22.34"
"2012-05-24","22.12"
"2012-05-23","22.21"
"2012-05-22","22.06"
"2012-05-21","21.88"
"2012-05-18","21.44"
"2012-05-17","21.59"
"2012-05-16","21.83"
"2012-05-15","21.52"
"2012-05-14","22.05"
"2012-05-11","22.54"
"2012-05-10","22.56"
"2012-05-09","22.48"
"2012-05-08","22.56"
"2012-05-07","22.88"
"2012-05-04","22.95"
"2012-05-03","23.54"
"2012-05-02","24.21"
"2012-05-01","24.84"
"2012-04-30","24.70"
"2012-04-27","25.12"
"2012-04-26","24.57"
"2012-04-25","24.16"
"2012-04-24","23.93"
"2012-04-23","23.62"
"2012-04-20","23.75"
"2012-04-19","23.90"
"2012-04-18","23.88"
"2012-04-17","24.08"
"2012-04-16","23.36"
"2012-04-13","24.14"
"2012-04-12","24.93"
"2012-04-11","23.79"
"2012-04-10","23.60"
"2012-04-09","24.71"
"2012-04-05","24.94"
"2012-04-04","25.27"
"2012-04-03","25.40"
"2012-04-02","26.33"
"2012-03-30","25.77"
"2012-03-29","26.65"
"2012-03-28","27.32"
"2012-03-27","27.52"
"2012-03-26","27.05"
"2012-03-23","26.69"
"2012-03-22","26.44"
"2012-03-21","27.14"
"2012-03-20","27.46"
"2012-03-19","27.95"
"2012-03-16","27.99"
"2012-03-15","28.02"
"2012-03-14","27.98"
"2012-03-13","28.48"
"2012-03-12","28.22"
"2012-03-09","28.56"
"2012-03-08","27.87"
"2012-03-07","27.00"
"2012-03-06","25.17"
"2012-03-05","25.69"
"2012-03-02","26.02"
"2012-03-01","25.70"
"2012-02-29","24.49"
"2012-02-28","24.79"
"2012-02-27","24.53"
"2012-02-24","24.39"
"2012-02-23","25.80"
"2012-02-22","25.51"
"2012-02-21","25.53"
"2012-02-17","24.99"
"2012-02-16","25.35"
"2012-02-15","24.87"
"2012-02-14","24.62"
"2012-02-13","24.45"
"2012-02-10","24.81"
"2012-02-09","25.29"
"2012-02-08","25.04"
"2012-02-07","25.29"
"2012-02-06","24.86"
"2012-02-03","24.63"
"2012-02-02","24.08"
"2012-02-01","23.98"
"2012-01-31","23.99"
"2012-01-30","24.28"
"2012-01-27","24.12"
"2012-01-26","23.89"
"2012-01-25","24.65"
"2012-01-24","24.19"
"2012-01-23","23.52"
"2012-01-20","23.51"
"2012-01-19","23.00"
"2012-01-18","23.05"
"2012-01-17","22.03"
"2012-01-13","21.02"
"2012-01-12","20.94"
"2012-01-11","20.45"
"2012-01-10","20.08"
"2012-01-09","19.61"
"2012-01-06","20.37"
"2012-01-05","19.81"
"2012-01-04","20.42"
"2012-01-03","20.93"
"2011-12-30","21.05"
"2011-12-29","20.75"
"2011-12-28","20.77"
"2011-12-27","21.26"
"2011-12-23","21.04"
"2011-12-22","20.99"
"2011-12-21","21.03"
"2011-12-20","20.82"
"2011-12-19","19.89"
"2011-12-16","20.52"
"2011-12-15","20.34"
"2011-12-14","20.36"
"2011-12-13","20.46"
"2011-12-12","20.70"
"2011-12-09","21.15"
"2011-12-08","20.88"
"2011-12-07","22.06"
"2011-12-06","22.37"
"2011-12-05","22.80"
"2011-12-02","22.56"
"2011-12-01","22.12"
"2011-11-30","22.27"
"2011-11-29","21.39"
"2011-11-28","21.19"
"2011-11-25","20.23"
"2011-11-23","20.40"
"2011-11-22","20.88"
"2011-11-21","21.08"
"2011-11-18","21.81"
"2011-11-17","21.87"
"2011-11-16","22.56"
"2011-11-15","24.88"
"2011-11-14","24.43"
"2011-11-11","24.77"
"2011-11-10","25.61"
"2011-11-09","25.51"
"2011-11-08","26.33"
"2011-11-07","26.18"
"2011-11-04","25.80"
"2011-11-03","25.44"
"2011-11-02","25.15"
"2011-11-01","24.23"
"2011-10-31","24.60"
"2011-10-28","26.70"
"2011-10-27","26.24"
"2011-10-26","25.15"
"2011-10-25","21.84"
"2011-10-24","23.25"
"2011-10-21","23.68"
"2011-10-20","23.38"
"2011-10-19","22.83"
"2011-10-18","23.39"
"2011-10-17","22.63"
"2011-10-14","23.62"
"2011-10-13","22.65"
"2011-10-12","22.24"
"2011-10-11","21.72"
"2011-10-10","21.04"
"2011-10-07","19.78"
"2011-10-06","20.29"
"2011-10-05","19.61"
"2011-10-04","17.96"
"2011-10-03","17.17"
"2011-09-30","17.78"
"2011-09-29","18.60"
"2011-09-28","18.46"
"2011-09-27","19.20"
"2011-09-26","19.20"
"2011-09-23","18.48"
"2011-09-22","18.57"
"2011-09-21","19.89"
"2011-09-20","20.98"
"2011-09-19","21.41"
"2011-09-16","22.19"
"2011-09-15","22.41"
"2011-09-14","21.96"
"2011-09-13","22.09"
"2011-09-12","22.34"
"2011-09-09","22.32"
"2011-09-08","23.19"
"2011-09-07","22.28"
"2011-09-06","21.65"
"2011-09-02","21.94"
"2011-09-01","22.49"
"2011-08-31","22.72"
"2011-08-30","22.00"
"2011-08-29","21.70"
"2011-08-26","20.87"
"2011-08-25","20.21"
"2011-08-24","20.46"
"2011-08-23","20.13"
"2011-08-22","18.94"
"2011-08-19","18.82"
"2011-08-18","19.26"
"2011-08-17","20.95"
"2011-08-16","20.97"
"2011-08-15","21.53"
"2011-08-12","20.90"
"2011-08-11","20.76"
"2011-08-10","19.26"
"2011-08-09","20.04"
"2011-08-08","18.32"
"2011-08-05","20.71"
"2011-08-04","21.00"
"2011-08-03","23.26"
"2011-08-02","23.56"
"2011-08-01","24.94"
"2011-07-29","25.12"
"2011-07-28","24.84"
"2011-07-27","25.44"
"2011-07-26","26.48"
"2011-07-25","26.68"
"2011-07-22","26.71"
"2011-07-21","26.89"
"2011-07-20","25.74"
"2011-07-19","25.65"
"2011-07-18","25.12"
"2011-07-15","25.26"
"2011-07-14","24.82"
"2011-07-13","25.50"
"2011-07-12","25.24"
"2011-07-11","25.32"
"2011-07-08","26.18"
"2011-07-07","26.32"
"2011-07-06","25.30"
"2011-07-05","25.49"
"2011-07-01","25.79"
"2011-06-30","25.57"
"2011-06-29","24.95"
"2011-06-28","24.60"
"2011-06-27","23.70"
"2011-06-24","23.18"
"2011-06-23","24.76"
"2011-06-22","24.95"
"2011-06-21","24.89"
"2011-06-20","24.24"
"2011-06-17","24.10"
"2011-06-16","24.17"
"2011-06-15","24.34"
"2011-06-14","25.26"
"2011-06-13","24.33"
"2011-06-10","24.96"
"2011-06-09","25.40"
"2011-06-08","25.16"
"2011-06-07","25.57"
"2011-06-06","25.10"
"2011-06-03","26.33"
"2011-06-02","26.46"
"2011-06-01","27.09"
