"Date","Close"
"2013-12-31","59.42"
"2013-12-30","59.49"
"2013-12-27","58.64"
"2013-12-26","58.27"
"2013-12-24","57.99"
"2013-12-23","57.69"
"2013-12-20","57.34"
"2013-12-19","57.16"
"2013-12-18","57.74"
"2013-12-17","56.49"
"2013-12-16","56.71"
"2013-12-13","56.13"
"2013-12-12","54.41"
"2013-12-11","53.90"
"2013-12-10","54.96"
"2013-12-09","55.61"
"2013-12-06","55.92"
"2013-12-05","54.62"
"2013-12-04","54.45"
"2013-12-03","55.51"
"2013-12-02","56.56"
"2013-11-29","56.37"
"2013-11-27","57.11"
"2013-11-26","57.32"
"2013-11-25","57.43"
"2013-11-22","56.79"
"2013-11-21","56.35"
"2013-11-20","55.73"
"2013-11-19","55.69"
"2013-11-18","55.34"
"2013-11-15","56.80"
"2013-11-14","55.96"
"2013-11-13","56.06"
"2013-11-12","55.84"
"2013-11-11","56.28"
"2013-11-08","56.60"
"2013-11-07","55.35"
"2013-11-06","56.18"
"2013-11-05","56.44"
"2013-11-04","57.78"
"2013-11-01","53.67"
"2013-10-31","53.55"
"2013-10-30","53.99"
"2013-10-29","54.46"
"2013-10-28","54.83"
"2013-10-25","54.84"
"2013-10-24","54.85"
"2013-10-23","53.53"
"2013-10-22","54.14"
"2013-10-21","51.90"
"2013-10-18","52.08"
"2013-10-17","52.00"
"2013-10-16","51.77"
"2013-10-15","51.58"
"2013-10-14","52.93"
"2013-10-11","52.83"
"2013-10-10","52.35"
"2013-10-09","50.75"
"2013-10-08","51.36"
"2013-10-07","52.51"
"2013-10-04","52.81"
"2013-10-03","52.66"
"2013-10-02","53.68"
"2013-10-01","52.69"
"2013-09-30","51.81"
"2013-09-27","51.30"
"2013-09-26","52.08"
"2013-09-25","52.18"
"2013-09-24","51.55"
"2013-09-23","51.11"
"2013-09-20","51.99"
"2013-09-19","52.93"
"2013-09-18","53.38"
"2013-09-17","51.92"
"2013-09-16","52.35"
"2013-09-13","52.57"
"2013-09-12","51.70"
"2013-09-11","52.41"
"2013-09-10","51.50"
"2013-09-09","50.23"
"2013-09-06","49.14"
"2013-09-05","49.20"
"2013-09-04","48.81"
"2013-09-03","48.49"
"2013-08-30","47.80"
"2013-08-29","47.65"
"2013-08-28","47.86"
"2013-08-27","47.78"
"2013-08-26","48.03"
"2013-08-23","48.23"
"2013-08-22","49.71"
"2013-08-21","48.97"
"2013-08-20","49.63"
