"Date","Close"
"2013-12-31","88.79"
"2013-12-30","89.75"
"2013-12-27","89.90"
"2013-12-26","89.21"
"2013-12-24","89.09"
"2013-12-23","89.11"
"2013-12-20","88.84"
"2013-12-19","88.60"
"2013-12-18","89.90"
"2013-12-17","88.02"
"2013-12-16","87.77"
"2013-12-13","88.07"
"2013-12-12","87.29"
"2013-12-11","87.86"
"2013-12-10","90.51"
"2013-12-09","90.49"
"2013-12-06","90.75"
"2013-12-05","89.64"
"2013-12-04","89.68"
"2013-12-03","88.98"
"2013-12-02","87.92"
"2013-11-29","87.93"
"2013-11-27","89.16"
"2013-11-26","88.33"
"2013-11-25","89.03"
"2013-11-22","89.94"
"2013-11-21","89.76"
"2013-11-20","88.45"
"2013-11-19","89.19"
"2013-11-18","89.77"
"2013-11-15","90.03"
"2013-11-14","89.44"
"2013-11-13","88.67"
"2013-11-12","87.88"
"2013-11-11","88.32"
"2013-11-08","88.08"
"2013-11-07","88.59"
"2013-11-06","90.64"
"2013-11-05","90.53"
"2013-11-04","90.45"
"2013-11-01","89.97"
"2013-10-31","89.06"
"2013-10-30","89.19"
"2013-10-29","90.21"
"2013-10-28","90.45"
"2013-10-25","91.11"
"2013-10-24","89.91"
"2013-10-23","89.39"
"2013-10-22","89.70"
"2013-10-21","88.74"
"2013-10-18","89.09"
"2013-10-17","89.44"
"2013-10-16","88.47"
"2013-10-15","86.41"
"2013-10-14","87.04"
"2013-10-11","86.92"
"2013-10-10","86.67"
"2013-10-09","83.70"
"2013-10-08","83.71"
"2013-10-07","84.39"
"2013-10-04","84.52"
"2013-10-03","83.15"
"2013-10-02","84.26"
"2013-10-01","84.72"
"2013-09-30","84.06"
"2013-09-27","84.41"
"2013-09-26","85.20"
"2013-09-25","84.40"
"2013-09-24","84.69"
"2013-09-23","86.03"
"2013-09-20","86.32"
"2013-09-19","88.66"
"2013-09-18","88.12"
"2013-09-17","85.05"
"2013-09-16","85.36"
"2013-09-13","84.55"
"2013-09-12","84.32"
"2013-09-11","85.16"
"2013-09-10","84.28"
"2013-09-09","84.55"
"2013-09-06","82.38"
"2013-09-05","80.75"
"2013-09-04","81.52"
"2013-09-03","80.96"
"2013-08-30","81.30"
"2013-08-29","81.80"
"2013-08-28","82.48"
"2013-08-27","82.88"
"2013-08-26","82.97"
"2013-08-23","82.96"
"2013-08-22","81.99"
"2013-08-21","81.06"
"2013-08-20","81.18"
"2013-08-19","79.58"
"2013-08-16","81.40"
"2013-08-15","82.84"
"2013-08-14","84.02"
"2013-08-13","83.24"
"2013-08-12","83.75"
"2013-08-09","84.91"
"2013-08-08","84.78"
"2013-08-07","84.75"
"2013-08-06","84.05"
"2013-08-05","83.62"
"2013-08-02","83.38"
"2013-08-01","84.16"
"2013-07-31","84.81"
"2013-07-30","86.16"
"2013-07-29","86.93"
"2013-07-26","87.53"
"2013-07-25","86.83"
"2013-07-24","87.07"
"2013-07-23","88.68"
"2013-07-22","88.91"
"2013-07-19","88.41"
"2013-07-18","88.71"
"2013-07-17","87.57"
"2013-07-16","87.28"
"2013-07-15","87.77"
"2013-07-12","86.96"
"2013-07-11","87.51"
"2013-07-10","85.47"
"2013-07-09","85.52"
"2013-07-08","84.70"
"2013-07-05","84.44"
"2013-07-03","84.15"
"2013-07-02","84.51"
"2013-07-01","83.01"
"2013-06-28","82.85"
"2013-06-27","82.93"
"2013-06-26","80.60"
"2013-06-25","79.19"
"2013-06-24","78.14"
"2013-06-21","78.33"
"2013-06-20","76.73"
"2013-06-19","80.91"
"2013-06-18","83.99"
"2013-06-17","83.18"
"2013-06-14","82.85"
"2013-06-13","82.51"
"2013-06-12","79.39"
"2013-06-11","79.85"
"2013-06-10","81.10"
"2013-06-07","81.49"
"2013-06-06","80.61"
"2013-06-05","79.21"
"2013-06-04","80.04"
"2013-06-03","80.82"
"2013-05-31","79.95"
"2013-05-30","81.39"
"2013-05-29","82.69"
"2013-05-28","83.60"
"2013-05-24","84.27"
"2013-05-23","83.92"
"2013-05-22","85.67"
"2013-05-21","87.71"
"2013-05-20","87.67"
"2013-05-17","87.46"
"2013-05-16","87.59"
"2013-05-15","88.15"
"2013-05-14","86.99"
"2013-05-13","86.76"
"2013-05-10","86.27"
"2013-05-09","86.16"
"2013-05-08","87.43"
"2013-05-07","86.82"
"2013-05-06","87.84"
"2013-05-03","86.93"
"2013-05-02","87.25"
"2013-05-01","87.40"
"2013-04-30","87.56"
"2013-04-29","86.94"
"2013-04-26","85.93"
"2013-04-25","86.54"
"2013-04-24","87.14"
"2013-04-23","86.76"
"2013-04-22","86.58"
"2013-04-19","86.02"
"2013-04-18","85.00"
"2013-04-17","86.26"
"2013-04-16","87.07"
"2013-04-15","85.61"
"2013-04-12","87.41"
"2013-04-11","87.20"
"2013-04-10","87.06"
"2013-04-09","86.80"
"2013-04-08","87.92"
"2013-04-05","86.96"
"2013-04-04","87.22"
"2013-04-03","84.43"
"2013-04-02","84.41"
"2013-04-01","84.22"
"2013-03-28","83.64"
"2013-03-27","83.45"
"2013-03-26","82.33"
"2013-03-25","81.52"
"2013-03-22","81.59"
"2013-03-21","81.48"
"2013-03-20","81.77"
"2013-03-19","81.72"
"2013-03-18","82.69"
"2013-03-15","83.28"
"2013-03-14","83.37"
"2013-03-13","83.16"
"2013-03-12","83.64"
"2013-03-11","84.84"
"2013-03-08","84.24"
"2013-03-07","83.02"
"2013-03-06","83.22"
"2013-03-05","84.11"
"2013-03-04","81.36"
"2013-03-01","80.31"
"2013-02-28","80.21"
"2013-02-27","82.68"
"2013-02-26","83.00"
"2013-02-25","83.06"
"2013-02-22","85.34"
"2013-02-21","84.00"
"2013-02-20","84.88"
"2013-02-19","85.75"
"2013-02-15","84.89"
"2013-02-14","85.04"
"2013-02-13","85.59"
"2013-02-12","85.57"
"2013-02-11","84.80"
"2013-02-08","84.51"
"2013-02-07","83.28"
"2013-02-06","83.81"
"2013-02-05","84.56"
"2013-02-04","84.49"
"2013-02-01","85.40"
"2013-01-31","84.46"
"2013-01-30","85.16"
"2013-01-29","85.64"
"2013-01-28","85.17"
"2013-01-25","85.45"
"2013-01-24","84.77"
"2013-01-23","84.80"
"2013-01-22","84.76"
"2013-01-18","84.63"
"2013-01-17","83.46"
"2013-01-16","83.16"
"2013-01-15","82.73"
"2013-01-14","82.41"
"2013-01-11","81.08"
"2013-01-10","81.05"
"2013-01-09","81.37"
"2013-01-08","81.13"
"2013-01-07","81.94"
"2013-01-04","82.25"
"2013-01-03","81.31"
"2013-01-02","80.92"
"2012-12-31","80.08"
"2012-12-28","79.27"
"2012-12-27","79.54"
"2012-12-26","79.20"
"2012-12-24","79.73"
"2012-12-21","79.76"
"2012-12-20","80.15"
"2012-12-19","79.33"
"2012-12-18","79.25"
"2012-12-17","78.17"
"2012-12-14","77.28"
"2012-12-13","76.73"
"2012-12-12","76.79"
"2012-12-11","76.73"
"2012-12-10","76.66"
"2012-12-07","76.54"
"2012-12-06","75.65"
"2012-12-05","75.93"
"2012-12-04","76.41"
"2012-12-03","76.67"
"2012-11-30","76.43"
"2012-11-29","75.84"
"2012-11-28","75.46"
"2012-11-27","74.98"
"2012-11-26","75.43"
"2012-11-23","75.61"
"2012-11-21","74.88"
"2012-11-20","74.77"
"2012-11-19","74.36"
"2012-11-16","73.23"
"2012-11-15","73.28"
"2012-11-14","73.96"
"2012-11-13","75.54"
"2012-11-12","76.09"
"2012-11-09","77.32"
"2012-11-08","77.97"
"2012-11-07","78.90"
"2012-11-06","80.37"
"2012-11-05","79.88"
"2012-11-02","80.94"
"2012-11-01","80.93"
"2012-10-31","80.21"
"2012-10-26","79.79"
"2012-10-25","80.00"
"2012-10-24","80.09"
"2012-10-23","80.43"
"2012-10-22","81.41"
"2012-10-19","81.30"
"2012-10-18","82.33"
"2012-10-17","80.14"
"2012-10-16","79.30"
"2012-10-15","78.79"
"2012-10-12","78.49"
"2012-10-11","79.02"
"2012-10-10","78.96"
"2012-10-09","78.87"
"2012-10-08","79.45"
"2012-10-05","80.00"
"2012-10-04","79.79"
"2012-10-03","80.61"
"2012-10-02","80.71"
"2012-10-01","80.29"
"2012-09-28","81.05"
"2012-09-27","81.41"
"2012-09-26","80.91"
"2012-09-25","81.01"
"2012-09-24","82.13"
"2012-09-21","82.32"
"2012-09-20","82.62"
"2012-09-19","83.78"
"2012-09-18","84.42"
"2012-09-17","84.64"
"2012-09-14","85.12"
"2012-09-13","84.30"
"2012-09-12","82.63"
"2012-09-11","82.38"
"2012-09-10","81.83"
"2012-09-07","81.88"
"2012-09-06","81.62"
"2012-09-05","81.12"
"2012-09-04","81.35"
"2012-08-31","81.17"
"2012-08-30","80.81"
"2012-08-29","81.87"
"2012-08-28","81.91"
"2012-08-27","82.22"
"2012-08-24","82.10"
"2012-08-23","81.58"
"2012-08-22","82.39"
"2012-08-21","82.86"
"2012-08-20","81.75"
"2012-08-17","82.30"
"2012-08-16","81.67"
"2012-08-15","81.42"
"2012-08-14","81.02"
"2012-08-13","80.76"
"2012-08-10","79.89"
"2012-08-09","80.01"
"2012-08-08","81.60"
"2012-08-07","83.59"
"2012-08-06","85.60"
"2012-08-03","85.65"
"2012-08-02","83.93"
"2012-08-01","83.89"
"2012-07-31","83.50"
"2012-07-30","83.85"
"2012-07-27","83.35"
"2012-07-26","82.62"
"2012-07-25","81.44"
"2012-07-24","81.59"
"2012-07-23","82.36"
"2012-07-20","83.48"
"2012-07-19","84.38"
"2012-07-18","85.59"
"2012-07-17","86.45"
"2012-07-16","85.98"
"2012-07-13","85.84"
"2012-07-12","84.29"
"2012-07-11","84.10"
"2012-07-10","83.71"
"2012-07-09","84.55"
"2012-07-06","84.67"
"2012-07-05","84.70"
"2012-07-03","84.76"
"2012-07-02","84.49"
"2012-06-29","83.98"
"2012-06-28","81.46"
"2012-06-27","80.70"
"2012-06-26","80.32"
"2012-06-25","79.80"
"2012-06-22","80.55"
"2012-06-21","80.73"
"2012-06-20","82.21"
"2012-06-19","82.66"
"2012-06-18","82.65"
"2012-06-15","81.80"
