"Date","Close"
"2013-12-31","74.30"
"2013-12-30","73.89"
"2013-12-27","73.45"
"2013-12-26","73.81"
"2013-12-24","73.49"
"2013-12-23","73.48"
"2013-12-20","71.83"
"2013-12-19","69.95"
"2013-12-18","68.63"
"2013-12-17","65.58"
"2013-12-16","64.76"
"2013-12-13","65.18"
"2013-12-12","65.36"
"2013-12-11","64.39"
"2013-12-10","66.23"
"2013-12-09","66.75"
"2013-12-06","66.45"
"2013-12-05","66.45"
"2013-12-04","67.33"
"2013-12-03","67.66"
"2013-12-02","69.25"
"2013-11-29","69.42"
"2013-11-27","68.32"
"2013-11-26","68.37"
"2013-11-25","67.96"
"2013-11-22","66.28"
"2013-11-21","66.23"
"2013-11-20","65.14"
"2013-11-19","62.38"
"2013-11-18","61.69"
"2013-11-15","63.39"
"2013-11-14","61.03"
"2013-11-13","61.20"
"2013-11-12","60.18"
"2013-11-11","60.55"
"2013-11-08","61.06"
"2013-11-07","61.03"
"2013-11-06","62.60"
"2013-11-05","65.38"
"2013-11-04","66.21"
"2013-11-01","67.36"
"2013-10-31","71.35"
"2013-10-30","71.75"
"2013-10-29","76.09"
"2013-10-28","77.83"
"2013-10-25","76.83"
"2013-10-24","76.91"
"2013-10-23","75.61"
"2013-10-22","77.62"
"2013-10-21","74.64"
"2013-10-18","77.06"
"2013-10-17","76.86"
"2013-10-16","75.46"
"2013-10-15","73.35"
"2013-10-14","73.71"
"2013-10-11","70.92"
"2013-10-10","70.99"
"2013-10-09","70.15"
"2013-10-08","72.22"
"2013-10-07","75.48"
"2013-10-04","77.21"
"2013-10-03","77.16"
"2013-10-02","76.74"
"2013-10-01","77.02"
"2013-09-30","75.82"
"2013-09-27","76.10"
"2013-09-26","76.53"
"2013-09-25","74.67"
"2013-09-24","74.53"
"2013-09-23","75.59"
"2013-09-20","76.15"
"2013-09-19","76.29"
"2013-09-18","77.11"
"2013-09-17","78.03"
"2013-09-16","76.18"
"2013-09-13","78.25"
"2013-09-12","81.40"
"2013-09-11","79.81"
"2013-09-10","81.32"
"2013-09-09","81.93"
"2013-09-06","78.99"
"2013-09-05","78.38"
"2013-09-04","78.30"
"2013-09-03","75.38"
"2013-08-30","75.15"
"2013-08-29","77.25"
"2013-08-28","75.94"
"2013-08-27","75.00"
"2013-08-26","77.95"
"2013-08-23","77.78"
"2013-08-22","78.40"
"2013-08-21","76.35"
"2013-08-20","76.55"
"2013-08-19","75.28"
"2013-08-16","76.51"
"2013-08-15","76.96"
"2013-08-14","78.25"
"2013-08-13","77.53"
"2013-08-12","77.48"
"2013-08-09","77.15"
"2013-08-08","77.67"
"2013-08-07","78.05"
"2013-08-06","77.33"
"2013-08-05","78.99"
"2013-08-02","79.44"
"2013-08-01","80.72"
"2013-07-31","79.80"
"2013-07-30","81.91"
"2013-07-29","79.66"
"2013-07-26","80.71"
"2013-07-25","87.62"
"2013-07-24","85.26"
"2013-07-23","86.55"
"2013-07-22","88.24"
"2013-07-19","88.51"
"2013-07-18","86.79"
"2013-07-17","85.51"
"2013-07-16","85.49"
"2013-07-15","86.75"
"2013-07-12","87.79"
"2013-07-11","84.70"
"2013-07-10","81.64"
"2013-07-09","79.99"
"2013-07-08","80.38"
"2013-07-05","82.43"
"2013-07-03","80.63"
"2013-07-02","79.52"
"2013-07-01","80.43"
"2013-06-28","80.06"
"2013-06-27","80.53"
"2013-06-26","80.32"
"2013-06-25","78.10"
"2013-06-24","76.67"
"2013-06-21","75.98"
"2013-06-20","76.16"
"2013-06-19","77.87"
"2013-06-18","78.80"
"2013-06-17","78.75"
"2013-06-14","80.31"
"2013-06-13","82.66"
"2013-06-12","80.23"
"2013-06-11","81.40"
"2013-06-10","83.14"
"2013-06-07","82.81"
"2013-06-06","78.02"
"2013-06-05","76.95"
"2013-06-04","78.36"
"2013-06-03","79.33"
"2013-05-31","80.33"
"2013-05-30","83.14"
"2013-05-29","78.39"
"2013-05-28","78.02"
"2013-05-24","78.40"
"2013-05-23","78.48"
"2013-05-22","78.43"
"2013-05-21","79.47"
"2013-05-20","77.38"
"2013-05-17","79.49"
"2013-05-16","77.89"
"2013-05-15","79.42"
"2013-05-14","81.01"
"2013-05-13","80.15"
"2013-05-10","80.43"
"2013-05-09","76.78"
"2013-05-08","75.43"
"2013-05-07","76.40"
"2013-05-06","77.25"
"2013-05-03","75.99"
"2013-05-02","77.72"
"2013-05-01","76.83"
"2013-04-30","76.82"
"2013-04-29","78.33"
"2013-04-26","79.02"
"2013-04-25","80.32"
"2013-04-24","81.05"
"2013-04-23","83.53"
"2013-04-22","82.33"
"2013-04-19","85.60"
"2013-04-18","52.87"
"2013-04-17","54.04"
"2013-04-16","54.39"
"2013-04-15","54.06"
"2013-04-12","55.74"
"2013-04-11","54.83"
"2013-04-10","54.84"
"2013-04-09","52.60"
"2013-04-08","52.74"
"2013-04-05","53.23"
"2013-04-04","52.95"
"2013-04-03","52.63"
"2013-04-02","53.93"
"2013-04-01","54.00"
"2013-03-28","54.97"
"2013-03-27","54.83"
"2013-03-26","54.34"
"2013-03-25","54.26"
"2013-03-22","53.74"
"2013-03-21","52.24"
"2013-03-20","52.48"
"2013-03-19","51.90"
"2013-03-18","51.37"
"2013-03-15","52.31"
"2013-03-14","52.79"
"2013-03-13","52.77"
"2013-03-12","52.41"
"2013-03-11","52.55"
"2013-03-08","52.81"
"2013-03-07","50.17"
"2013-03-06","49.51"
"2013-03-05","48.33"
"2013-03-04","46.31"
"2013-03-01","46.17"
"2013-02-28","46.82"
"2013-02-27","46.97"
"2013-02-26","44.18"
"2013-02-25","44.86"
"2013-02-22","45.91"
"2013-02-21","44.82"
"2013-02-20","45.44"
"2013-02-19","46.52"
"2013-02-15","45.61"
"2013-02-14","45.66"
"2013-02-13","46.48"
"2013-02-12","45.89"
"2013-02-11","45.70"
"2013-02-08","46.00"
"2013-02-07","45.65"
"2013-02-06","45.86"
"2013-02-05","45.60"
"2013-02-04","44.63"
"2013-02-01","45.44"
"2013-01-31","44.78"
"2013-01-30","44.65"
"2013-01-29","46.39"
"2013-01-28","45.92"
"2013-01-25","46.85"
"2013-01-24","47.32"
"2013-01-23","46.50"
"2013-01-22","47.07"
"2013-01-18","46.31"
"2013-01-17","46.79"
"2013-01-16","46.45"
"2013-01-15","47.08"
"2013-01-14","47.34"
"2013-01-11","47.31"
"2013-01-10","46.80"
"2013-01-09","48.25"
"2013-01-08","48.50"
"2013-01-07","47.29"
"2013-01-04","45.85"
"2013-01-03","45.15"
"2013-01-02","43.65"
"2012-12-31","41.90"
"2012-12-28","40.94"
"2012-12-27","41.76"
"2012-12-26","41.75"
"2012-12-24","42.49"
"2012-12-21","43.04"
"2012-12-20","43.34"
"2012-12-19","43.02"
"2012-12-18","43.33"
"2012-12-17","41.81"
"2012-12-14","41.79"
"2012-12-13","42.15"
"2012-12-12","42.25"
"2012-12-11","41.84"
"2012-12-10","40.25"
"2012-12-07","38.88"
"2012-12-06","39.10"
"2012-12-05","39.18"
"2012-12-04","39.49"
"2012-12-03","39.08"
"2012-11-30","39.79"
"2012-11-29","39.74"
"2012-11-28","39.53"
"2012-11-27","39.98"
"2012-11-26","40.50"
"2012-11-23","41.46"
"2012-11-21","41.11"
"2012-11-20","42.16"
"2012-11-19","41.43"
"2012-11-16","41.22"
"2012-11-15","40.66"
"2012-11-14","42.16"
"2012-11-13","44.10"
"2012-11-12","44.00"
"2012-11-09","45.01"
"2012-11-08","44.61"
"2012-11-07","45.53"
"2012-11-06","46.15"
"2012-11-05","46.41"
"2012-11-02","45.01"
"2012-11-01","50.48"
"2012-10-31","48.28"
"2012-10-26","49.56"
"2012-10-25","50.11"
"2012-10-24","49.50"
"2012-10-23","49.63"
"2012-10-22","49.87"
"2012-10-19","50.24"
"2012-10-18","52.63"
"2012-10-17","53.95"
"2012-10-16","53.29"
"2012-10-15","53.24"
"2012-10-12","53.53"
"2012-10-11","56.88"
"2012-10-10","57.00"
"2012-10-09","58.48"
"2012-10-08","58.49"
"2012-10-05","59.42"
"2012-10-04","59.39"
"2012-10-03","57.76"
"2012-10-02","57.28"
"2012-10-01","56.44"
"2012-09-28","55.89"
"2012-09-27","55.66"
"2012-09-26","54.77"
"2012-09-25","56.26"
"2012-09-24","58.72"
"2012-09-21","59.04"
"2012-09-20","58.13"
"2012-09-19","57.90"
"2012-09-18","57.45"
"2012-09-17","57.54"
"2012-09-14","58.08"
"2012-09-13","56.21"
"2012-09-12","55.74"
"2012-09-11","56.05"
"2012-09-10","56.64"
"2012-09-07","57.10"
"2012-09-06","57.44"
"2012-09-05","54.99"
"2012-09-04","54.53"
"2012-08-31","53.33"
"2012-08-30","53.28"
"2012-08-29","53.32"
"2012-08-28","54.09"
"2012-08-27","53.51"
"2012-08-24","53.56"
"2012-08-23","53.87"
"2012-08-22","54.67"
"2012-08-21","54.63"
"2012-08-20","54.88"
"2012-08-17","54.78"
"2012-08-16","54.48"
"2012-08-15","54.42"
"2012-08-14","53.53"
"2012-08-13","51.42"
"2012-08-10","51.66"
"2012-08-09","51.51"
"2012-08-08","50.81"
"2012-08-07","51.51"
"2012-08-06","51.94"
"2012-08-03","49.34"
"2012-08-02","49.62"
"2012-08-01","49.16"
"2012-07-31","48.51"
"2012-07-30","49.96"
"2012-07-27","49.32"
"2012-07-26","49.08"
"2012-07-25","49.08"
"2012-07-24","48.37"
"2012-07-23","49.77"
"2012-07-20","51.27"
"2012-07-19","52.10"
"2012-07-18","53.61"
"2012-07-17","52.71"
"2012-07-16","52.40"
"2012-07-13","53.55"
"2012-07-12","52.94"
"2012-07-11","52.76"
"2012-07-10","54.16"
"2012-07-09","54.14"
"2012-07-06","54.66"
"2012-07-05","55.51"
"2012-07-03","55.46"
"2012-07-02","55.56"
"2012-06-29","55.92"
"2012-06-28","51.18"
"2012-06-27","61.11"
"2012-06-26","59.62"
"2012-06-25","58.43"
"2012-06-22","60.61"
"2012-06-21","57.60"
"2012-06-20","59.15"
"2012-06-19","57.23"
"2012-06-18","57.77"
"2012-06-15","56.54"
"2012-06-14","55.94"
"2012-06-13","55.46"
"2012-06-12","55.95"
"2012-06-11","54.90"
"2012-06-08","56.98"
"2012-06-07","56.77"
"2012-06-06","57.84"
"2012-06-05","58.56"
"2012-06-04","57.70"
"2012-06-01","59.56"
"2012-05-31","60.04"
"2012-05-30","60.18"
"2012-05-29","57.80"
"2012-05-25","64.85"
"2012-05-24","64.09"
"2012-05-23","63.94"
"2012-05-22","63.09"
"2012-05-21","62.10"
"2012-05-18","61.34"
"2012-05-17","61.27"
"2012-05-16","62.61"
