"Date","Close"
"2013-12-31","49.14"
"2013-12-30","49.15"
"2013-12-27","49.17"
"2013-12-26","49.18"
"2013-12-24","48.98"
"2013-12-23","48.58"
"2013-12-20","48.08"
"2013-12-19","48.43"
"2013-12-18","48.47"
"2013-12-17","47.56"
"2013-12-16","48.26"
"2013-12-13","47.84"
"2013-12-12","48.13"
"2013-12-11","48.49"
"2013-12-10","49.05"
"2013-12-09","49.57"
"2013-12-06","49.48"
"2013-12-05","48.91"
"2013-12-04","49.37"
"2013-12-03","49.60"
"2013-12-02","49.26"
"2013-11-29","49.62"
"2013-11-27","49.93"
"2013-11-26","50.05"
"2013-11-25","50.01"
"2013-11-22","50.22"
"2013-11-21","50.38"
"2013-11-20","50.40"
"2013-11-19","50.78"
"2013-11-18","50.76"
"2013-11-15","50.31"
"2013-11-14","50.27"
"2013-11-13","49.99"
"2013-11-12","50.16"
"2013-11-11","49.96"
"2013-11-08","50.20"
"2013-11-07","50.17"
"2013-11-06","50.61"
"2013-11-05","50.10"
"2013-11-04","51.08"
"2013-11-01","50.49"
"2013-10-31","50.51"
"2013-10-30","50.53"
"2013-10-29","51.09"
"2013-10-28","50.57"
"2013-10-25","50.71"
"2013-10-24","50.42"
"2013-10-23","50.82"
"2013-10-22","51.14"
"2013-10-21","50.58"
"2013-10-18","50.01"
"2013-10-17","48.90"
"2013-10-16","47.25"
"2013-10-15","46.32"
"2013-10-14","46.81"
"2013-10-11","47.09"
"2013-10-10","46.86"
"2013-10-09","46.20"
"2013-10-08","46.05"
"2013-10-07","47.29"
"2013-10-04","47.10"
"2013-10-03","47.01"
"2013-10-02","46.79"
"2013-10-01","46.99"
"2013-09-30","46.67"
"2013-09-27","47.00"
"2013-09-26","47.67"
"2013-09-25","46.95"
"2013-09-24","47.27"
"2013-09-23","47.98"
"2013-09-20","47.78"
"2013-09-19","48.51"
"2013-09-18","48.72"
"2013-09-17","48.57"
"2013-09-16","48.30"
"2013-09-13","47.76"
"2013-09-12","47.35"
"2013-09-11","46.52"
"2013-09-10","46.47"
"2013-09-09","45.91"
"2013-09-06","46.34"
"2013-09-05","46.64"
"2013-09-04","46.78"
"2013-09-03","46.01"
"2013-08-30","47.38"
"2013-08-29","47.82"
"2013-08-28","46.56"
"2013-08-27","46.95"
"2013-08-26","46.94"
"2013-08-23","47.61"
"2013-08-22","47.02"
"2013-08-21","47.27"
"2013-08-20","47.91"
"2013-08-19","47.50"
"2013-08-16","47.71"
"2013-08-15","48.54"
"2013-08-14","48.89"
"2013-08-13","49.15"
"2013-08-12","49.65"
"2013-08-09","49.32"
"2013-08-08","49.62"
"2013-08-07","49.93"
"2013-08-06","50.09"
"2013-08-05","50.21"
"2013-08-02","50.25"
"2013-08-01","50.01"
"2013-07-31","49.48"
"2013-07-30","50.42"
"2013-07-29","51.49"
"2013-07-26","51.02"
"2013-07-25","50.71"
"2013-07-24","50.38"
"2013-07-23","50.36"
"2013-07-22","50.27"
"2013-07-19","49.95"
"2013-07-18","49.97"
"2013-07-17","50.74"
"2013-07-16","50.28"
"2013-07-15","49.96"
"2013-07-12","50.41"
"2013-07-11","51.21"
"2013-07-10","50.54"
"2013-07-09","50.96"
"2013-07-08","51.17"
"2013-07-05","51.30"
"2013-07-03","51.01"
"2013-07-02","50.63"
"2013-07-01","50.36"
"2013-06-28","50.34"
"2013-06-27","51.00"
"2013-06-26","50.66"
"2013-06-25","50.44"
"2013-06-24","49.12"
"2013-06-21","49.52"
"2013-06-20","48.96"
"2013-06-19","50.05"
"2013-06-18","51.55"
"2013-06-17","50.71"
"2013-06-14","51.07"
"2013-06-13","50.64"
"2013-06-12","49.90"
"2013-06-11","50.18"
"2013-06-10","50.53"
"2013-06-07","50.24"
"2013-06-06","49.97"
"2013-06-05","48.30"
"2013-06-04","48.84"
"2013-06-03","48.66"
"2013-05-31","48.48"
"2013-05-30","49.08"
"2013-05-29","49.57"
"2013-05-28","50.82"
"2013-05-24","51.39"
"2013-05-23","51.89"
"2013-05-22","51.47"
"2013-05-21","52.07"
"2013-05-20","52.74"
"2013-05-17","53.35"
"2013-05-16","53.20"
"2013-05-15","53.60"
"2013-05-14","53.17"
"2013-05-13","52.55"
"2013-05-10","52.89"
"2013-05-09","52.71"
"2013-05-08","53.11"
"2013-05-07","52.92"
"2013-05-06","52.05"
"2013-05-03","52.68"
