"Date","Close"
"2013-12-31","83.90"
"2013-12-30","83.59"
"2013-12-27","82.82"
"2013-12-26","83.08"
"2013-12-24","82.56"
"2013-12-23","82.63"
"2013-12-20","82.68"
"2013-12-19","82.10"
"2013-12-18","82.10"
"2013-12-17","83.40"
"2013-12-16","81.66"
"2013-12-13","79.05"
"2013-12-12","78.86"
"2013-12-11","77.85"
"2013-12-10","79.33"
"2013-12-09","78.80"
"2013-12-06","78.91"
"2013-12-05","76.78"
"2013-12-04","77.57"
"2013-12-03","75.53"
"2013-12-02","75.44"
"2013-11-29","75.04"
"2013-11-27","76.19"
"2013-11-26","74.86"
"2013-11-25","74.81"
"2013-11-22","75.13"
"2013-11-21","74.83"
"2013-11-20","73.94"
"2013-11-19","73.61"
"2013-11-18","74.26"
"2013-11-15","75.55"
"2013-11-14","75.85"
"2013-11-13","72.44"
"2013-11-12","72.13"
"2013-11-11","71.56"
"2013-11-08","71.67"
"2013-11-07","70.23"
"2013-11-06","71.37"
"2013-11-05","71.19"
"2013-11-04","72.07"
"2013-11-01","69.85"
"2013-10-31","69.63"
"2013-10-30","73.21"
"2013-10-29","72.74"
"2013-10-28","72.43"
"2013-10-25","72.63"
"2013-10-24","70.54"
"2013-10-23","70.11"
"2013-10-22","72.23"
"2013-10-21","72.31"
"2013-10-18","71.76"
"2013-10-17","70.46"
"2013-10-16","69.32"
"2013-10-15","68.32"
"2013-10-14","68.90"
"2013-10-11","66.73"
"2013-10-10","65.53"
"2013-10-09","63.12"
"2013-10-08","63.38"
"2013-10-07","64.40"
"2013-10-04","65.03"
"2013-10-03","64.15"
"2013-10-02","64.54"
"2013-10-01","64.04"
"2013-09-30","63.40"
"2013-09-27","63.32"
"2013-09-26","63.32"
"2013-09-25","65.43"
"2013-09-24","64.68"
"2013-09-23","63.27"
"2013-09-20","63.68"
"2013-09-19","64.39"
"2013-09-18","64.28"
"2013-09-17","65.09"
"2013-09-16","65.02"
"2013-09-13","64.36"
"2013-09-12","64.48"
"2013-09-11","65.84"
"2013-09-10","66.09"
"2013-09-09","65.40"
"2013-09-06","64.99"
"2013-09-05","65.10"
"2013-09-04","64.85"
"2013-09-03","63.26"
"2013-08-30","62.00"
"2013-08-29","60.72"
"2013-08-28","62.46"
"2013-08-27","61.44"
"2013-08-26","64.80"
"2013-08-23","65.43"
"2013-08-22","67.30"
"2013-08-21","66.37"
"2013-08-20","65.00"
"2013-08-19","64.20"
"2013-08-16","64.60"
"2013-08-15","66.02"
"2013-08-14","68.49"
"2013-08-13","68.41"
"2013-08-12","68.17"
"2013-08-09","67.50"
"2013-08-08","66.72"
"2013-08-07","63.62"
"2013-08-06","64.46"
"2013-08-05","64.80"
"2013-08-02","65.16"
"2013-08-01","66.44"
"2013-07-31","64.38"
"2013-07-30","65.09"
"2013-07-29","62.60"
"2013-07-26","62.63"
"2013-07-25","63.53"
"2013-07-24","67.53"
"2013-07-23","67.83"
"2013-07-22","70.09"
"2013-07-19","69.79"
"2013-07-18","69.65"
"2013-07-17","68.55"
"2013-07-16","67.89"
"2013-07-15","68.24"
"2013-07-12","67.86"
"2013-07-11","67.02"
"2013-07-10","67.23"
"2013-07-09","66.20"
"2013-07-08","65.22"
"2013-07-05","64.51"
"2013-07-03","63.21"
"2013-07-02","63.18"
"2013-07-01","63.06"
"2013-06-28","62.09"
"2013-06-27","62.62"
"2013-06-26","60.71"
"2013-06-25","60.06"
"2013-06-24","58.54"
"2013-06-21","60.19"
"2013-06-20","61.49"
"2013-06-19","63.57"
"2013-06-18","64.67"
"2013-06-17","64.65"
"2013-06-14","63.88"
"2013-06-13","64.26"
"2013-06-12","63.91"
"2013-06-11","64.54"
"2013-06-10","64.61"
"2013-06-07","64.15"
"2013-06-06","63.86"
"2013-06-05","62.81"
"2013-06-04","63.42"
"2013-06-03","63.80"
"2013-05-31","63.32"
"2013-05-30","63.79"
"2013-05-29","63.73"
"2013-05-28","62.86"
"2013-05-24","62.30"
"2013-05-23","62.26"
"2013-05-22","60.40"
"2013-05-21","60.72"
"2013-05-20","59.45"
"2013-05-17","60.46"
"2013-05-16","59.05"
"2013-05-15","59.57"
"2013-05-14","59.21"
"2013-05-13","57.91"
"2013-05-10","58.47"
"2013-05-09","57.68"
"2013-05-08","59.01"
"2013-05-07","58.83"
"2013-05-06","58.13"
"2013-05-03","57.15"
"2013-05-02","56.66"
"2013-05-01","54.80"
"2013-04-30","55.28"
"2013-04-29","54.12"
"2013-04-26","53.29"
"2013-04-25","52.60"
"2013-04-24","52.90"
"2013-04-23","53.24"
"2013-04-22","50.51"
"2013-04-19","49.93"
"2013-04-18","49.25"
"2013-04-17","50.57"
"2013-04-16","52.03"
"2013-04-15","51.16"
"2013-04-12","52.32"
"2013-04-11","52.39"
"2013-04-10","53.21"
"2013-04-09","51.57"
"2013-04-08","50.23"
"2013-04-05","49.80"
"2013-04-04","50.78"
"2013-04-03","50.60"
"2013-04-02","50.07"
"2013-04-01","50.40"
"2013-03-28","50.29"
"2013-03-27","50.14"
"2013-03-26","48.68"
"2013-03-25","47.53"
"2013-03-22","47.93"
"2013-03-21","48.10"
"2013-03-20","49.33"
"2013-03-19","48.86"
"2013-03-18","49.60"
"2013-03-15","50.16"
"2013-03-14","50.72"
"2013-03-13","50.39"
"2013-03-12","49.99"
"2013-03-11","48.01"
"2013-03-08","47.66"
"2013-03-07","47.27"
"2013-03-06","48.83"
"2013-03-05","48.37"
"2013-03-04","47.81"
"2013-03-01","48.18"
"2013-02-28","47.16"
"2013-02-27","47.01"
"2013-02-26","45.87"
"2013-02-25","44.81"
"2013-02-22","45.90"
"2013-02-21","45.74"
"2013-02-20","46.54"
"2013-02-19","48.57"
"2013-02-15","48.59"
"2013-02-14","48.81"
"2013-02-13","48.63"
"2013-02-12","48.18"
"2013-02-11","48.60"
"2013-02-08","48.49"
"2013-02-07","47.60"
"2013-02-06","47.99"
"2013-02-05","46.63"
"2013-02-04","46.38"
"2013-02-01","46.77"
"2013-01-31","47.00"
"2013-01-30","46.85"
"2013-01-29","46.11"
"2013-01-28","48.64"
"2013-01-25","48.08"
"2013-01-24","47.79"
"2013-01-23","47.07"
"2013-01-22","47.36"
"2013-01-18","44.81"
"2013-01-17","45.22"
"2013-01-16","45.31"
"2013-01-15","44.84"
"2013-01-14","44.70"
"2013-01-11","43.98"
"2013-01-10","44.16"
"2013-01-09","43.80"
"2013-01-08","41.98"
"2013-01-07","42.90"
"2013-01-04","42.88"
"2013-01-03","43.02"
"2013-01-02","43.44"
"2012-12-31","42.49"
"2012-12-28","41.46"
"2012-12-27","42.07"
"2012-12-26","42.09"
"2012-12-24","41.81"
"2012-12-21","42.09"
"2012-12-20","42.16"
"2012-12-19","41.20"
"2012-12-18","39.60"
"2012-12-17","38.04"
"2012-12-14","37.78"
"2012-12-13","37.83"
"2012-12-12","37.86"
"2012-12-11","38.16"
"2012-12-10","38.45"
"2012-12-07","37.60"
"2012-12-06","37.10"
"2012-12-05","36.03"
"2012-12-04","33.59"
"2012-12-03","33.41"
"2012-11-30","33.43"
"2012-11-29","33.92"
"2012-11-28","33.90"
"2012-11-27","34.69"
"2012-11-26","35.81"
"2012-11-23","35.09"
"2012-11-21","34.38"
"2012-11-20","34.09"
"2012-11-19","35.00"
"2012-11-16","34.58"
"2012-11-15","33.85"
"2012-11-14","33.85"
"2012-11-13","34.68"
"2012-11-12","34.74"
"2012-11-09","35.11"
"2012-11-08","34.84"
"2012-11-07","35.30"
"2012-11-06","37.04"
"2012-11-05","35.56"
"2012-11-02","35.20"
"2012-11-01","35.41"
"2012-10-31","34.23"
"2012-10-26","34.12"
"2012-10-25","34.40"
"2012-10-24","33.76"
"2012-10-23","34.43"
"2012-10-22","35.28"
"2012-10-19","34.88"
"2012-10-18","35.55"
"2012-10-17","36.24"
"2012-10-16","36.35"
"2012-10-15","35.75"
"2012-10-12","36.02"
"2012-10-11","36.59"
"2012-10-10","36.37"
"2012-10-09","37.19"
"2012-10-08","38.34"
"2012-10-05","37.99"
"2012-10-04","37.99"
"2012-10-03","37.60"
"2012-10-02","38.17"
"2012-10-01","38.12"
"2012-09-28","38.73"
"2012-09-27","39.58"
"2012-09-26","38.61"
"2012-09-25","39.65"
"2012-09-24","40.02"
"2012-09-21","40.16"
"2012-09-20","39.07"
"2012-09-19","39.07"
"2012-09-18","39.36"
"2012-09-17","39.48"
"2012-09-14","41.06"
"2012-09-13","42.58"
"2012-09-12","41.48"
"2012-09-11","42.25"
"2012-09-10","41.18"
"2012-09-07","41.86"
"2012-09-06","43.11"
"2012-09-05","41.84"
"2012-09-04","42.32"
"2012-08-31","41.82"
"2012-08-30","42.10"
"2012-08-29","43.50"
"2012-08-28","43.50"
"2012-08-27","43.79"
"2012-08-24","43.63"
"2012-08-23","43.48"
"2012-08-22","44.50"
"2012-08-21","44.66"
"2012-08-20","45.32"
"2012-08-17","45.48"
"2012-08-16","45.41"
"2012-08-15","44.17"
"2012-08-14","44.00"
"2012-08-13","44.32"
"2012-08-10","43.99"
"2012-08-09","43.03"
"2012-08-08","41.86"
"2012-08-07","41.75"
"2012-08-06","41.25"
"2012-08-03","41.00"
"2012-08-02","39.90"
"2012-08-01","39.42"
"2012-07-31","39.77"
"2012-07-30","40.17"
"2012-07-27","39.92"
"2012-07-26","39.27"
"2012-07-25","32.47"
"2012-07-24","31.77"
"2012-07-23","32.28"
"2012-07-20","32.07"
"2012-07-19","32.71"
"2012-07-18","33.40"
"2012-07-17","31.97"
"2012-07-16","31.62"
"2012-07-13","31.58"
"2012-07-12","31.35"
"2012-07-11","31.50"
"2012-07-10","32.01"
"2012-07-09","31.53"
"2012-07-06","31.02"
"2012-07-05","30.68"
"2012-07-03","30.98"
"2012-07-02","29.84"
"2012-06-29","30.48"
"2012-06-28","28.80"
"2012-06-27","29.80"
"2012-06-26","29.13"
"2012-06-25","28.93"
"2012-06-22","29.70"
"2012-06-21","29.37"
"2012-06-20","30.89"
"2012-06-19","30.86"
"2012-06-18","30.55"
"2012-06-15","30.69"
"2012-06-14","30.20"
"2012-06-13","30.34"
"2012-06-12","30.54"
"2012-06-11","30.66"
"2012-06-08","31.23"
"2012-06-07","30.82"
"2012-06-06","30.94"
"2012-06-05","29.93"
"2012-06-04","29.90"
"2012-06-01","30.11"
"2012-05-31","31.39"
"2012-05-30","32.23"
"2012-05-29","33.17"
"2012-05-25","34.21"
"2012-05-24","33.83"
"2012-05-23","34.10"
"2012-05-22","34.51"
"2012-05-21","35.96"
"2012-05-18","34.66"
"2012-05-17","37.07"
"2012-05-16","38.63"
"2012-05-15","39.96"
"2012-05-14","39.93"
"2012-05-11","40.30"
"2012-05-10","40.74"
"2012-05-09","39.95"
"2012-05-08","39.14"
"2012-05-07","39.15"
"2012-05-04","38.88"
"2012-05-03","39.24"
"2012-05-02","40.53"
"2012-05-01","40.04"
"2012-04-30","38.81"
"2012-04-27","37.93"
"2012-04-26","44.10"
"2012-04-25","43.14"
"2012-04-24","41.44"
"2012-04-23","41.42"
"2012-04-20","41.44"
"2012-04-19","42.05"
"2012-04-18","41.56"
"2012-04-17","39.51"
"2012-04-16","39.57"
"2012-04-13","39.02"
"2012-04-12","39.19"
"2012-04-11","38.22"
"2012-04-10","38.27"
"2012-04-09","39.69"
"2012-04-05","39.74"
"2012-04-04","41.28"
"2012-04-03","41.63"
"2012-04-02","41.91"
"2012-03-30","41.39"
"2012-03-29","42.01"
"2012-03-28","42.17"
"2012-03-27","42.46"
"2012-03-26","42.60"
"2012-03-23","42.44"
"2012-03-22","42.06"
"2012-03-21","39.45"
"2012-03-20","39.08"
"2012-03-19","38.19"
"2012-03-16","38.26"
"2012-03-15","38.87"
"2012-03-14","39.63"
"2012-03-13","40.15"
"2012-03-12","39.63"
"2012-03-09","40.32"
"2012-03-08","38.98"
"2012-03-07","37.87"
"2012-03-06","37.22"
"2012-03-05","38.47"
"2012-03-02","38.93"
"2012-03-01","39.86"
"2012-02-29","39.25"
"2012-02-28","39.38"
"2012-02-27","38.79"
"2012-02-24","39.78"
"2012-02-23","39.70"
