"Date","Close"
"2013-12-31","57.83"
"2013-12-30","57.66"
"2013-12-27","56.68"
"2013-12-26","57.68"
"2013-12-24","57.99"
"2013-12-23","57.95"
"2013-12-20","59.27"
"2013-12-19","58.75"
"2013-12-18","57.56"
"2013-12-17","57.31"
"2013-12-16","56.09"
"2013-12-13","56.01"
"2013-12-12","55.90"
"2013-12-11","56.18"
"2013-12-10","55.71"
"2013-12-09","55.69"
"2013-12-06","56.26"
"2013-12-05","55.61"
"2013-12-04","56.16"
"2013-12-03","56.69"
"2013-12-02","56.73"
"2013-11-29","56.60"
"2013-11-27","57.07"
"2013-11-26","56.47"
"2013-11-25","56.12"
"2013-11-22","55.95"
"2013-11-21","56.48"
"2013-11-20","55.84"
"2013-11-19","55.72"
"2013-11-18","56.99"
"2013-11-15","58.84"
"2013-11-14","59.27"
"2013-11-13","59.05"
"2013-11-12","59.00"
"2013-11-11","57.80"
"2013-11-08","58.55"
"2013-11-07","57.26"
"2013-11-06","64.47"
"2013-11-05","63.69"
"2013-11-04","63.48"
"2013-11-01","63.30"
"2013-10-31","63.13"
"2013-10-30","63.96"
"2013-10-29","64.85"
"2013-10-28","64.83"
"2013-10-25","65.24"
"2013-10-24","64.59"
"2013-10-23","64.14"
"2013-10-22","64.03"
"2013-10-21","63.86"
"2013-10-18","63.85"
"2013-10-17","63.40"
"2013-10-16","62.66"
"2013-10-15","61.51"
"2013-10-14","61.89"
"2013-10-11","61.18"
"2013-10-10","59.81"
"2013-10-09","58.42"
"2013-10-08","59.09"
"2013-10-07","59.15"
"2013-10-04","59.55"
"2013-10-03","58.89"
"2013-10-02","59.59"
"2013-10-01","59.12"
"2013-09-30","58.50"
"2013-09-27","58.33"
"2013-09-26","58.51"
"2013-09-25","58.33"
"2013-09-24","58.55"
"2013-09-23","58.24"
"2013-09-20","57.85"
"2013-09-19","58.54"
"2013-09-18","59.32"
"2013-09-17","58.14"
"2013-09-16","57.71"
"2013-09-13","57.11"
"2013-09-12","56.36"
"2013-09-11","56.09"
"2013-09-10","55.48"
"2013-09-09","54.91"
"2013-09-06","54.52"
"2013-09-05","54.19"
"2013-09-04","53.81"
"2013-09-03","53.31"
"2013-08-30","52.75"
"2013-08-29","52.47"
"2013-08-28","51.48"
"2013-08-27","51.86"
"2013-08-26","52.39"
"2013-08-23","52.88"
"2013-08-22","52.86"
"2013-08-21","52.20"
"2013-08-20","52.44"
"2013-08-19","52.55"
"2013-08-16","52.96"
"2013-08-15","53.82"
"2013-08-14","54.61"
"2013-08-13","55.53"
"2013-08-12","55.40"
"2013-08-09","55.42"
"2013-08-08","55.90"
"2013-08-07","55.40"
"2013-08-06","56.07"
"2013-08-05","55.73"
"2013-08-02","54.85"
"2013-08-01","55.14"
"2013-07-31","55.58"
"2013-07-30","55.62"
"2013-07-29","55.51"
"2013-07-26","55.97"
"2013-07-25","55.12"
"2013-07-24","54.49"
"2013-07-23","55.07"
"2013-07-22","55.97"
"2013-07-19","55.93"
"2013-07-18","56.22"
"2013-07-17","56.24"
"2013-07-16","56.38"
"2013-07-15","56.67"
"2013-07-12","56.23"
"2013-07-11","55.77"
