"Date","Close"
"2013-12-31","7.98"
"2013-12-30","8.02"
"2013-12-27","8.13"
"2013-12-26","8.42"
"2013-12-24","8.37"
"2013-12-23","8.34"
"2013-12-20","8.24"
"2013-12-19","8.15"
"2013-12-18","8.19"
"2013-12-17","8.08"
"2013-12-16","7.97"
"2013-12-13","7.96"
"2013-12-12","8.01"
"2013-12-11","7.92"
"2013-12-10","8.01"
"2013-12-09","8.05"
"2013-12-06","8.05"
"2013-12-05","8.04"
"2013-12-04","8.25"
"2013-12-03","8.12"
"2013-12-02","8.07"
"2013-11-29","8.07"
"2013-11-27","8.09"
"2013-11-26","8.06"
"2013-11-25","8.06"
"2013-11-22","8.16"
"2013-11-21","8.22"
"2013-11-20","8.22"
"2013-11-19","8.33"
"2013-11-18","8.29"
"2013-11-15","8.25"
"2013-11-14","8.26"
"2013-11-13","8.28"
"2013-11-12","8.18"
"2013-11-11","8.06"
"2013-11-08","8.02"
"2013-11-07","8.16"
"2013-11-06","8.65"
"2013-11-05","8.51"
"2013-11-04","8.54"
"2013-11-01","8.54"
"2013-10-31","8.55"
"2013-10-30","8.52"
"2013-10-29","8.61"
"2013-10-28","8.59"
"2013-10-25","8.56"
"2013-10-24","8.55"
"2013-10-23","8.56"
"2013-10-22","8.57"
"2013-10-21","8.52"
"2013-10-18","8.60"
"2013-10-17","8.60"
"2013-10-16","8.54"
"2013-10-15","8.41"
"2013-10-14","8.52"
"2013-10-11","8.50"
"2013-10-10","8.40"
"2013-10-09","8.21"
"2013-10-08","8.11"
"2013-10-07","8.11"
"2013-10-04","8.02"
"2013-10-03","8.05"
"2013-10-02","8.17"
"2013-10-01","8.19"
"2013-09-30","7.99"
"2013-09-27","8.12"
"2013-09-26","8.19"
"2013-09-25","8.56"
"2013-09-24","8.61"
"2013-09-23","8.55"
"2013-09-20","8.48"
"2013-09-19","8.55"
"2013-09-18","8.56"
"2013-09-17","8.54"
"2013-09-16","8.50"
"2013-09-13","8.47"
"2013-09-12","8.49"
"2013-09-11","8.50"
"2013-09-10","8.49"
"2013-09-09","8.42"
"2013-09-06","8.26"
"2013-09-05","8.23"
"2013-09-04","8.25"
"2013-09-03","8.17"
"2013-08-30","8.07"
"2013-08-29","8.01"
"2013-08-28","8.04"
"2013-08-27","8.10"
"2013-08-26","8.20"
"2013-08-23","8.22"
"2013-08-22","8.06"
"2013-08-21","8.00"
"2013-08-20","8.08"
"2013-08-19","7.99"
"2013-08-16","8.13"
"2013-08-15","8.18"
"2013-08-14","8.23"
"2013-08-13","8.24"
"2013-08-12","8.34"
"2013-08-09","8.20"
"2013-08-08","8.24"
"2013-08-07","8.60"
"2013-08-06","8.57"
"2013-08-05","8.64"
"2013-08-02","8.59"
"2013-08-01","8.51"
"2013-07-31","8.36"
"2013-07-30","8.38"
"2013-07-29","8.28"
"2013-07-26","8.17"
"2013-07-25","8.10"
"2013-07-24","8.15"
"2013-07-23","8.17"
"2013-07-22","8.35"
"2013-07-19","8.10"
"2013-07-18","8.10"
"2013-07-17","8.15"
"2013-07-16","8.07"
