"Date","Close"
"2013-12-31","92.39"
"2013-12-30","91.52"
"2013-12-27","92.17"
"2013-12-26","92.15"
"2013-12-24","91.39"
"2013-12-23","91.15"
"2013-12-20","89.59"
"2013-12-19","88.75"
"2013-12-18","89.02"
"2013-12-17","86.89"
"2013-12-16","87.69"
"2013-12-13","87.75"
"2013-12-12","88.69"
"2013-12-11","89.27"
"2013-12-10","91.06"
"2013-12-09","90.98"
"2013-12-06","90.69"
"2013-12-05","89.78"
"2013-12-04","91.59"
"2013-12-03","92.56"
"2013-12-02","93.92"
"2013-11-29","92.88"
"2013-11-27","93.62"
"2013-11-26","93.66"
"2013-11-25","93.61"
"2013-11-22","93.03"
"2013-11-21","92.08"
"2013-11-20","92.76"
"2013-11-19","92.00"
"2013-11-18","90.40"
"2013-11-15","90.10"
"2013-11-14","89.49"
"2013-11-13","88.02"
"2013-11-12","87.50"
"2013-11-11","87.94"
"2013-11-08","87.28"
"2013-11-07","86.46"
"2013-11-06","87.70"
"2013-11-05","87.41"
"2013-11-04","86.81"
"2013-11-01","85.36"
"2013-10-31","84.80"
"2013-10-30","84.54"
"2013-10-29","84.54"
"2013-10-28","84.55"
"2013-10-25","84.10"
"2013-10-24","83.60"
"2013-10-23","85.48"
"2013-10-22","88.43"
"2013-10-21","87.60"
"2013-10-18","86.38"
"2013-10-17","88.59"
"2013-10-16","89.66"
"2013-10-15","87.97"
"2013-10-14","88.67"
"2013-10-11","88.64"
"2013-10-10","88.43"
"2013-10-09","85.56"
"2013-10-08","85.37"
"2013-10-07","86.28"
"2013-10-04","87.21"
"2013-10-03","86.48"
"2013-10-02","86.60"
"2013-10-01","86.11"
"2013-09-30","83.61"
"2013-09-27","83.95"
"2013-09-26","84.11"
"2013-09-25","83.63"
"2013-09-24","84.29"
"2013-09-23","83.15"
"2013-09-20","82.33"
"2013-09-19","82.53"
"2013-09-18","84.39"
"2013-09-17","88.27"
"2013-09-16","89.10"
"2013-09-13","89.09"
"2013-09-12","88.46"
"2013-09-11","89.26"
"2013-09-10","87.80"
"2013-09-09","86.71"
"2013-09-06","87.29"
"2013-09-05","87.87"
"2013-09-04","87.38"
"2013-09-03","86.28"
"2013-08-30","85.14"
"2013-08-29","85.46"
"2013-08-28","84.83"
"2013-08-27","85.07"
"2013-08-26","86.57"
"2013-08-23","86.58"
"2013-08-22","86.20"
"2013-08-21","85.76"
"2013-08-20","86.02"
"2013-08-19","85.82"
"2013-08-16","86.05"
"2013-08-15","85.42"
"2013-08-14","86.63"
"2013-08-13","86.99"
"2013-08-12","86.97"
"2013-08-09","87.39"
"2013-08-08","87.74"
"2013-08-07","87.14"
"2013-08-06","87.45"
"2013-08-05","87.66"
"2013-08-02","86.08"
"2013-08-01","86.37"
"2013-07-31","85.56"
"2013-07-30","84.96"
"2013-07-29","85.54"
"2013-07-26","84.79"
"2013-07-25","85.90"
"2013-07-24","87.44"
"2013-07-23","87.51"
"2013-07-22","87.00"
"2013-07-19","86.80"
"2013-07-18","86.43"
"2013-07-17","84.43"
"2013-07-16","85.35"
"2013-07-15","85.68"
"2013-07-12","85.40"
"2013-07-11","85.41"
"2013-07-10","84.75"
"2013-07-09","84.09"
"2013-07-08","83.09"
"2013-07-05","81.96"
"2013-07-03","81.09"
"2013-07-02","81.38"
"2013-07-01","81.65"
"2013-06-28","81.84"
"2013-06-27","81.70"
"2013-06-26","80.21"
"2013-06-25","79.89"
"2013-06-24","79.98"
"2013-06-21","79.40"
"2013-06-20","77.48"
"2013-06-19","78.52"
"2013-06-18","79.64"
"2013-06-17","78.77"
"2013-06-14","78.16"
"2013-06-13","78.93"
"2013-06-12","78.07"
"2013-06-11","78.38"
"2013-06-10","79.56"
"2013-06-07","77.39"
"2013-06-06","76.44"
"2013-06-05","75.68"
"2013-06-04","77.44"
"2013-06-03","77.50"
"2013-05-31","76.97"
"2013-05-30","79.38"
"2013-05-29","78.00"
"2013-05-28","78.72"
"2013-05-24","76.98"
"2013-05-23","77.98"
"2013-05-22","77.81"
"2013-05-21","78.10"
"2013-05-20","77.49"
"2013-05-17","77.81"
"2013-05-16","76.84"
"2013-05-15","77.83"
"2013-05-14","78.00"
"2013-05-13","76.01"
"2013-05-10","75.89"
"2013-05-09","75.39"
"2013-05-08","75.05"
"2013-05-07","74.71"
"2013-05-06","73.51"
"2013-05-03","73.82"
"2013-05-02","73.42"
"2013-05-01","72.27"
"2013-04-30","72.92"
"2013-04-29","72.90"
"2013-04-26","72.87"
"2013-04-25","73.75"
"2013-04-24","73.33"
"2013-04-23","69.33"
"2013-04-22","68.25"
"2013-04-19","68.71"
"2013-04-18","67.18"
"2013-04-17","69.03"
"2013-04-16","70.16"
"2013-04-15","68.28"
"2013-04-12","69.79"
"2013-04-11","70.06"
"2013-04-10","69.46"
"2013-04-09","68.48"
"2013-04-08","67.72"
"2013-04-05","67.99"
"2013-04-04","68.49"
"2013-04-03","68.15"
"2013-04-02","68.46"
"2013-04-01","67.44"
"2013-03-28","66.23"
"2013-03-27","65.61"
"2013-03-26","64.76"
"2013-03-25","64.11"
"2013-03-22","64.03"
"2013-03-21","63.63"
"2013-03-20","64.02"
"2013-03-19","64.31"
"2013-03-18","64.55"
"2013-03-15","64.98"
"2013-03-14","65.18"
"2013-03-13","64.84"
"2013-03-12","64.14"
"2013-03-11","63.49"
"2013-03-08","63.03"
"2013-03-07","62.70"
"2013-03-06","62.52"
"2013-03-05","62.27"
"2013-03-04","61.82"
"2013-03-01","61.88"
"2013-02-28","62.18"
"2013-02-27","62.46"
"2013-02-26","61.83"
"2013-02-25","61.46"
"2013-02-22","61.92"
"2013-02-21","62.71"
"2013-02-20","62.58"
"2013-02-19","62.77"
"2013-02-15","62.70"
"2013-02-14","63.29"
"2013-02-13","63.00"
"2013-02-12","66.01"
"2013-02-11","66.01"
"2013-02-08","66.28"
"2013-02-07","65.70"
"2013-02-06","65.41"
"2013-02-05","65.84"
"2013-02-04","64.82"
"2013-02-01","65.32"
"2013-01-31","64.82"
"2013-01-30","65.39"
"2013-01-29","65.95"
"2013-01-28","66.06"
"2013-01-25","66.17"
"2013-01-24","65.69"
"2013-01-23","64.83"
"2013-01-22","63.80"
"2013-01-18","62.75"
"2013-01-17","62.42"
"2013-01-16","61.85"
"2013-01-15","63.01"
"2013-01-14","62.44"
"2013-01-11","61.75"
"2013-01-10","62.24"
"2013-01-09","62.05"
"2013-01-08","60.07"
"2013-01-07","59.74"
"2013-01-04","59.29"
"2013-01-03","58.93"
"2013-01-02","60.92"
"2012-12-31","60.92"
"2012-12-28","59.89"
"2012-12-27","60.48"
"2012-12-26","61.15"
"2012-12-24","61.07"
"2012-12-21","61.31"
"2012-12-20","61.51"
"2012-12-19","59.97"
"2012-12-18","60.57"
"2012-12-17","60.03"
"2012-12-14","58.49"
"2012-12-13","59.02"
"2012-12-12","59.24"
"2012-12-11","58.89"
"2012-12-10","58.21"
"2012-12-07","57.78"
"2012-12-06","56.62"
"2012-12-05","56.10"
"2012-12-04","55.68"
"2012-12-03","56.08"
"2012-11-30","55.90"
"2012-11-29","55.64"
"2012-11-28","54.77"
"2012-11-27","54.97"
"2012-11-26","55.37"
"2012-11-23","56.06"
"2012-11-21","55.57"
"2012-11-20","55.62"
"2012-11-19","55.94"
"2012-11-16","55.15"
"2012-11-15","54.64"
"2012-11-14","54.33"
"2012-11-13","55.50"
"2012-11-12","55.85"
"2012-11-09","56.16"
"2012-11-08","56.01"
"2012-11-07","57.85"
"2012-11-06","61.20"
"2012-11-05","60.85"
"2012-11-02","61.14"
"2012-11-01","61.73"
"2012-10-31","61.30"
"2012-10-26","61.29"
"2012-10-25","62.23"
"2012-10-24","61.58"
"2012-10-23","61.87"
"2012-10-22","63.03"
"2012-10-19","61.82"
"2012-10-18","62.93"
"2012-10-17","61.74"
"2012-10-16","62.02"
"2012-10-15","62.38"
"2012-10-12","61.83"
"2012-10-11","62.79"
"2012-10-10","61.54"
"2012-10-09","62.02"
"2012-10-08","61.75"
"2012-10-05","61.22"
"2012-10-04","62.16"
"2012-10-03","60.11"
"2012-10-02","60.46"
"2012-10-01","57.98"
"2012-09-28","58.01"
"2012-09-27","58.07"
"2012-09-26","57.64"
"2012-09-25","58.48"
"2012-09-24","58.49"
"2012-09-21","59.26"
"2012-09-20","58.96"
"2012-09-19","59.03"
"2012-09-18","58.91"
"2012-09-17","58.81"
"2012-09-14","58.35"
"2012-09-13","58.19"
"2012-09-12","58.21"
"2012-09-11","58.65"
"2012-09-10","59.45"
"2012-09-07","60.29"
"2012-09-06","59.72"
"2012-09-05","59.15"
"2012-09-04","59.39"
"2012-08-31","59.87"
"2012-08-30","60.46"
"2012-08-29","61.80"
"2012-08-28","57.39"
"2012-08-27","58.16"
"2012-08-24","57.66"
"2012-08-23","57.73"
"2012-08-22","58.57"
"2012-08-21","57.27"
"2012-08-20","57.38"
"2012-08-17","57.26"
"2012-08-16","57.84"
"2012-08-15","57.80"
"2012-08-14","56.90"
"2012-08-13","56.89"
"2012-08-10","57.91"
"2012-08-09","56.79"
"2012-08-08","57.44"
"2012-08-07","56.26"
"2012-08-06","54.64"
"2012-08-03","55.04"
"2012-08-02","52.93"
"2012-08-01","54.07"
"2012-07-31","53.29"
"2012-07-30","55.22"
"2012-07-27","55.12"
"2012-07-26","53.39"
"2012-07-25","54.01"
"2012-07-24","61.42"
