"Date","Close"
"2013-12-31","44.87"
"2013-12-30","44.88"
"2013-12-27","44.91"
"2013-12-26","44.98"
"2013-12-24","44.92"
"2013-12-23","44.73"
"2013-12-20","44.37"
"2013-12-19","43.89"
"2013-12-18","43.99"
"2013-12-17","43.46"
"2013-12-16","43.73"
"2013-12-13","43.62"
"2013-12-12","43.81"
"2013-12-11","43.76"
"2013-12-10","44.55"
"2013-12-09","44.65"
"2013-12-06","44.83"
"2013-12-05","44.34"
"2013-12-04","44.56"
"2013-12-03","44.63"
"2013-12-02","44.95"
"2013-11-29","45.68"
"2013-11-27","45.64"
"2013-11-26","45.72"
"2013-11-25","45.67"
"2013-11-22","46.10"
"2013-11-21","45.78"
"2013-11-20","45.41"
"2013-11-19","45.34"
"2013-11-18","45.48"
"2013-11-15","45.21"
"2013-11-14","44.79"
"2013-11-13","44.18"
"2013-11-12","43.79"
"2013-11-11","44.12"
"2013-11-08","44.16"
"2013-11-07","43.38"
"2013-11-06","43.78"
"2013-11-05","43.70"
"2013-11-04","43.62"
"2013-11-01","43.69"
"2013-10-31","43.54"
"2013-10-30","42.54"
"2013-10-29","43.25"
"2013-10-28","43.61"
"2013-10-25","43.65"
"2013-10-24","43.27"
"2013-10-23","43.30"
"2013-10-22","43.01"
"2013-10-21","42.52"
"2013-10-18","42.45"
"2013-10-17","42.47"
"2013-10-16","41.98"
"2013-10-15","41.43"
"2013-10-14","41.72"
"2013-10-11","41.74"
"2013-10-10","41.23"
"2013-10-09","40.40"
"2013-10-08","40.49"
"2013-10-07","40.86"
"2013-10-04","40.80"
"2013-10-03","40.62"
"2013-10-02","41.22"
"2013-10-01","41.58"
"2013-09-30","41.24"
"2013-09-27","41.39"
"2013-09-26","41.69"
"2013-09-25","41.37"
"2013-09-24","41.69"
"2013-09-23","41.85"
"2013-09-20","42.09"
"2013-09-19","42.27"
"2013-09-18","42.22"
"2013-09-17","41.19"
"2013-09-16","41.40"
"2013-09-13","40.89"
"2013-09-12","40.87"
"2013-09-11","40.91"
"2013-09-10","40.70"
"2013-09-09","40.34"
"2013-09-06","39.92"
"2013-09-05","39.85"
"2013-09-04","40.04"
"2013-09-03","40.15"
"2013-08-30","40.44"
"2013-08-29","40.92"
"2013-08-28","41.10"
"2013-08-27","41.17"
"2013-08-26","41.98"
"2013-08-23","42.12"
"2013-08-22","41.89"
"2013-08-21","41.58"
"2013-08-20","42.12"
"2013-08-19","41.73"
"2013-08-16","41.93"
"2013-08-15","41.85"
"2013-08-14","43.12"
"2013-08-13","43.50"
"2013-08-12","43.17"
"2013-08-09","43.20"
"2013-08-08","43.09"
"2013-08-07","42.80"
"2013-08-06","42.64"
"2013-08-05","42.74"
"2013-08-02","42.60"
"2013-08-01","42.54"
"2013-07-31","42.03"
"2013-07-30","41.72"
"2013-07-29","41.85"
"2013-07-26","42.05"
"2013-07-25","42.35"
"2013-07-24","42.31"
"2013-07-23","42.43"
"2013-07-22","42.36"
"2013-07-19","42.39"
"2013-07-18","42.32"
"2013-07-17","41.88"
"2013-07-16","41.86"
"2013-07-15","42.07"
"2013-07-12","42.07"
"2013-07-11","41.98"
"2013-07-10","41.40"
"2013-07-09","41.24"
"2013-07-08","40.68"
"2013-07-05","40.75"
"2013-07-03","40.18"
"2013-07-02","40.40"
"2013-07-01","40.68"
"2013-06-28","40.33"
"2013-06-27","40.21"
