"Date","Close"
"2013-12-31","38.57"
"2013-12-30","38.41"
"2013-12-27","38.30"
"2013-12-26","38.23"
"2013-12-24","37.70"
"2013-12-23","37.60"
"2013-12-20","37.01"
"2013-12-19","36.89"
"2013-12-18","36.65"
"2013-12-17","36.84"
"2013-12-16","35.33"
"2013-12-13","34.25"
"2013-12-12","34.36"
"2013-12-11","34.34"
"2013-12-10","35.48"
"2013-12-09","35.84"
"2013-12-06","36.21"
"2013-12-05","36.29"
"2013-12-04","36.78"
"2013-12-03","36.27"
"2013-12-02","35.18"
"2013-11-29","35.22"
"2013-11-27","35.18"
"2013-11-26","35.68"
"2013-11-25","35.80"
"2013-11-22","35.27"
"2013-11-21","34.91"
"2013-11-20","34.78"
"2013-11-19","35.03"
"2013-11-18","35.28"
"2013-11-15","35.23"
"2013-11-14","35.06"
"2013-11-13","34.39"
"2013-11-12","34.57"
"2013-11-11","34.93"
"2013-11-08","34.79"
"2013-11-07","34.50"
"2013-11-06","34.90"
"2013-11-05","35.01"
"2013-11-04","35.73"
"2013-11-01","35.52"
"2013-10-31","35.71"
"2013-10-30","36.95"
"2013-10-29","37.29"
"2013-10-28","37.18"
"2013-10-25","37.30"
"2013-10-24","36.88"
"2013-10-23","36.67"
"2013-10-22","36.97"
"2013-10-21","36.17"
"2013-10-18","36.24"
"2013-10-17","36.03"
"2013-10-16","35.95"
"2013-10-15","35.53"
"2013-10-14","35.77"
"2013-10-11","36.15"
"2013-10-10","35.75"
"2013-10-09","34.96"
"2013-10-08","35.05"
"2013-10-07","35.52"
"2013-10-04","35.92"
"2013-10-03","36.30"
"2013-10-02","36.58"
"2013-10-01","36.75"
"2013-09-30","36.36"
"2013-09-27","36.24"
"2013-09-26","36.33"
"2013-09-25","36.23"
"2013-09-24","36.60"
"2013-09-23","36.51"
"2013-09-20","36.63"
"2013-09-19","36.84"
"2013-09-18","35.93"
"2013-09-17","35.20"
"2013-09-16","35.54"
"2013-09-13","35.93"
"2013-09-12","35.31"
"2013-09-11","35.75"
"2013-09-10","36.19"
"2013-09-09","35.60"
"2013-09-06","35.12"
"2013-09-05","35.13"
"2013-09-04","35.14"
"2013-09-03","35.93"
"2013-08-30","36.24"
"2013-08-29","36.22"
"2013-08-28","36.21"
"2013-08-27","36.12"
"2013-08-26","36.22"
"2013-08-23","36.31"
"2013-08-22","35.88"
"2013-08-21","34.83"
"2013-08-20","34.68"
"2013-08-19","34.31"
"2013-08-16","34.99"
"2013-08-15","35.35"
"2013-08-14","35.31"
"2013-08-13","35.34"
"2013-08-12","35.49"
"2013-08-09","35.39"
"2013-08-08","35.42"
"2013-08-07","35.84"
"2013-08-06","36.05"
"2013-08-05","36.19"
"2013-08-02","36.22"
"2013-08-01","36.10"
"2013-07-31","34.17"
"2013-07-30","33.81"
"2013-07-29","33.99"
"2013-07-26","33.91"
"2013-07-25","33.81"
"2013-07-24","33.44"
"2013-07-23","34.29"
"2013-07-22","34.49"
"2013-07-19","34.28"
"2013-07-18","34.00"
"2013-07-17","33.50"
"2013-07-16","33.48"
"2013-07-15","33.81"
"2013-07-12","33.82"
"2013-07-11","33.79"
"2013-07-10","33.18"
"2013-07-09","33.53"
"2013-07-08","33.26"
"2013-07-05","32.68"
"2013-07-03","32.82"
"2013-07-02","32.98"
"2013-07-01","32.52"
"2013-06-28","32.47"
"2013-06-27","32.58"
"2013-06-26","32.65"
"2013-06-25","31.90"
"2013-06-24","31.65"
"2013-06-21","32.29"
"2013-06-20","31.75"
"2013-06-19","32.61"
"2013-06-18","33.24"
"2013-06-17","33.64"
"2013-06-14","33.31"
"2013-06-13","33.70"
"2013-06-12","34.03"
"2013-06-11","34.08"
"2013-06-10","34.72"
"2013-06-07","35.23"
"2013-06-06","34.85"
"2013-06-05","34.14"
"2013-06-04","34.46"
"2013-06-03","34.95"
"2013-05-31","35.18"
"2013-05-30","35.81"
"2013-05-29","35.88"
"2013-05-28","36.40"
"2013-05-24","36.67"
"2013-05-23","37.24"
"2013-05-22","37.02"
