"Date","Close"
"2013-12-31","27.94"
"2013-12-30","27.92"
"2013-12-27","27.86"
"2013-12-26","27.83"
"2013-12-24","27.98"
"2013-12-23","28.14"
"2013-12-20","28.21"
"2013-12-19","28.15"
"2013-12-18","28.38"
"2013-12-17","27.87"
"2013-12-16","27.99"
"2013-12-13","27.74"
"2013-12-12","27.78"
"2013-12-11","27.60"
"2013-12-10","27.90"
"2013-12-09","28.18"
"2013-12-06","28.45"
"2013-12-05","28.05"
"2013-12-04","27.98"
"2013-12-03","27.88"
"2013-12-02","27.92"
"2013-11-29","28.02"
"2013-11-27","28.05"
"2013-11-26","28.10"
"2013-11-25","28.21"
"2013-11-22","28.35"
"2013-11-21","28.20"
"2013-11-20","28.10"
"2013-11-19","28.49"
"2013-11-18","28.62"
"2013-11-15","28.60"
"2013-11-14","28.59"
"2013-11-13","28.51"
"2013-11-12","28.37"
"2013-11-11","28.60"
"2013-11-08","28.52"
"2013-11-07","28.63"
"2013-11-06","28.95"
"2013-11-05","28.72"
"2013-11-04","28.98"
"2013-11-01","28.92"
"2013-10-31","28.86"
"2013-10-30","28.90"
"2013-10-29","29.14"
"2013-10-28","29.08"
"2013-10-25","29.10"
"2013-10-24","28.88"
"2013-10-23","29.07"
"2013-10-22","29.07"
"2013-10-21","28.57"
"2013-10-18","28.60"
"2013-10-17","28.49"
"2013-10-16","28.01"
"2013-10-15","27.69"
"2013-10-14","28.04"
"2013-10-11","28.27"
"2013-10-10","28.15"
"2013-10-09","27.77"
"2013-10-08","27.58"
"2013-10-07","27.17"
"2013-10-04","27.30"
"2013-10-03","27.26"
"2013-10-02","27.76"
"2013-10-01","27.79"
"2013-09-30","27.61"
"2013-09-27","27.69"
"2013-09-26","27.88"
"2013-09-25","27.86"
"2013-09-24","28.14"
"2013-09-23","28.20"
"2013-09-20","27.75"
"2013-09-19","27.83"
"2013-09-18","27.94"
"2013-09-17","27.10"
"2013-09-16","27.40"
"2013-09-13","27.64"
"2013-09-12","27.56"
"2013-09-11","27.64"
"2013-09-10","27.72"
"2013-09-09","27.46"
"2013-09-06","27.37"
"2013-09-05","27.27"
"2013-09-04","27.34"
"2013-09-03","27.49"
"2013-08-30","27.92"
"2013-08-29","27.80"
"2013-08-28","27.88"
"2013-08-27","27.71"
"2013-08-26","27.71"
"2013-08-23","27.92"
"2013-08-22","27.70"
"2013-08-21","27.44"
"2013-08-20","27.82"
"2013-08-19","27.70"
"2013-08-16","27.95"
"2013-08-15","28.30"
"2013-08-14","28.80"
"2013-08-13","29.02"
"2013-08-12","29.24"
"2013-08-09","29.45"
"2013-08-08","30.00"
"2013-08-07","29.75"
"2013-08-06","29.82"
"2013-08-05","30.07"
"2013-08-02","30.36"
"2013-08-01","30.34"
"2013-07-31","29.95"
"2013-07-30","30.18"
"2013-07-29","29.87"
"2013-07-26","29.75"
"2013-07-25","29.80"
"2013-07-24","29.68"
"2013-07-23","30.12"
"2013-07-22","30.06"
"2013-07-19","30.09"
"2013-07-18","29.99"
"2013-07-17","29.73"
"2013-07-16","29.79"
"2013-07-15","29.86"
"2013-07-12","29.31"
"2013-07-11","29.27"
"2013-07-10","28.94"
"2013-07-09","28.85"
"2013-07-08","28.56"
"2013-07-05","28.10"
"2013-07-03","28.26"
"2013-07-02","28.13"
"2013-07-01","28.06"
"2013-06-28","28.34"
"2013-06-27","28.70"
"2013-06-26","28.66"
"2013-06-25","28.38"
"2013-06-24","28.02"
"2013-06-21","28.01"
"2013-06-20","27.71"
"2013-06-19","28.55"
"2013-06-18","29.36"
"2013-06-17","29.48"
"2013-06-14","29.42"
"2013-06-13","29.28"
"2013-06-12","28.77"
"2013-06-11","28.98"
"2013-06-10","29.14"
"2013-06-07","29.15"
"2013-06-06","28.91"
"2013-06-05","28.48"
"2013-06-04","28.86"
"2013-06-03","28.87"
"2013-05-31","28.72"
"2013-05-30","28.88"
"2013-05-29","28.65"
"2013-05-28","29.37"
"2013-05-24","29.57"
"2013-05-23","29.81"
"2013-05-22","29.95"
"2013-05-21","30.27"
"2013-05-20","30.25"
"2013-05-17","30.42"
"2013-05-16","30.14"
"2013-05-15","30.33"
"2013-05-14","30.03"
"2013-05-13","30.03"
"2013-05-10","30.25"
"2013-05-09","30.23"
"2013-05-08","30.85"
"2013-05-07","31.17"
"2013-05-06","30.68"
"2013-05-03","31.19"
"2013-05-02","31.35"
"2013-05-01","31.44"
"2013-04-30","31.79"
"2013-04-29","31.58"
"2013-04-26","31.22"
"2013-04-25","31.32"
"2013-04-24","31.19"
"2013-04-23","30.93"
"2013-04-22","30.98"
"2013-04-19","31.08"
"2013-04-18","30.48"
"2013-04-17","30.33"
"2013-04-16","30.50"
"2013-04-15","30.25"
"2013-04-12","30.92"
"2013-04-11","30.62"
"2013-04-10","30.56"
"2013-04-09","30.28"
"2013-04-08","30.40"
"2013-04-05","30.18"
