"Date","Close"
"2013-12-31","31.84"
"2013-12-30","31.89"
"2013-12-27","31.69"
"2013-12-26","31.70"
"2013-12-24","31.54"
"2013-12-23","31.34"
"2013-12-20","31.10"
"2013-12-19","30.74"
"2013-12-18","30.59"
"2013-12-17","30.05"
"2013-12-16","29.88"
"2013-12-13","29.65"
"2013-12-12","29.91"
"2013-12-11","30.04"
"2013-12-10","30.72"
"2013-12-09","30.94"
"2013-12-06","30.75"
"2013-12-05","30.44"
"2013-12-04","30.67"
"2013-12-03","30.86"
"2013-12-02","31.18"
"2013-11-29","31.99"
"2013-11-27","32.10"
"2013-11-26","32.16"
"2013-11-25","31.66"
"2013-11-22","31.55"
"2013-11-21","31.30"
"2013-11-20","30.92"
"2013-11-19","31.20"
"2013-11-18","31.42"
"2013-11-15","31.39"
"2013-11-14","31.34"
"2013-11-13","31.05"
"2013-11-12","30.89"
"2013-11-11","31.43"
"2013-11-08","31.25"
"2013-11-07","30.76"
"2013-11-06","30.83"
"2013-11-05","30.63"
"2013-11-04","30.51"
"2013-11-01","30.32"
"2013-10-31","30.57"
"2013-10-30","31.14"
"2013-10-29","31.55"
"2013-10-28","31.56"
"2013-10-25","31.68"
"2013-10-24","31.95"
"2013-10-23","31.72"
"2013-10-22","32.14"
"2013-10-21","31.87"
"2013-10-18","32.08"
"2013-10-17","32.07"
"2013-10-16","31.78"
"2013-10-15","31.08"
"2013-10-14","31.45"
"2013-10-11","31.30"
"2013-10-10","31.28"
"2013-10-09","30.58"
"2013-10-08","30.60"
"2013-10-07","31.11"
"2013-10-04","31.15"
"2013-10-03","30.87"
"2013-10-02","31.26"
"2013-10-01","30.98"
"2013-09-30","30.82"
"2013-09-27","31.00"
"2013-09-26","30.96"
"2013-09-25","30.92"
"2013-09-24","30.86"
"2013-09-23","31.23"
"2013-09-20","31.44"
"2013-09-19","31.39"
"2013-09-18","31.53"
"2013-09-17","30.92"
"2013-09-16","30.78"
"2013-09-13","30.51"
"2013-09-12","30.31"
"2013-09-11","30.58"
"2013-09-10","30.59"
"2013-09-09","30.23"
