"Date","Close"
"2013-12-31","45.92"
"2013-12-30","45.64"
"2013-12-27","45.29"
"2013-12-26","45.20"
"2013-12-24","45.23"
"2013-12-23","45.14"
"2013-12-20","44.71"
"2013-12-19","44.31"
"2013-12-18","45.19"
"2013-12-17","44.27"
"2013-12-16","43.64"
"2013-12-13","43.32"
"2013-12-12","43.41"
"2013-12-11","43.06"
"2013-12-10","43.67"
"2013-12-09","44.24"
"2013-12-06","44.35"
"2013-12-05","44.20"
"2013-12-04","44.39"
"2013-12-03","44.29"
"2013-12-02","44.28"
"2013-11-29","44.43"
"2013-11-27","44.53"
"2013-11-26","44.50"
"2013-11-25","44.37"
"2013-11-22","43.98"
"2013-11-21","44.11"
"2013-11-20","43.21"
"2013-11-19","43.09"
"2013-11-18","43.77"
"2013-11-15","43.66"
"2013-11-14","42.99"
"2013-11-13","44.94"
"2013-11-12","44.57"
"2013-11-11","44.09"
"2013-11-08","44.63"
"2013-11-07","44.49"
"2013-11-06","45.09"
"2013-11-05","45.02"
"2013-11-04","45.38"
"2013-11-01","45.28"
"2013-10-31","45.43"
"2013-10-30","45.06"
"2013-10-29","45.40"
"2013-10-28","44.45"
"2013-10-25","44.64"
"2013-10-24","44.83"
"2013-10-23","44.88"
"2013-10-22","46.47"
"2013-10-21","46.07"
"2013-10-18","45.50"
"2013-10-17","45.39"
"2013-10-16","46.93"
"2013-10-15","46.37"
"2013-10-14","47.45"
"2013-10-11","47.28"
"2013-10-10","46.78"
"2013-10-09","45.69"
"2013-10-08","45.62"
"2013-10-07","46.41"
"2013-10-04","46.65"
"2013-10-03","46.46"
"2013-10-02","46.71"
"2013-10-01","47.26"
"2013-09-30","46.85"
"2013-09-27","46.54"
"2013-09-26","46.79"
"2013-09-25","46.68"
"2013-09-24","46.72"
"2013-09-23","46.60"
"2013-09-20","47.12"
"2013-09-19","47.76"
"2013-09-18","47.69"
"2013-09-17","47.99"
"2013-09-16","47.50"
"2013-09-13","47.27"
"2013-09-12","47.11"
"2013-09-11","46.96"
"2013-09-10","46.97"
"2013-09-09","46.33"
"2013-09-06","46.18"
"2013-09-05","46.13"
"2013-09-04","45.85"
"2013-09-03","44.62"
"2013-08-30","43.42"
"2013-08-29","44.02"
"2013-08-28","43.52"
"2013-08-27","43.11"
"2013-08-26","44.28"
"2013-08-23","44.19"
"2013-08-22","44.30"
"2013-08-21","44.33"
"2013-08-20","44.46"
"2013-08-19","44.29"
