"Date","Close"
"2013-12-31","48.48"
"2013-12-30","48.47"
"2013-12-27","48.34"
"2013-12-26","48.55"
"2013-12-24","48.74"
"2013-12-23","48.86"
"2013-12-20","48.43"
"2013-12-19","48.33"
"2013-12-18","48.21"
"2013-12-17","47.46"
"2013-12-16","47.67"
"2013-12-13","47.84"
"2013-12-12","48.24"
"2013-12-11","48.49"
"2013-12-10","48.07"
"2013-12-09","47.57"
"2013-12-06","47.87"
"2013-12-05","46.94"
"2013-12-04","47.28"
"2013-12-03","47.22"
"2013-12-02","47.38"
"2013-11-29","47.56"
"2013-11-27","47.69"
"2013-11-26","47.72"
"2013-11-25","47.84"
"2013-11-22","47.85"
"2013-11-21","47.86"
"2013-11-20","47.83"
"2013-11-19","48.15"
"2013-11-18","48.49"
"2013-11-15","48.62"
"2013-11-14","48.55"
"2013-11-13","48.10"
"2013-11-12","48.00"
"2013-11-11","47.59"
"2013-11-08","47.81"
"2013-11-07","47.15"
"2013-11-06","47.33"
"2013-11-05","47.14"
"2013-11-04","47.45"
"2013-11-01","47.15"
"2013-10-31","47.11"
"2013-10-30","46.78"
"2013-10-29","45.71"
"2013-10-28","44.98"
"2013-10-25","45.00"
"2013-10-24","45.00"
"2013-10-23","45.46"
"2013-10-22","45.55"
"2013-10-21","45.73"
"2013-10-18","45.70"
"2013-10-17","45.41"
"2013-10-16","44.50"
"2013-10-15","44.29"
"2013-10-14","44.73"
"2013-10-11","44.57"
"2013-10-10","44.09"
"2013-10-09","43.53"
"2013-10-08","43.53"
"2013-10-07","43.94"
"2013-10-04","44.49"
"2013-10-03","43.22"
"2013-10-02","43.85"
"2013-10-01","43.62"
"2013-09-30","43.41"
"2013-09-27","43.39"
"2013-09-26","43.51"
"2013-09-25","43.43"
"2013-09-24","43.92"
"2013-09-23","44.10"
"2013-09-20","44.08"
"2013-09-19","44.31"
"2013-09-18","44.51"
"2013-09-17","44.51"
"2013-09-16","44.54"
"2013-09-13","44.11"
