"Date","Close"
"2013-12-31","12.17"
"2013-12-30","12.15"
"2013-12-27","12.20"
"2013-12-26","12.23"
"2013-12-24","12.18"
"2013-12-23","12.03"
"2013-12-20","11.88"
"2013-12-19","11.78"
"2013-12-18","11.75"
"2013-12-17","11.49"
"2013-12-16","11.51"
"2013-12-13","11.33"
"2013-12-12","11.20"
"2013-12-11","11.16"
"2013-12-10","11.47"
"2013-12-09","11.44"
"2013-12-06","11.28"
"2013-12-05","11.04"
"2013-12-04","11.08"
"2013-12-03","11.31"
"2013-12-02","11.54"
"2013-11-29","11.38"
"2013-11-27","11.29"
"2013-11-26","11.26"
"2013-11-25","11.23"
"2013-11-22","11.22"
"2013-11-21","11.07"
"2013-11-20","10.98"
"2013-11-19","11.22"
"2013-11-18","11.09"
"2013-11-15","11.04"
"2013-11-14","11.03"
"2013-11-13","11.04"
"2013-11-12","10.69"
"2013-11-11","10.28"
"2013-11-08","10.30"
"2013-11-07","10.09"
"2013-11-06","10.31"
"2013-11-05","10.28"
"2013-11-04","10.19"
"2013-11-01","10.02"
"2013-10-31","9.94"
"2013-10-30","9.82"
"2013-10-29","9.81"
"2013-10-28","9.77"
"2013-10-25","9.71"
"2013-10-24","9.61"
"2013-10-23","10.73"
"2013-10-22","10.96"
"2013-10-21","11.01"
"2013-10-18","10.91"
"2013-10-17","10.80"
"2013-10-16","10.66"
"2013-10-15","10.56"
"2013-10-14","10.66"
"2013-10-11","10.64"
"2013-10-10","10.65"
"2013-10-09","10.21"
"2013-10-08","10.14"
"2013-10-07","10.40"
"2013-10-04","10.53"
"2013-10-03","10.40"
"2013-10-02","10.51"
"2013-10-01","10.49"
"2013-09-30","10.29"
"2013-09-27","10.37"
"2013-09-26","10.38"
"2013-09-25","10.42"
"2013-09-24","10.31"
"2013-09-23","10.08"
"2013-09-20","10.14"
"2013-09-19","10.24"
"2013-09-18","10.36"
"2013-09-17","10.40"
"2013-09-16","10.40"
"2013-09-13","10.45"
"2013-09-12","10.14"
"2013-09-11","10.29"
"2013-09-10","10.22"
"2013-09-09","10.08"
"2013-09-06","10.03"
"2013-09-05","10.06"
"2013-09-04","10.01"
"2013-09-03","10.12"
"2013-08-30","9.98"
"2013-08-29","10.04"
"2013-08-28","9.92"
"2013-08-27","9.67"
"2013-08-26","10.00"
"2013-08-23","10.04"
"2013-08-22","10.03"
"2013-08-21","9.98"
"2013-08-20","10.07"
"2013-08-19","10.14"
"2013-08-16","10.30"
"2013-08-15","10.28"
"2013-08-14","10.51"
"2013-08-13","10.49"
"2013-08-12","10.15"
"2013-08-09","10.03"
"2013-08-08","9.98"
"2013-08-07","9.87"
"2013-08-06","9.97"
"2013-08-05","10.07"
"2013-08-02","10.00"
"2013-08-01","9.91"
"2013-07-31","9.70"
"2013-07-30","9.64"
"2013-07-29","9.65"
"2013-07-26","9.69"
"2013-07-25","9.80"
"2013-07-24","9.83"
"2013-07-23","9.79"
"2013-07-22","9.81"
"2013-07-19","9.70"
"2013-07-18","9.82"
"2013-07-17","9.69"
"2013-07-16","9.73"
"2013-07-15","9.84"
"2013-07-12","9.82"
"2013-07-11","9.71"
"2013-07-10","9.60"
"2013-07-09","9.40"
"2013-07-08","9.40"
"2013-07-05","9.44"
"2013-07-03","9.28"
"2013-07-02","9.23"
"2013-07-01","9.24"
"2013-06-28","9.07"
"2013-06-27","9.18"
"2013-06-26","8.95"
"2013-06-25","8.97"
"2013-06-24","8.95"
"2013-06-21","9.28"
"2013-06-20","9.23"
"2013-06-19","9.45"
"2013-06-18","9.49"
"2013-06-17","9.16"
"2013-06-14","9.10"
"2013-06-13","9.10"
"2013-06-12","8.85"
"2013-06-11","9.10"
"2013-06-10","9.21"
"2013-06-07","9.17"
"2013-06-06","8.80"
"2013-06-05","8.75"
"2013-06-04","8.99"
"2013-06-03","8.90"
"2013-05-31","8.79"
"2013-05-30","8.99"
"2013-05-29","8.98"
"2013-05-28","9.01"
"2013-05-24","8.92"
"2013-05-23","8.92"
"2013-05-22","8.81"
"2013-05-21","9.02"
"2013-05-20","8.96"
"2013-05-17","8.82"
"2013-05-16","8.76"
"2013-05-15","9.00"
"2013-05-14","8.92"
"2013-05-13","8.89"
"2013-05-10","9.00"
"2013-05-09","9.00"
"2013-05-08","8.80"
"2013-05-07","8.77"
"2013-05-06","8.76"
"2013-05-03","8.54"
"2013-05-02","8.41"
"2013-05-01","8.33"
"2013-04-30","8.58"
"2013-04-29","8.45"
"2013-04-26","8.38"
"2013-04-25","8.51"
"2013-04-24","8.37"
"2013-04-23","8.44"
"2013-04-22","8.60"
"2013-04-19","8.46"
"2013-04-18","8.63"
"2013-04-17","8.92"
"2013-04-16","9.07"
"2013-04-15","8.91"
"2013-04-12","9.06"
"2013-04-11","9.27"
"2013-04-10","8.96"
"2013-04-09","8.78"
"2013-04-08","8.64"
"2013-04-05","8.63"
"2013-04-04","8.66"
"2013-04-03","8.56"
"2013-04-02","8.85"
"2013-04-01","8.60"
"2013-03-28","8.60"
"2013-03-27","8.54"
"2013-03-26","8.58"
"2013-03-25","8.51"
"2013-03-22","8.60"
"2013-03-21","8.55"
"2013-03-20","8.76"
"2013-03-19","8.62"
"2013-03-18","8.66"
"2013-03-15","8.71"
"2013-03-14","8.69"
"2013-03-13","8.59"
"2013-03-12","8.59"
"2013-03-11","8.66"
"2013-03-08","8.71"
"2013-03-07","8.57"
"2013-03-06","8.51"
"2013-03-05","8.22"
"2013-03-04","8.18"
"2013-03-01","8.15"
"2013-02-28","8.11"
"2013-02-27","8.18"
"2013-02-26","8.02"
"2013-02-25","7.89"
"2013-02-22","8.12"
"2013-02-21","7.84"
"2013-02-20","7.86"
"2013-02-19","8.00"
"2013-02-15","7.97"
"2013-02-14","8.03"
"2013-02-13","8.00"
"2013-02-12","7.96"
"2013-02-11","7.99"
"2013-02-08","7.96"
"2013-02-07","7.99"
"2013-02-06","7.99"
"2013-02-05","8.02"
"2013-02-04","7.94"
"2013-02-01","8.02"
"2013-01-31","8.01"
"2013-01-30","8.16"
"2013-01-29","8.14"
"2013-01-28","8.23"
"2013-01-25","7.93"
"2013-01-24","7.75"
"2013-01-23","7.58"
"2013-01-22","7.53"
"2013-01-18","7.64"
"2013-01-17","7.58"
"2013-01-16","7.58"
"2013-01-15","7.42"
"2013-01-14","7.40"
"2013-01-11","7.26"
"2013-01-10","7.29"
"2013-01-09","7.22"
"2013-01-08","7.22"
"2013-01-07","7.23"
"2013-01-04","7.11"
"2013-01-03","7.19"
"2013-01-02","7.19"
"2012-12-31","6.82"
"2012-12-28","6.69"
"2012-12-27","6.79"
"2012-12-26","6.90"
"2012-12-24","6.98"
"2012-12-21","7.05"
"2012-12-20","7.13"
"2012-12-19","7.06"
"2012-12-18","7.12"
"2012-12-17","6.94"
"2012-12-14","6.97"
"2012-12-13","7.04"
"2012-12-12","7.08"
"2012-12-11","7.12"
"2012-12-10","7.03"
"2012-12-07","7.09"
"2012-12-06","7.02"
"2012-12-05","6.97"
"2012-12-04","6.98"
"2012-12-03","6.79"
"2012-11-30","6.81"
"2012-11-29","6.79"
"2012-11-28","6.67"
"2012-11-27","6.53"
"2012-11-26","6.58"
"2012-11-23","6.66"
"2012-11-21","6.46"
"2012-11-20","6.42"
"2012-11-19","6.42"
"2012-11-16","6.23"
"2012-11-15","6.28"
"2012-11-14","6.29"
"2012-11-13","6.42"
"2012-11-12","6.33"
"2012-11-09","6.34"
"2012-11-08","6.34"
"2012-11-07","6.36"
"2012-11-06","6.67"
"2012-11-05","6.59"
"2012-11-02","6.47"
"2012-11-01","6.65"
"2012-10-31","6.44"
"2012-10-26","6.49"
"2012-10-25","6.50"
"2012-10-24","6.48"
"2012-10-23","6.67"
"2012-10-22","7.03"
"2012-10-19","6.98"
"2012-10-18","7.36"
"2012-10-17","7.32"
"2012-10-16","7.39"
"2012-10-15","7.16"
"2012-10-12","7.08"
"2012-10-11","7.22"
"2012-10-10","7.07"
"2012-10-09","7.16"
"2012-10-08","7.25"
"2012-10-05","7.27"
"2012-10-04","7.28"
"2012-10-03","7.17"
"2012-10-02","7.35"
"2012-10-01","7.35"
"2012-09-28","7.34"
"2012-09-27","7.38"
"2012-09-26","7.25"
"2012-09-25","7.32"
"2012-09-24","7.72"
"2012-09-21","7.80"
"2012-09-20","7.80"
"2012-09-19","7.79"
"2012-09-18","7.60"
"2012-09-17","7.70"
"2012-09-14","7.86"
"2012-09-13","7.74"
"2012-09-12","7.66"
"2012-09-11","7.49"
"2012-09-10","7.46"
"2012-09-07","7.68"
"2012-09-06","7.68"
"2012-09-05","7.42"
"2012-09-04","7.26"
"2012-08-31","7.37"
"2012-08-30","7.33"
"2012-08-29","7.39"
"2012-08-28","7.38"
"2012-08-27","7.30"
