"Date","Close"
"2013-12-31","40.44"
"2013-12-30","40.20"
"2013-12-27","40.49"
"2013-12-26","40.65"
"2013-12-24","40.85"
"2013-12-23","40.77"
"2013-12-20","40.12"
"2013-12-19","40.20"
"2013-12-18","40.04"
"2013-12-17","39.51"
"2013-12-16","39.73"
"2013-12-13","39.73"
"2013-12-12","39.35"
"2013-12-11","39.16"
"2013-12-10","40.22"
"2013-12-09","38.87"
"2013-12-06","38.86"
"2013-12-05","38.87"
"2013-12-04","38.13"
"2013-12-03","36.56"
"2013-12-02","37.01"
"2013-11-29","36.98"
"2013-11-27","36.96"
"2013-11-26","36.64"
"2013-11-25","36.29"
"2013-11-22","36.49"
"2013-11-21","36.30"
"2013-11-20","35.62"
"2013-11-19","34.63"
"2013-11-18","34.98"
"2013-11-15","35.47"
"2013-11-14","35.69"
"2013-11-13","35.10"
"2013-11-12","34.07"
"2013-11-11","33.82"
"2013-11-08","33.12"
"2013-11-07","32.11"
"2013-11-06","32.88"
"2013-11-05","32.97"
"2013-11-04","33.19"
"2013-11-01","33.18"
"2013-10-31","32.94"
"2013-10-30","32.57"
"2013-10-29","33.17"
"2013-10-28","32.35"
"2013-10-25","32.25"
"2013-10-24","33.08"
"2013-10-23","33.10"
"2013-10-22","33.94"
"2013-10-21","34.06"
"2013-10-18","33.43"
"2013-10-17","32.74"
"2013-10-16","33.09"
"2013-10-15","33.38"
"2013-10-14","34.00"
"2013-10-11","34.15"
"2013-10-10","33.87"
"2013-10-09","33.01"
"2013-10-08","32.93"
"2013-10-07","34.14"
"2013-10-04","34.89"
"2013-10-03","33.88"
"2013-10-02","34.14"
"2013-10-01","34.31"
"2013-09-30","33.17"
"2013-09-27","33.55"
"2013-09-26","32.75"
"2013-09-25","31.34"
"2013-09-24","31.27"
"2013-09-23","30.26"
"2013-09-20","30.93"
"2013-09-19","31.03"
"2013-09-18","30.44"
"2013-09-17","30.00"
"2013-09-16","29.62"
"2013-09-13","29.26"
"2013-09-12","29.65"
"2013-09-11","29.19"
"2013-09-10","29.48"
"2013-09-09","29.24"
"2013-09-06","28.17"
"2013-09-05","28.23"
"2013-09-04","28.07"
"2013-09-03","27.78"
"2013-08-30","27.12"
"2013-08-29","27.30"
"2013-08-28","27.11"
"2013-08-27","27.00"
"2013-08-26","27.70"
"2013-08-23","27.99"
"2013-08-22","27.90"
"2013-08-21","27.06"
"2013-08-20","27.12"
"2013-08-19","26.91"
"2013-08-16","27.32"
"2013-08-15","27.14"
"2013-08-14","28.05"
"2013-08-13","28.34"
"2013-08-12","28.35"
"2013-08-09","27.68"
"2013-08-08","27.48"
"2013-08-07","27.39"
"2013-08-06","27.32"
"2013-08-05","27.67"
"2013-08-02","27.65"
"2013-08-01","27.96"
"2013-07-31","28.09"
"2013-07-30","28.05"
"2013-07-29","27.93"
"2013-07-26","28.11"
"2013-07-25","28.27"
"2013-07-24","27.84"
"2013-07-23","27.36"
"2013-07-22","27.86"
"2013-07-19","29.11"
"2013-07-18","29.66"
"2013-07-17","29.66"
"2013-07-16","26.88"
"2013-07-15","27.34"
"2013-07-12","27.23"
"2013-07-11","27.04"
"2013-07-10","26.56"
"2013-07-09","26.68"
"2013-07-08","25.53"
"2013-07-05","25.68"
"2013-07-03","25.59"
"2013-07-02","24.99"
"2013-07-01","25.24"
"2013-06-28","25.13"
"2013-06-27","25.47"
"2013-06-26","25.29"
"2013-06-25","24.96"
"2013-06-24","24.07"
"2013-06-21","25.19"
"2013-06-20","25.35"
"2013-06-19","26.24"
"2013-06-18","26.66"
"2013-06-17","26.54"
"2013-06-14","26.28"
"2013-06-13","26.37"
"2013-06-12","25.89"
"2013-06-11","26.40"
"2013-06-10","26.74"
"2013-06-07","27.04"
"2013-06-06","26.21"
"2013-06-05","25.75"
"2013-06-04","26.26"
"2013-06-03","26.39"
"2013-05-31","26.30"
"2013-05-30","26.33"
"2013-05-29","25.81"
"2013-05-28","26.07"
"2013-05-24","26.33"
"2013-05-23","26.02"
"2013-05-22","26.54"
"2013-05-21","27.00"
"2013-05-20","26.58"
"2013-05-17","26.52"
"2013-05-16","26.58"
"2013-05-15","27.34"
"2013-05-14","26.64"
"2013-05-13","26.39"
"2013-05-10","26.83"
"2013-05-09","26.24"
"2013-05-08","26.41"
"2013-05-07","26.07"
"2013-05-06","25.17"
"2013-05-03","25.07"
"2013-05-02","24.97"
"2013-05-01","24.30"
"2013-04-30","24.73"
"2013-04-29","24.43"
"2013-04-26","24.68"
"2013-04-25","25.20"
"2013-04-24","24.75"
"2013-04-23","24.38"
"2013-04-22","23.95"
"2013-04-19","23.47"
"2013-04-18","23.26"
"2013-04-17","23.70"
"2013-04-16","23.79"
"2013-04-15","23.98"
"2013-04-12","24.69"
"2013-04-11","24.49"
"2013-04-10","24.20"
"2013-04-09","23.83"
"2013-04-08","23.48"
"2013-04-05","23.30"
"2013-04-04","23.52"
"2013-04-03","23.38"
"2013-04-02","23.78"
"2013-04-01","23.50"
"2013-03-28","23.53"
"2013-03-27","23.59"
"2013-03-26","23.59"
"2013-03-25","23.38"
"2013-03-22","23.26"
"2013-03-21","22.86"
"2013-03-20","22.10"
"2013-03-19","22.17"
"2013-03-18","22.01"
"2013-03-15","22.07"
"2013-03-14","22.43"
"2013-03-13","22.34"
"2013-03-12","22.40"
"2013-03-11","22.60"
"2013-03-08","22.90"
"2013-03-07","22.70"
"2013-03-06","22.80"
"2013-03-05","22.95"
"2013-03-04","22.70"
"2013-03-01","21.94"
"2013-02-28","21.31"
"2013-02-27","21.16"
"2013-02-26","20.76"
"2013-02-25","20.73"
"2013-02-22","21.22"
"2013-02-21","20.83"
"2013-02-20","20.92"
"2013-02-19","21.29"
"2013-02-15","21.02"
"2013-02-14","21.18"
"2013-02-13","21.15"
"2013-02-12","21.21"
"2013-02-11","20.90"
"2013-02-08","20.50"
"2013-02-07","20.32"
"2013-02-06","19.85"
"2013-02-05","19.66"
"2013-02-04","19.34"
"2013-02-01","19.76"
"2013-01-31","19.63"
"2013-01-30","20.12"
"2013-01-29","19.70"
"2013-01-28","20.31"
"2013-01-25","20.37"
"2013-01-24","20.44"
"2013-01-23","20.11"
"2013-01-22","19.90"
"2013-01-18","20.02"
"2013-01-17","20.13"
"2013-01-16","20.07"
"2013-01-15","19.52"
"2013-01-14","19.43"
"2013-01-11","19.29"
"2013-01-10","18.99"
"2013-01-09","19.32"
"2013-01-08","19.66"
"2013-01-07","19.40"
"2013-01-04","19.86"
"2013-01-03","19.78"
"2013-01-02","20.08"
"2012-12-31","19.90"
"2012-12-28","19.50"
"2012-12-27","19.60"
"2012-12-26","19.57"
"2012-12-24","19.65"
"2012-12-21","19.35"
"2012-12-20","19.69"
"2012-12-19","19.60"
"2012-12-18","19.62"
"2012-12-17","19.69"
"2012-12-14","19.64"
"2012-12-13","19.35"
"2012-12-12","19.38"
"2012-12-11","19.52"
"2012-12-10","19.43"
"2012-12-07","19.20"
