"Date","Close"
"2013-12-31","93.19"
"2013-12-30","93.20"
"2013-12-27","93.24"
"2013-12-26","93.43"
"2013-12-24","93.10"
"2013-12-23","93.43"
"2013-12-20","92.74"
"2013-12-19","92.61"
"2013-12-18","92.80"
"2013-12-17","90.63"
"2013-12-16","90.40"
"2013-12-13","90.51"
"2013-12-12","90.00"
"2013-12-11","90.34"
"2013-12-10","91.88"
"2013-12-09","92.44"
"2013-12-06","92.02"
"2013-12-05","90.45"
"2013-12-04","90.07"
"2013-12-03","90.59"
"2013-12-02","91.04"
"2013-11-29","91.41"
"2013-11-27","90.62"
"2013-11-26","90.60"
"2013-11-25","89.74"
"2013-11-22","89.24"
"2013-11-21","89.17"
"2013-11-20","89.27"
"2013-11-19","89.94"
"2013-11-18","89.59"
"2013-11-15","90.59"
"2013-11-14","90.30"
"2013-11-13","89.64"
"2013-11-12","89.25"
"2013-11-11","89.23"
"2013-11-08","88.59"
"2013-11-07","88.36"
"2013-11-06","89.40"
"2013-11-05","88.94"
"2013-11-04","88.88"
"2013-11-01","87.89"
"2013-10-31","87.47"
"2013-10-30","88.22"
"2013-10-29","88.40"
"2013-10-28","88.13"
"2013-10-25","86.91"
"2013-10-24","85.66"
"2013-10-23","89.90"
"2013-10-22","88.72"
"2013-10-21","88.32"
"2013-10-18","88.95"
"2013-10-17","87.88"
"2013-10-16","87.72"
"2013-10-15","86.38"
"2013-10-14","87.65"
"2013-10-11","86.66"
"2013-10-10","85.93"
"2013-10-09","84.69"
"2013-10-08","83.37"
"2013-10-07","83.21"
"2013-10-04","83.39"
"2013-10-03","82.66"
"2013-10-02","83.02"
"2013-10-01","82.41"
"2013-09-30","82.14"
"2013-09-27","82.30"
"2013-09-26","82.24"
"2013-09-25","81.70"
"2013-09-24","83.83"
"2013-09-23","83.92"
"2013-09-20","83.11"
"2013-09-19","83.51"
"2013-09-18","83.76"
"2013-09-17","83.15"
"2013-09-16","82.82"
"2013-09-13","81.89"
"2013-09-12","81.24"
"2013-09-11","80.84"
"2013-09-10","80.85"
"2013-09-09","80.70"
"2013-09-06","79.88"
"2013-09-05","79.60"
"2013-09-04","79.44"
"2013-09-03","78.91"
"2013-08-30","79.09"
"2013-08-29","78.86"
"2013-08-28","78.25"
"2013-08-27","78.34"
"2013-08-26","80.46"
"2013-08-23","80.52"
"2013-08-22","80.75"
"2013-08-21","79.50"
"2013-08-20","79.85"
"2013-08-19","79.63"
"2013-08-16","79.54"
"2013-08-15","79.72"
"2013-08-14","80.90"
"2013-08-13","81.85"
"2013-08-12","82.31"
"2013-08-09","82.57"
"2013-08-08","83.29"
"2013-08-07","82.59"
"2013-08-06","83.00"
"2013-08-05","83.94"
"2013-08-02","84.00"
"2013-08-01","84.47"
"2013-07-31","83.48"
"2013-07-30","82.99"
"2013-07-29","83.62"
"2013-07-26","84.48"
"2013-07-25","82.90"
"2013-07-24","84.04"
"2013-07-23","84.50"
"2013-07-22","84.52"
"2013-07-19","84.67"
"2013-07-18","82.21"
"2013-07-17","81.68"
"2013-07-16","80.13"
"2013-07-15","79.56"
"2013-07-12","78.95"
"2013-07-11","78.17"
"2013-07-10","77.20"
"2013-07-09","76.88"
"2013-07-08","77.08"
"2013-07-05","76.32"
"2013-07-03","75.42"
"2013-07-02","76.08"
"2013-07-01","75.00"
"2013-06-28","74.94"
"2013-06-27","74.96"
"2013-06-26","74.94"
"2013-06-25","74.97"
"2013-06-24","75.27"
"2013-06-21","76.38"
"2013-06-20","75.44"
"2013-06-19","77.94"
"2013-06-18","79.79"
"2013-06-17","79.65"
"2013-06-14","77.86"
"2013-06-13","78.44"
"2013-06-12","77.01"
"2013-06-11","77.39"
"2013-06-10","78.50"
"2013-06-07","78.73"
"2013-06-06","78.30"
"2013-06-05","77.17"
"2013-06-04","77.60"
"2013-06-03","78.83"
"2013-05-31","78.51"
"2013-05-30","79.94"
"2013-05-29","79.01"
"2013-05-28","80.78"
"2013-05-24","79.87"
"2013-05-23","79.95"
"2013-05-22","79.86"
"2013-05-21","81.01"
"2013-05-20","80.81"
"2013-05-17","80.34"
"2013-05-16","80.62"
"2013-05-15","80.99"
"2013-05-14","80.89"
"2013-05-13","79.97"
"2013-05-10","79.39"
"2013-05-09","78.28"
"2013-05-08","78.19"
"2013-05-07","77.30"
"2013-05-06","76.96"
"2013-05-03","77.00"
"2013-05-02","75.68"
"2013-05-01","75.30"
"2013-04-30","76.45"
"2013-04-29","76.17"
"2013-04-26","74.97"
"2013-04-25","75.49"
"2013-04-24","74.53"
"2013-04-23","74.46"
"2013-04-22","73.36"
"2013-04-19","73.93"
"2013-04-18","72.97"
"2013-04-17","73.18"
"2013-04-16","73.50"
"2013-04-15","73.69"
"2013-04-12","75.46"
"2013-04-11","76.30"
"2013-04-10","75.85"
"2013-04-09","75.37"
"2013-04-08","74.31"
"2013-04-05","74.03"
"2013-04-04","75.25"
"2013-04-03","74.46"
"2013-04-02","75.33"
"2013-04-01","75.13"
"2013-03-28","75.22"
"2013-03-27","74.22"
"2013-03-26","74.21"
"2013-03-25","72.92"
"2013-03-22","73.45"
"2013-03-21","72.38"
"2013-03-20","73.21"
"2013-03-19","73.00"
"2013-03-18","73.24"
"2013-03-15","73.97"
"2013-03-14","74.85"
"2013-03-13","76.06"
"2013-03-12","76.20"
"2013-03-11","75.74"
"2013-03-08","75.40"
"2013-03-07","74.89"
"2013-03-06","75.29"
"2013-03-05","75.83"
"2013-03-04","74.86"
"2013-03-01","74.99"
"2013-02-28","74.96"
"2013-02-27","74.45"
"2013-02-26","73.53"
"2013-02-25","73.07"
"2013-02-22","74.14"
"2013-02-21","73.87"
"2013-02-20","75.31"
"2013-02-19","76.11"
"2013-02-15","75.90"
"2013-02-14","76.34"
"2013-02-13","76.00"
"2013-02-12","75.44"
"2013-02-11","75.65"
"2013-02-08","75.85"
"2013-02-07","75.06"
"2013-02-06","75.11"
"2013-02-05","74.06"
"2013-02-04","73.46"
"2013-02-01","73.47"
"2013-01-31","74.60"
"2013-01-30","74.43"
"2013-01-29","75.42"
"2013-01-28","75.03"
"2013-01-25","75.12"
"2013-01-24","74.43"
"2013-01-23","74.11"
"2013-01-22","74.25"
"2013-01-18","73.61"
"2013-01-17","73.00"
"2013-01-16","71.91"
"2013-01-15","71.06"
"2013-01-14","71.05"
"2013-01-11","71.17"
"2013-01-10","70.71"
"2013-01-09","70.57"
"2013-01-08","69.29"
"2013-01-07","69.19"
"2013-01-04","69.02"
"2013-01-03","68.67"
"2013-01-02","67.70"
"2012-12-31","66.66"
"2012-12-28","65.54"
"2012-12-27","66.73"
"2012-12-26","66.58"
"2012-12-24","67.10"
"2012-12-21","67.64"
"2012-12-20","68.80"
"2012-12-19","68.24"
"2012-12-18","68.72"
"2012-12-17","68.12"
"2012-12-14","67.26"
"2012-12-13","67.35"
"2012-12-12","67.55"
"2012-12-11","67.06"
"2012-12-10","65.50"
"2012-12-07","65.49"
"2012-12-06","65.71"
"2012-12-05","65.63"
"2012-12-04","65.84"
"2012-12-03","65.45"
"2012-11-30","65.97"
"2012-11-29","66.36"
"2012-11-28","66.10"
"2012-11-27","66.02"
"2012-11-26","66.15"
"2012-11-23","66.84"
"2012-11-21","66.03"
"2012-11-20","66.30"
"2012-11-19","65.82"
"2012-11-16","64.44"
"2012-11-15","64.25"
"2012-11-14","64.34"
"2012-11-13","64.44"
"2012-11-12","64.70"
"2012-11-09","64.69"
"2012-11-08","64.67"
"2012-11-07","64.83"
"2012-11-06","66.01"
"2012-11-05","65.68"
"2012-11-02","65.05"
"2012-11-01","65.55"
"2012-10-31","64.21"
"2012-10-26","63.55"
"2012-10-25","63.98"
"2012-10-24","62.28"
"2012-10-23","62.14"
"2012-10-22","63.47"
"2012-10-19","62.69"
"2012-10-18","63.92"
"2012-10-17","63.90"
"2012-10-16","63.76"
"2012-10-15","63.17"
"2012-10-12","62.26"
"2012-10-11","62.90"
"2012-10-10","62.61"
"2012-10-09","63.75"
"2012-10-08","66.82"
"2012-10-05","66.88"
"2012-10-04","67.27"
"2012-10-03","67.29"
"2012-10-02","67.32"
"2012-10-01","67.87"
"2012-09-28","67.62"
"2012-09-27","67.16"
"2012-09-26","66.48"
"2012-09-25","66.85"
"2012-09-24","67.54"
"2012-09-21","67.45"
"2012-09-20","66.76"
"2012-09-19","67.14"
"2012-09-18","67.19"
"2012-09-17","66.93"
"2012-09-14","66.90"
"2012-09-13","66.63"
"2012-09-12","65.47"
"2012-09-11","65.51"
"2012-09-10","64.97"
"2012-09-07","65.22"
"2012-09-06","64.05"
"2012-09-05","62.60"
"2012-09-04","63.00"
"2012-08-31","61.78"
"2012-08-30","61.91"
"2012-08-29","62.02"
"2012-08-28","61.28"
"2012-08-27","61.06"
"2012-08-24","61.27"
"2012-08-23","61.03"
"2012-08-22","61.63"
"2012-08-21","62.12"
"2012-08-20","62.50"
"2012-08-17","61.93"
"2012-08-16","61.86"
"2012-08-15","61.85"
"2012-08-14","61.48"
"2012-08-13","61.38"
"2012-08-10","61.37"
"2012-08-09","60.90"
"2012-08-08","61.09"
"2012-08-07","61.03"
"2012-08-06","59.78"
"2012-08-03","59.02"
"2012-08-02","57.95"
"2012-08-01","59.16"
"2012-07-31","58.93"
"2012-07-30","58.70"
"2012-07-27","58.84"
"2012-07-26","58.72"
"2012-07-25","61.00"
"2012-07-24","60.84"
"2012-07-23","61.91"
"2012-07-20","62.64"
"2012-07-19","64.32"
"2012-07-18","64.69"
"2012-07-17","64.48"
"2012-07-16","62.98"
"2012-07-13","63.35"
"2012-07-12","62.81"
"2012-07-11","63.26"
"2012-07-10","63.33"
"2012-07-09","63.82"
"2012-07-06","62.72"
"2012-07-05","63.79"
"2012-07-03","64.69"
"2012-07-02","64.49"
"2012-06-29","64.36"
"2012-06-28","62.37"
"2012-06-27","62.56"
"2012-06-26","61.66"
"2012-06-25","61.87"
"2012-06-22","63.17"
"2012-06-21","61.74"
"2012-06-20","63.07"
"2012-06-19","63.30"
"2012-06-18","62.75"
"2012-06-15","63.20"
"2012-06-14","60.63"
"2012-06-13","59.96"
"2012-06-12","60.47"
"2012-06-11","60.02"
"2012-06-08","60.96"
"2012-06-07","60.17"
"2012-06-06","59.95"
"2012-06-05","59.54"
"2012-06-04","58.74"
"2012-06-01","58.93"
"2012-05-31","60.65"
"2012-05-30","61.08"
"2012-05-29","62.28"
"2012-05-25","62.04"
"2012-05-24","61.90"
"2012-05-23","60.00"
"2012-05-22","60.14"
"2012-05-21","60.17"
"2012-05-18","58.86"
"2012-05-17","59.50"
"2012-05-16","60.76"
"2012-05-15","60.81"
"2012-05-14","61.36"
"2012-05-11","61.90"
"2012-05-10","62.13"
"2012-05-09","62.08"
"2012-05-08","62.76"
"2012-05-07","63.49"
"2012-05-04","63.15"
"2012-05-03","64.02"
"2012-05-02","63.77"
"2012-05-01","64.49"
"2012-04-30","62.93"
"2012-04-27","63.02"
"2012-04-26","62.07"
"2012-04-25","63.43"
"2012-04-24","62.39"
"2012-04-23","62.13"
"2012-04-20","63.08"
"2012-04-19","63.06"
"2012-04-18","64.29"
"2012-04-17","64.65"
"2012-04-16","63.21"
"2012-04-13","63.37"
"2012-04-12","64.22"
"2012-04-11","63.19"
"2012-04-10","63.15"
"2012-04-09","64.15"
"2012-04-05","64.72"
"2012-04-04","64.57"
"2012-04-03","65.12"
"2012-04-02","65.25"
"2012-03-30","64.28"
"2012-03-29","63.29"
"2012-03-28","63.62"
